project_id	project_code	n_samples	median_purity	median_ploidy	median_aneuploidy_score	median_fraction_genome_altered	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_copy_number_complexity_score	missingness_purity	missingness_ploidy	missingness_aneuploidy_score	missingness_fraction_genome_altered	missingness_arm_gain_count	missingness_arm_loss_count	missingness_total_arm_alteration_count	missingness_copy_number_complexity_score
TCGA-ACC	ACC	92	0.84	2.54	17	NA	10	8	17	NA	0.0326086956521739	0.0326086956521739	0.0326086956521739	1	0.0326086956521739	0.0326086956521739	0.0326086956521739	1
TCGA-BLCA	BLCA	411	0.61	2.99	14	NA	5	7	14	NA	0.024330900243309	0.024330900243309	0.024330900243309	1	0.024330900243309	0.024330900243309	0.024330900243309	1
TCGA-BRCA	BRCA	933	0.6	2.17	11	NA	3	6	11	NA	0.0546623794212219	0.0546623794212219	0.0482315112540193	1	0.0482315112540193	0.0482315112540193	0.0482315112540193	1
TCGA-CESC	CESC	291	0.67	2.13	8	NA	4	4	8	NA	0.0378006872852234	0.0378006872852234	0.0378006872852234	1	0.0378006872852234	0.0378006872852234	0.0378006872852234	1
TCGA-CHOL	CHOL	36	0.745	1.91	9	NA	2	6	9	NA	0	0	0	1	0	0	0	1
TCGA-COAD	COAD	408	0.66	2.19	11	NA	5	5	11	NA	0.0563725490196079	0.0563725490196079	0.0490196078431373	1	0.0490196078431373	0.0490196078431373	0.0490196078431373	1
TCGA-DLBC	DLBC	37	0.55	2.1	6	NA	4	1	6	NA	0	0	0	1	0	0	0	1
TCGA-ESCA	ESCA	185	0.61	2.57	15	NA	5	8	15	NA	0.118918918918919	0.118918918918919	0.118918918918919	1	0.118918918918919	0.118918918918919	0.118918918918919	1
TCGA-GBM	GBM	403	0.77	2	7	NA	3	3	7	NA	0.0620347394540943	0.0620347394540943	0.054590570719603	1	0.054590570719603	0.054590570719603	0.054590570719603	1
TCGA-HNSC	HNSC	509	0.49	2.12	10	NA	4	6	10	NA	0.0333988212180747	0.0333988212180747	0.031434184675835	1	0.031434184675835	0.031434184675835	0.031434184675835	1
TCGA-KICH	KICH	66	0.86	1.63	14	NA	0	12	14	NA	0.0757575757575758	0.0757575757575758	0.0151515151515152	1	0.0151515151515152	0.0151515151515152	0.0151515151515152	1
TCGA-KIRC	KIRC	370	0.56	1.99	4	NA	1	2	4	NA	0.127027027027027	0.127027027027027	0.0675675675675676	1	0.0675675675675676	0.0675675675675676	0.0675675675675676	1
TCGA-KIRP	KIRP	282	0.775	2.14	8	NA	6	0	8	NA	0.0638297872340426	0.0638297872340426	0.0319148936170213	1	0.0319148936170213	0.0319148936170213	0.0319148936170213	1
TCGA-LAML	LAML	140	0.85	2	0	NA	0	0	0	NA	0.5	0.5	0.171428571428571	1	0.171428571428571	0.171428571428571	0.171428571428571	1
TCGA-LGG	LGG	526	0.75	2.01	2	NA	0	2	2	NA	0.0361216730038023	0.0361216730038023	0.0228136882129278	1	0.0228136882129278	0.0228136882129278	0.0228136882129278	1
TCGA-LIHC	LIHC	365	0.72	2.14	8	NA	3	4	8	NA	0.0410958904109589	0.0410958904109589	0.0410958904109589	1	0.0410958904109589	0.0410958904109589	0.0410958904109589	1
