component	explained_variance	explained_variance_ratio	cumulative_explained_variance_ratio	singular_value
PC1	11.062187738989802	0.11403199295975215	0.11403199295975215	335.90819421040624
PC2	5.861662249460532	0.060423583845628	0.17445557680538015	244.5178008744914
PC3	4.029921750011716	0.04154151235437749	0.21599708915975763	202.74417833841616
PC4	3.5249874027636237	0.03633651391382584	0.2523336030735835	189.61769829894297
PC5	3.2065454211477094	0.033053928708936565	0.2853875317825201	180.8501127887584
PC6	2.6741695005885	0.027566055183595985	0.3129535869661161	165.15607438420997
PC7	2.5587428107104766	0.02637620596044944	0.3393297929265655	161.55239604922875
PC8	2.4034083907682873	0.024774977171064194	0.3641047700976297	156.571918254317
PC9	2.2370080798194882	0.023059678214445076	0.3871644483120748	151.05456767062284
PC10	2.1224447857542192	0.02187872910649857	0.4090431774185734	147.13577680052202
PC11	2.039966026307509	0.02102851597158614	0.4300716933901595	144.2485822056376
PC12	1.9476102719669204	0.020076488128880198	0.4501481815190397	140.9454673767929
PC13	1.9252084015453743	0.019845563650787015	0.46999374516982667	140.13252904219925
PC14	1.8754945155476939	0.019333099603724375	0.48932684477355104	138.31140248940605
PC15	1.8318809697702465	0.01888351949693278	0.5082103642704838	136.69376683542126
PC16	1.7781748417195744	0.01832990234992086	0.5265402666204047	134.6751030648934
PC17	1.775868582792221	0.018306128815429087	0.5448463954358337	134.58773920562248
PC18	1.7010548679355555	0.017534929012359462	0.5623813244481931	131.72228229476843
PC19	1.639298496234741	0.016898327798461586	0.5792796522466547	129.3091050993485
PC20	1.6298038858318595	0.01680045481237937	0.596080107059034	128.9340902767184
