qc_section	project_id	project_code	metric	value
global	ALL	ALL	absolute_purity_ploidy_file_status	local
global	ALL	ALL	arm_calls_aneuploidy_file_status	local
global	ALL	ALL	samples_with_purity	9516
global	ALL	ALL	samples_with_ploidy	9516
global	ALL	ALL	samples_with_aneuploidy_score	9667
global	ALL	ALL	samples_with_arm_level_calls	9667
global	ALL	ALL	samples_with_purity_ploidy_data	9516
global	ALL	ALL	samples_with_aneuploidy_or_copy_number_data	9667
global	ALL	ALL	samples_with_copy_number_segment_data	0
global	ALL	ALL	tcga_projects_with_copy_number_or_purity_data	33
global	ALL	ALL	expected_tcga_projects_missing_copy_number_or_purity	0
global	ALL	ALL	missing_tcga_projects_copy_number_or_purity	none
global	ALL	ALL	mutation_layer_samples	10201
global	ALL	ALL	mutation_layer_samples_overlapping_purity_ploidy	9516
global	ALL	ALL	mutation_layer_samples_overlapping_copy_number_features	9667
global	ALL	ALL	percent_mutation_layer_samples_with_purity_ploidy	93.2850
global	ALL	ALL	percent_mutation_layer_samples_with_copy_number_features	94.7652
global	ALL	ALL	local_or_downloaded_source_files_used	PANCAN_ArmCallsAndAneuploidyScore_092817.txt;TCGA_mastercalls.abs_tables_JSedit.fixed.txt
global	ALL	ALL	parsing_warnings	none
per_project	TCGA-ACC	ACC	n_samples	92
per_project	TCGA-ACC	ACC	median_purity	0.84
per_project	TCGA-ACC	ACC	median_ploidy	2.54
per_project	TCGA-ACC	ACC	median_aneuploidy_score	17
per_project	TCGA-ACC	ACC	median_fraction_genome_altered	NA
per_project	TCGA-ACC	ACC	missingness_purity	0.0326086956521739
per_project	TCGA-ACC	ACC	missingness_ploidy	0.0326086956521739
per_project	TCGA-ACC	ACC	missingness_aneuploidy_score	0.0326086956521739
per_project	TCGA-ACC	ACC	missingness_fraction_genome_altered	1
per_project	TCGA-ACC	ACC	missingness_arm_gain_count	0.0326086956521739
per_project	TCGA-ACC	ACC	missingness_arm_loss_count	0.0326086956521739
per_project	TCGA-ACC	ACC	missingness_total_arm_alteration_count	0.0326086956521739
per_project	TCGA-BLCA	BLCA	n_samples	411
per_project	TCGA-BLCA	BLCA	median_purity	0.61
per_project	TCGA-BLCA	BLCA	median_ploidy	2.99
per_project	TCGA-BLCA	BLCA	median_aneuploidy_score	14
per_project	TCGA-BLCA	BLCA	median_fraction_genome_altered	NA
per_project	TCGA-BLCA	BLCA	missingness_purity	0.024330900243309
per_project	TCGA-BLCA	BLCA	missingness_ploidy	0.024330900243309
per_project	TCGA-BLCA	BLCA	missingness_aneuploidy_score	0.024330900243309
per_project	TCGA-BLCA	BLCA	missingness_fraction_genome_altered	1
per_project	TCGA-BLCA	BLCA	missingness_arm_gain_count	0.024330900243309
per_project	TCGA-BLCA	BLCA	missingness_arm_loss_count	0.024330900243309
per_project	TCGA-BLCA	BLCA	missingness_total_arm_alteration_count	0.024330900243309
per_project	TCGA-BRCA	BRCA	n_samples	933
per_project	TCGA-BRCA	BRCA	median_purity	0.6
per_project	TCGA-BRCA	BRCA	median_ploidy	2.17
per_project	TCGA-BRCA	BRCA	median_aneuploidy_score	11
per_project	TCGA-BRCA	BRCA	median_fraction_genome_altered	NA
per_project	TCGA-BRCA	BRCA	missingness_purity	0.0546623794212219
per_project	TCGA-BRCA	BRCA	missingness_ploidy	0.0546623794212219
per_project	TCGA-BRCA	BRCA	missingness_aneuploidy_score	0.0482315112540193
per_project	TCGA-BRCA	BRCA	missingness_fraction_genome_altered	1
per_project	TCGA-BRCA	BRCA	missingness_arm_gain_count	0.0482315112540193
per_project	TCGA-BRCA	BRCA	missingness_arm_loss_count	0.0482315112540193
per_project	TCGA-BRCA	BRCA	missingness_total_arm_alteration_count	0.0482315112540193
per_project	TCGA-CESC	CESC	n_samples	291
per_project	TCGA-CESC	CESC	median_purity	0.67
per_project	TCGA-CESC	CESC	median_ploidy	2.13
per_project	TCGA-CESC	CESC	median_aneuploidy_score	8
per_project	TCGA-CESC	CESC	median_fraction_genome_altered	NA
per_project	TCGA-CESC	CESC	missingness_purity	0.0378006872852234
per_project	TCGA-CESC	CESC	missingness_ploidy	0.0378006872852234
per_project	TCGA-CESC	CESC	missingness_aneuploidy_score	0.0378006872852234
per_project	TCGA-CESC	CESC	missingness_fraction_genome_altered	1
per_project	TCGA-CESC	CESC	missingness_arm_gain_count	0.0378006872852234
per_project	TCGA-CESC	CESC	missingness_arm_loss_count	0.0378006872852234
per_project	TCGA-CESC	CESC	missingness_total_arm_alteration_count	0.0378006872852234
per_project	TCGA-CHOL	CHOL	n_samples	36
per_project	TCGA-CHOL	CHOL	median_purity	0.745
per_project	TCGA-CHOL	CHOL	median_ploidy	1.91
per_project	TCGA-CHOL	CHOL	median_aneuploidy_score	9
per_project	TCGA-CHOL	CHOL	median_fraction_genome_altered	NA
per_project	TCGA-CHOL	CHOL	missingness_purity	0
per_project	TCGA-CHOL	CHOL	missingness_ploidy	0
per_project	TCGA-CHOL	CHOL	missingness_aneuploidy_score	0
per_project	TCGA-CHOL	CHOL	missingness_fraction_genome_altered	1
per_project	TCGA-CHOL	CHOL	missingness_arm_gain_count	0
per_project	TCGA-CHOL	CHOL	missingness_arm_loss_count	0
per_project	TCGA-CHOL	CHOL	missingness_total_arm_alteration_count	0
per_project	TCGA-COAD	COAD	n_samples	408
per_project	TCGA-COAD	COAD	median_purity	0.66
per_project	TCGA-COAD	COAD	median_ploidy	2.19
per_project	TCGA-COAD	COAD	median_aneuploidy_score	11
per_project	TCGA-COAD	COAD	median_fraction_genome_altered	NA
per_project	TCGA-COAD	COAD	missingness_purity	0.0563725490196078
per_project	TCGA-COAD	COAD	missingness_ploidy	0.0563725490196078
per_project	TCGA-COAD	COAD	missingness_aneuploidy_score	0.0490196078431373
per_project	TCGA-COAD	COAD	missingness_fraction_genome_altered	1
per_project	TCGA-COAD	COAD	missingness_arm_gain_count	0.0490196078431373
per_project	TCGA-COAD	COAD	missingness_arm_loss_count	0.0490196078431373
per_project	TCGA-COAD	COAD	missingness_total_arm_alteration_count	0.0490196078431373
per_project	TCGA-DLBC	DLBC	n_samples	37
per_project	TCGA-DLBC	DLBC	median_purity	0.55
per_project	TCGA-DLBC	DLBC	median_ploidy	2.1
per_project	TCGA-DLBC	DLBC	median_aneuploidy_score	6
per_project	TCGA-DLBC	DLBC	median_fraction_genome_altered	NA
per_project	TCGA-DLBC	DLBC	missingness_purity	0
per_project	TCGA-DLBC	DLBC	missingness_ploidy	0
per_project	TCGA-DLBC	DLBC	missingness_aneuploidy_score	0
per_project	TCGA-DLBC	DLBC	missingness_fraction_genome_altered	1
per_project	TCGA-DLBC	DLBC	missingness_arm_gain_count	0
