qc_section	project_id	project_code	metric	value
gene_set	ALL	ALL	proliferation:n_configured_genes	8
gene_set	ALL	ALL	proliferation:n_found_genes	8
gene_set	ALL	ALL	proliferation:n_missing_genes	0
gene_set	ALL	ALL	proliferation:missing_genes	
gene_set	ALL	ALL	immune_inflammatory:n_configured_genes	10
gene_set	ALL	ALL	immune_inflammatory:n_found_genes	10
gene_set	ALL	ALL	immune_inflammatory:n_missing_genes	0
gene_set	ALL	ALL	immune_inflammatory:missing_genes	
gene_set	ALL	ALL	interferon_gamma:n_configured_genes	8
gene_set	ALL	ALL	interferon_gamma:n_found_genes	8
gene_set	ALL	ALL	interferon_gamma:n_missing_genes	0
gene_set	ALL	ALL	interferon_gamma:missing_genes	
gene_set	ALL	ALL	cytotoxic_t_cell:n_configured_genes	7
gene_set	ALL	ALL	cytotoxic_t_cell:n_found_genes	7
gene_set	ALL	ALL	cytotoxic_t_cell:n_missing_genes	0
gene_set	ALL	ALL	cytotoxic_t_cell:missing_genes	
gene_set	ALL	ALL	stromal:n_configured_genes	7
gene_set	ALL	ALL	stromal:n_found_genes	7
gene_set	ALL	ALL	stromal:n_missing_genes	0
gene_set	ALL	ALL	stromal:missing_genes	
gene_set	ALL	ALL	epithelial:n_configured_genes	5
gene_set	ALL	ALL	epithelial:n_found_genes	5
gene_set	ALL	ALL	epithelial:n_missing_genes	0
gene_set	ALL	ALL	epithelial:missing_genes	
gene_set	ALL	ALL	EMT:n_configured_genes	8
gene_set	ALL	ALL	EMT:n_found_genes	8
gene_set	ALL	ALL	EMT:n_missing_genes	0
gene_set	ALL	ALL	EMT:missing_genes	
gene_set	ALL	ALL	hypoxia:n_configured_genes	6
gene_set	ALL	ALL	hypoxia:n_found_genes	6
gene_set	ALL	ALL	hypoxia:n_missing_genes	0
gene_set	ALL	ALL	hypoxia:missing_genes	
gene_set	ALL	ALL	cell_cycle:n_configured_genes	10
gene_set	ALL	ALL	cell_cycle:n_found_genes	10
gene_set	ALL	ALL	cell_cycle:n_missing_genes	0
gene_set	ALL	ALL	cell_cycle:missing_genes	
gene_set	ALL	ALL	DNA_repair:n_configured_genes	8
gene_set	ALL	ALL	DNA_repair:n_found_genes	8
gene_set	ALL	ALL	DNA_repair:n_missing_genes	0
gene_set	ALL	ALL	DNA_repair:missing_genes	
gene_set	ALL	ALL	angiogenesis:n_configured_genes	6
gene_set	ALL	ALL	angiogenesis:n_found_genes	6
gene_set	ALL	ALL	angiogenesis:n_missing_genes	0
gene_set	ALL	ALL	angiogenesis:missing_genes	
global	ALL	ALL	expression_source_file_status	local
global	ALL	ALL	expression_source_file	/Users/rruizcordero/Documents/CancerPhylogeny/tcga-cancer-phylogeny/data/raw/expression/EBPlusPlusAdjustPANCAN_IlluminaHiSeq_RNASeqV2.geneExp.tsv
global	ALL	ALL	expression_data_source	EBPlusPlusAdjustPANCAN_IlluminaHiSeq_RNASeqV2.geneExp.tsv
global	ALL	ALL	expression_data_type	pancanatlas_ebplusplus_adjusted_rnaseqv2
global	ALL	ALL	normalization_method	as_provided_gene_level_z_scoring_for_pathway_scores
global	ALL	ALL	genes_available_in_scoring_matrix	67
global	ALL	ALL	raw_expression_sample_columns	11069
global	ALL	ALL	tumor_expression_sample_columns_matched_to_mutation_layer	9572
global	ALL	ALL	expression_samples_processed	9565
global	ALL	ALL	tcga_projects_with_expression_data	33
global	ALL	ALL	expected_tcga_projects_missing_expression_data	0
global	ALL	ALL	missing_tcga_projects_expression_data	none
global	ALL	ALL	mutation_layer_samples	10201
global	ALL	ALL	samples_overlapping_mutation_layer	9565
global	ALL	ALL	samples_overlapping_purity_ploidy_layer	9565
global	ALL	ALL	samples_overlapping_aneuploidy_layer	9565
global	ALL	ALL	percent_mutation_layer_samples_with_expression	93.7653
global	ALL	ALL	pca_status	selected_gene_expression_pca
global	ALL	ALL	expression_matrix_output	data/processed/expression/expression_matrix_by_sample.tsv.gz
global	ALL	ALL	parsing_warnings	none
global	ALL	ALL	limitations	PCA is computed from the configured expression-gene subset, not the full transcriptome, unless the local source is pre-filtered to a broader set.
per_project	TCGA-ACC	ACC	n_samples	79
per_project	TCGA-ACC	ACC	median_proliferation_score	-0.561763040866082
per_project	TCGA-ACC	ACC	median_immune_inflammatory_score	-0.325953619806187
per_project	TCGA-ACC	ACC	median_interferon_gamma_score	-0.512914357575956
per_project	TCGA-ACC	ACC	median_cytotoxic_t_cell_score	-0.307471499927584
per_project	TCGA-ACC	ACC	median_stromal_score	-0.397586815128602
per_project	TCGA-ACC	ACC	median_epithelial_score	-0.843751612654887
per_project	TCGA-ACC	ACC	median_EMT_score	0.0996485269024966
per_project	TCGA-ACC	ACC	median_hypoxia_score	-0.110557304527461
per_project	TCGA-ACC	ACC	median_cell_cycle_score	-0.61693162625177
per_project	TCGA-ACC	ACC	median_DNA_repair_score	-0.350635748425304
per_project	TCGA-ACC	ACC	median_angiogenesis_score	-0.0279924397579397
per_project	TCGA-ACC	ACC	median_lineage_or_tissue_PC1	2.69436168168777
per_project	TCGA-ACC	ACC	median_lineage_or_tissue_PC2	0.715596590912443
per_project	TCGA-ACC	ACC	missingness_proliferation_score	0
per_project	TCGA-ACC	ACC	missingness_immune_inflammatory_score	0
per_project	TCGA-ACC	ACC	missingness_interferon_gamma_score	0
per_project	TCGA-ACC	ACC	missingness_cytotoxic_t_cell_score	0
per_project	TCGA-ACC	ACC	missingness_stromal_score	0
per_project	TCGA-ACC	ACC	missingness_epithelial_score	0
per_project	TCGA-ACC	ACC	missingness_EMT_score	0
per_project	TCGA-ACC	ACC	missingness_hypoxia_score	0
per_project	TCGA-ACC	ACC	missingness_cell_cycle_score	0
per_project	TCGA-ACC	ACC	missingness_DNA_repair_score	0
per_project	TCGA-ACC	ACC	missingness_angiogenesis_score	0
per_project	TCGA-ACC	ACC	missingness_lineage_or_tissue_PC1	0
per_project	TCGA-ACC	ACC	missingness_lineage_or_tissue_PC2	0
per_project	TCGA-BLCA	BLCA	n_samples	406
per_project	TCGA-BLCA	BLCA	median_proliferation_score	0.328305534428598
per_project	TCGA-BLCA	BLCA	median_immune_inflammatory_score	-0.240606847571464
per_project	TCGA-BLCA	BLCA	median_interferon_gamma_score	-0.270733081478112
per_project	TCGA-BLCA	BLCA	median_cytotoxic_t_cell_score	-0.227773413639257
per_project	TCGA-BLCA	BLCA	median_stromal_score	-0.212173055787927
per_project	TCGA-BLCA	BLCA	median_epithelial_score	0.553959283166064
per_project	TCGA-BLCA	BLCA	median_EMT_score	-0.248020045938478
per_project	TCGA-BLCA	BLCA	median_hypoxia_score	-0.110582162488951
per_project	TCGA-BLCA	BLCA	median_cell_cycle_score	0.393816170080692
per_project	TCGA-BLCA	BLCA	median_DNA_repair_score	0.138603785799026
per_project	TCGA-BLCA	BLCA	median_angiogenesis_score	-0.257598070064275
per_project	TCGA-BLCA	BLCA	median_lineage_or_tissue_PC1	-1.78910402055221
per_project	TCGA-BLCA	BLCA	median_lineage_or_tissue_PC2	1.69728671665246
per_project	TCGA-BLCA	BLCA	missingness_proliferation_score	0
per_project	TCGA-BLCA	BLCA	missingness_immune_inflammatory_score	0
per_project	TCGA-BLCA	BLCA	missingness_interferon_gamma_score	0
