sample_barcode	patient_barcode	project_id	project_code	selected_gdc_file_id	selected_file_name	selected_data_type	match_level	file_size	n_candidate_files	selection_reason	selection_rank	notes
TCGA-DK-A6AW-01A	TCGA-DK-A6AW	TCGA-BLCA	BLCA	f002db01-ecf9-4851-b589-f9cbcd17b0fc	SNOWS_p_TCGA_Batch_309_310_NSP_GenomeWideSNP_6_A08_1362082.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	4469	4	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=63	1	best_ranked_file_selected
TCGA-G2-A3VY-01A	TCGA-G2-A3VY	TCGA-BLCA	BLCA	0d769fdc-48f0-4060-acba-b4ed03cc7ac8	WHIPS_p_1TCGA_220_235_N_GenomeWideSNP_6_E05_1231008.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	52978	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-G2-AA3B-01A	TCGA-G2-AA3B	TCGA-BLCA	BLCA	a7555e83-1478-427c-b992-4c6d4c96eb78	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_B07_1486922.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	64404	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-GC-A4ZW-01A	TCGA-GC-A4ZW	TCGA-BLCA	BLCA	519f947f-25e7-46a1-82c0-1b32154da5ec	ENDUE_p_TCGA_271_76_79_280_81_N_GenomeWideSNP_6_H04_1346782.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	40556	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-GD-A2C5-01A	TCGA-GD-A2C5	TCGA-BLCA	BLCA	71568189-1faf-4f1a-9cc4-d1ef3efd2665	WHIRR_p_TCGA_168_169_170_redo_N_GenomeWideSNP_6_C03_845100.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	40588	5	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-GV-A3QI-01A	TCGA-GV-A3QI	TCGA-BLCA	BLCA	9e5ff992-8628-4f5c-859b-e459c3f1d20a	LOLLS_p_TCGASNP_223_225_N_GenomeWideSNP_6_C06_1152032.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	49204	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-KQ-A41N-01A	TCGA-KQ-A41N	TCGA-BLCA	BLCA	491253be-151c-4d22-88b9-39495333cefb	COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_A11_1373690.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	24154	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-MV-A51V-01A	TCGA-MV-A51V	TCGA-BLCA	BLCA	19872145-604d-4297-941b-628874d7c6dc	ENDUE_p_TCGA_271_76_79_280_81_N_GenomeWideSNP_6_E05_1346908.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	34041	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-A6-6653-01A	TCGA-A6-6653	TCGA-COAD	COAD	ce128a4f-771d-4a05-8407-3a25fd3712d5	KNELT_p_TCGA_b123_131_SNP_N_GenomeWideSNP_6_C03_787670.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	26827	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AA-3492-01A	TCGA-AA-3492	TCGA-COAD	COAD	beec6ae9-c27b-475d-a9ca-98d734258443	FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_A04_730118.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	13930	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AA-3663-01A	TCGA-AA-3663	TCGA-COAD	COAD	cb1e558b-72e9-43c9-91e7-ef57eb1e3463	GRIPS_p_TCGA_b116_SNP_N_GenomeWideSNP_6_F07_781438.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	12120	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AD-6889-01A	TCGA-AD-6889	TCGA-COAD	COAD	21944afc-f0b2-4098-943a-deb919078b03	PULED_p_TCGA_130_157_N_GenomeWideSNP_6_A10_831794.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	10811	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AY-6197-01A	TCGA-AY-6197	TCGA-COAD	COAD	97733b82-2f51-4b7d-8933-849fcc25b579	GRIPS_p_TCGA_b116_SNP_N_GenomeWideSNP_6_D11_781536.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	29006	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AZ-6598-01A	TCGA-AZ-6598	TCGA-COAD	COAD	ce6de987-14b4-4e36-bf47-c24f63f3e01c	KNELT_p_TCGA_b123_131_SNP_N_GenomeWideSNP_6_C09_787784.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	23187	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-CK-6746-01A	TCGA-CK-6746	TCGA-COAD	COAD	857eed06-4039-4cb4-83f5-b322ca3a60e3	BAIZE_p_TCGA_b138_SNP_N_GenomeWideSNP_6_A11_808856.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	27296	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
