gdc_file_id	file_name	data_category	data_type	experimental_strategy	access	file_size	project_id	case_submitter_ids	sample_submitter_ids	aliquot_barcodes	matched_sample_barcode	matched_patient_barcode	match_level	download_status	local_path	parse_status	notes
eb567ef4-277f-4d55-9a5e-a3b082b35654	COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F11_955648.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	1812	TCGA-SKCM	TCGA-DA-A1I0	TCGA-DA-A1I0-10B	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
668bb3e4-b2ab-4d47-81f4-be591a21f32b	XYLEM_p_TCGASNP_207_212_N_GenomeWideSNP_6_E06_1051266.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	1945	TCGA-LUSC	TCGA-85-7950	TCGA-85-7950-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
fa20899a-4346-463e-aa13-d3d9b99b3453	CARRS_p_TCGASNP_b92_N_GenomeWideSNP_6_H11_735676.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2077	TCGA-UCEC	TCGA-BK-A13C	TCGA-BK-A13C-11A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
af3320c8-e703-4e0a-809f-8a19bb676e7e	SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_A02_777300.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2081	TCGA-COAD	TCGA-AM-5821	TCGA-AM-5821-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
c87bcd25-bcae-448d-b46a-03e744127b42	BURST_p_TCGA_b119_SNP_N_GenomeWideSNP_6_F01_787112.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2082	TCGA-LUAD	TCGA-05-4390	TCGA-05-4390-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
d7f5cff7-3eb6-4dc0-a16c-90073ed4d2b7	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H11_863714.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2084	TCGA-HNSC	TCGA-CV-7178	TCGA-CV-7178-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
0d825df6-5442-468b-bad5-d83852cf99ee	GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_E04_755798.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2084	TCGA-UCEC	TCGA-AP-A1DO	TCGA-AP-A1DO-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
96237bf4-18d2-4c06-b9e0-6335f1f49869	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B08_1306746.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2087	TCGA-HNSC	TCGA-CV-A45V	TCGA-CV-A45V-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
ef5b427f-fc13-49ee-a406-66266c823f1b	BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_B08_777412.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2088	TCGA-COAD	TCGA-D5-5540	TCGA-D5-5540-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
1d1ab399-d014-4753-8873-75d46d3eed56	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B11_730362.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2088	TCGA-HNSC	TCGA-CN-4725	TCGA-CN-4725-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
2b81490c-b01e-4e3f-a290-e913479ff2cb	SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_D04_1244674.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2090	TCGA-LUAD	TCGA-55-8512	TCGA-55-8512-10A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
deceab6b-539b-4a87-afc8-3e74b1e86844	QUERY_p_TCGA_180_181_SNP_N_GenomeWideSNP_6_D10_896444.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2090	TCGA-LUSC	TCGA-56-7579	TCGA-56-7579-11A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
c358c454-19ce-457d-94a2-b3e57ac404c6	BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A04_1344820.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2091	TCGA-UCEC	TCGA-AX-A0J0	TCGA-AX-A0J0-11A	NA	TCGA-AX-A0J0-01A	TCGA-AX-A0J0	patient	download_not_selected	NA	not_parsed	patient_level_match_lower_confidence_validate_before_clonal_inference
7d4e4af7-aed5-48a8-9223-488420742af4	PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_B05_932476.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2162	TCGA-LUSC	TCGA-90-7766	TCGA-90-7766-11A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
fc5dcb07-99e9-454f-916f-63d775cfdedc	PALLS_p_TCGASNP_213_N_GenomeWideSNP_6_A05_1148130.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2167	TCGA-LUAD	TCGA-55-8203	TCGA-55-8203-11A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
0c3d01c0-1fe0-4901-a079-8f1deca7cd42	SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_H01_1244612.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	open	2174	TCGA-LUAD	TCGA-55-8513	TCGA-55-8513-01A	NA	NA	NA	unmatched	not_matched	NA	not_parsed	no_overlap_with_level3_pilot_cohort
