project_code_a	project_code_b	bootstrap_iterations	cutree_k	n_same_cluster	co_clustering_frequency
COAD	READ	100	6	100	1
MESO	PCPG	100	6	100	1
MESO	PRAD	100	6	100	1
MESO	THCA	100	6	100	1
MESO	UVM	100	6	100	1
PCPG	PRAD	100	6	100	1
PCPG	THCA	100	6	100	1
PCPG	UVM	100	6	100	1
PRAD	THCA	100	6	100	1
PRAD	UVM	100	6	100	1
THCA	UVM	100	6	100	1
KIRP	MESO	100	6	99	0.99
KIRP	PCPG	100	6	99	0.99
KIRP	PRAD	100	6	99	0.99
KIRP	THCA	100	6	99	0.99
KIRP	UVM	100	6	99	0.99
CHOL	MESO	100	6	98	0.98
CHOL	PCPG	100	6	98	0.98
CHOL	PRAD	100	6	98	0.98
CHOL	THCA	100	6	98	0.98
CHOL	UVM	100	6	98	0.98
LUAD	LUSC	100	6	98	0.98
CHOL	KIRP	100	6	97	0.97
KICH	MESO	100	6	97	0.97
KICH	PCPG	100	6	97	0.97
KICH	PRAD	100	6	97	0.97
KICH	THCA	100	6	97	0.97
KICH	UVM	100	6	97	0.97
KIRP	SARC	100	6	97	0.97
CHOL	LGG	100	6	96	0.96
ESCA	LUAD	100	6	96	0.96
ESCA	LUSC	100	6	96	0.96
KICH	KIRP	100	6	96	0.96
MESO	SARC	100	6	96	0.96
PCPG	SARC	100	6	96	0.96
PRAD	SARC	100	6	96	0.96
SARC	THCA	100	6	96	0.96
SARC	UVM	100	6	96	0.96
BLCA	STAD	100	6	95	0.95
CHOL	KICH	100	6	95	0.95
ESCA	STAD	100	6	95	0.95
GBM	SARC	100	6	95	0.95
KIRP	LIHC	100	6	95	0.95
LUAD	STAD	100	6	95	0.95
LUSC	STAD	100	6	95	0.95
CHOL	SARC	100	6	94	0.94
GBM	KIRP	100	6	94	0.94
KICH	SARC	100	6	94	0.94
LGG	MESO	100	6	94	0.94
LGG	PCPG	100	6	94	0.94
LGG	PRAD	100	6	94	0.94
LGG	THCA	100	6	94	0.94
LGG	UVM	100	6	94	0.94
LIHC	MESO	100	6	94	0.94
LIHC	PCPG	100	6	94	0.94
LIHC	PRAD	100	6	94	0.94
LIHC	THCA	100	6	94	0.94
LIHC	UVM	100	6	94	0.94
GBM	MESO	100	6	93	0.93
GBM	PCPG	100	6	93	0.93
GBM	PRAD	100	6	93	0.93
GBM	THCA	100	6	93	0.93
GBM	UVM	100	6	93	0.93
KIRP	LGG	100	6	93	0.93
BLCA	ESCA	100	6	92	0.92
BLCA	LUAD	100	6	92	0.92
BLCA	LUSC	100	6	92	0.92
CHOL	LIHC	100	6	92	0.92
LIHC	SARC	100	6	92	0.92
CHOL	GBM	100	6	91	0.91
GBM	KICH	100	6	91	0.91
KICH	LGG	100	6	91	0.91
KICH	LIHC	100	6	91	0.91
CESC	ESCA	100	6	90	0.9
ESCA	HNSC	100	6	90	0.9
LGG	SARC	100	6	90	0.9
GBM	LIHC	100	6	89	0.89
HNSC	LUSC	100	6	89	0.89
CESC	HNSC	100	6	88	0.88
CESC	STAD	100	6	88	0.88
LGG	LIHC	100	6	88	0.88
ACC	KICH	100	6	87	0.87
ACC	LIHC	100	6	87	0.87
CESC	LUAD	100	6	87	0.87
CESC	LUSC	100	6	87	0.87
GBM	LGG	100	6	87	0.87
HNSC	LUAD	100	6	87	0.87
HNSC	STAD	100	6	87	0.87
LAML	THYM	100	6	86	0.86
ACC	KIRP	100	6	85	0.85
COAD	STAD	100	6	85	0.85
READ	STAD	100	6	85	0.85
ACC	MESO	100	6	84	0.84
ACC	PCPG	100	6	84	0.84
ACC	PRAD	100	6	84	0.84
ACC	THCA	100	6	84	0.84
ACC	UVM	100	6	84	0.84
CHOL	LAML	100	6	84	0.84
ACC	SARC	100	6	83	0.83
BLCA	CESC	100	6	83	0.83
LAML	LGG	100	6	83	0.83
ACC	CHOL	100	6	82	0.82
BLCA	COAD	100	6	82	0.82
BLCA	HNSC	100	6	82	0.82
BLCA	READ	100	6	82	0.82
KIRC	MESO	100	6	82	0.82
KIRC	PCPG	100	6	82	0.82
KIRC	PRAD	100	6	82	0.82
KIRC	THCA	100	6	82	0.82
KIRC	UVM	100	6	82	0.82
LAML	MESO	100	6	82	0.82
LAML	PCPG	100	6	82	0.82
LAML	PRAD	100	6	82	0.82
LAML	THCA	100	6	82	0.82
LAML	UVM	100	6	82	0.82
COAD	ESCA	100	6	81	0.81
COAD	LUAD	100	6	81	0.81
COAD	LUSC	100	6	81	0.81
ESCA	READ	100	6	81	0.81
KIRC	KIRP	100	6	81	0.81
KIRP	LAML	100	6	81	0.81
LUAD	READ	100	6	81	0.81
LUSC	READ	100	6	81	0.81
ACC	GBM	100	6	80	0.8
CHOL	KIRC	100	6	80	0.8
KICH	KIRC	100	6	79	0.79
KICH	LAML	100	6	79	0.79
LAML	SARC	100	6	79	0.79
ACC	LGG	100	6	78	0.78
KIRC	LGG	100	6	78	0.78
KIRC	SARC	100	6	78	0.78
KIRC	LIHC	100	6	76	0.76
LAML	LIHC	100	6	76	0.76
ESCA	OV	100	6	75	0.75
GBM	KIRC	100	6	75	0.75
GBM	LAML	100	6	75	0.75
CESC	COAD	100	6	74	0.74
CESC	READ	100	6	74	0.74
MESO	THYM	100	6	74	0.74
PCPG	THYM	100	6	74	0.74
PRAD	THYM	100	6	74	0.74
THCA	THYM	100	6	74	0.74
THYM	UVM	100	6	74	0.74
COAD	HNSC	100	6	73	0.73
HNSC	OV	100	6	73	0.73
HNSC	READ	100	6	73	0.73
KIRP	PAAD	100	6	73	0.73
KIRP	THYM	100	6	73	0.73
PAAD	SARC	100	6	73	0.73
CHOL	THYM	100	6	72	0.72
LUAD	OV	100	6	72	0.72
LUSC	OV	100	6	72	0.72
MESO	PAAD	100	6	72	0.72
PAAD	PCPG	100	6	72	0.72
PAAD	PRAD	100	6	72	0.72
PAAD	THCA	100	6	72	0.72
PAAD	UVM	100	6	72	0.72
CESC	OV	100	6	71	0.71
KICH	THYM	100	6	71	0.71
SARC	THYM	100	6	71	0.71
CHOL	PAAD	100	6	70	0.7
GBM	PAAD	100	6	70	0.7
KICH	PAAD	100	6	70	0.7
LAML	TGCT	100	6	70	0.7
LGG	THYM	100	6	70	0.7
OV	STAD	100	6	70	0.7
LIHC	THYM	100	6	69	0.69
ACC	KIRC	100	6	68	0.68
BLCA	OV	100	6	68	0.68
LIHC	PAAD	100	6	68	0.68
ACC	TGCT	100	6	67	0.67
BRCA	SARC	100	6	67	0.67
GBM	THYM	100	6	67	0.67
KIRC	LAML	100	6	67	0.67
ACC	LAML	100	6	66	0.66
BRCA	GBM	100	6	66	0.66
BRCA	KIRP	100	6	66	0.66
LGG	PAAD	100	6	66	0.66
TGCT	THYM	100	6	66	0.66
BRCA	KICH	100	6	65	0.65
BRCA	LIHC	100	6	65	0.65
BRCA	MESO	100	6	65	0.65
BRCA	PCPG	100	6	65	0.65
BRCA	PRAD	100	6	65	0.65
BRCA	THCA	100	6	65	0.65
BRCA	UVM	100	6	65	0.65
BRCA	CHOL	100	6	63	0.63
ACC	PAAD	100	6	61	0.61
KICH	TGCT	100	6	61	0.61
KIRC	THYM	100	6	61	0.61
BRCA	OV	100	6	60	0.6
ACC	THYM	100	6	59	0.59
BRCA	LGG	100	6	59	0.59
LUAD	UCS	100	6	59	0.59
LUSC	UCS	100	6	59	0.59
COAD	OV	100	6	58	0.58
ESCA	UCS	100	6	58	0.58
MESO	TGCT	100	6	58	0.58
OV	READ	100	6	58	0.58
PCPG	TGCT	100	6	58	0.58
PRAD	TGCT	100	6	58	0.58
TGCT	THCA	100	6	58	0.58
TGCT	UVM	100	6	58	0.58
ACC	BRCA	100	6	57	0.57
CHOL	TGCT	100	6	57	0.57
KIRP	TGCT	100	6	57	0.57
LAML	PAAD	100	6	56	0.56
LIHC	TGCT	100	6	56	0.56
SARC	TGCT	100	6	56	0.56
STAD	UCS	100	6	56	0.56
BRCA	LAML	100	6	55	0.55
LGG	TGCT	100	6	55	0.55
BLCA	UCS	100	6	54	0.54
KIRC	PAAD	100	6	54	0.54
GBM	TGCT	100	6	52	0.52
HNSC	UCS	100	6	52	0.52
BRCA	KIRC	100	6	51	0.51
BRCA	THYM	100	6	50	0.5
CESC	UCS	100	6	50	0.5
PAAD	THYM	100	6	49	0.49
BRCA	CESC	100	6	48	0.48
BRCA	HNSC	100	6	48	0.48
OV	UCS	100	6	48	0.48
BRCA	PAAD	100	6	47	0.47
KIRC	TGCT	100	6	44	0.44
COAD	UCS	100	6	43	0.43
READ	UCS	100	6	43	0.43
BRCA	ESCA	100	6	41	0.41
BRCA	LUAD	100	6	40	0.4
BRCA	STAD	100	6	40	0.4
BRCA	TGCT	100	6	40	0.4
BRCA	LUSC	100	6	39	0.39
PAAD	TGCT	100	6	39	0.39
BLCA	BRCA	100	6	37	0.37
ACC	OV	100	6	36	0.36
DLBC	THYM	100	6	34	0.34
LIHC	OV	100	6	34	0.34
BRCA	COAD	100	6	33	0.33
BRCA	READ	100	6	33	0.33
OV	SARC	100	6	33	0.33
GBM	OV	100	6	32	0.32
KIRP	OV	100	6	32	0.32
CHOL	OV	100	6	31	0.31
KICH	OV	100	6	31	0.31
MESO	OV	100	6	31	0.31
OV	PCPG	100	6	31	0.31
OV	PRAD	100	6	31	0.31
OV	TGCT	100	6	31	0.31
OV	THCA	100	6	31	0.31
OV	UVM	100	6	31	0.31
TGCT	UCS	100	6	31	0.31
LGG	OV	100	6	29	0.29
LAML	OV	100	6	27	0.27
KIRC	OV	100	6	26	0.26
OV	THYM	100	6	25	0.25
BRCA	UCS	100	6	23	0.23
DLBC	LAML	100	6	22	0.22
DLBC	TGCT	100	6	21	0.21
ACC	UCS	100	6	20	0.2
CESC	TGCT	100	6	20	0.2
OV	PAAD	100	6	20	0.2
ESCA	TGCT	100	6	18	0.18
HNSC	TGCT	100	6	18	0.18
CESC	LIHC	100	6	16	0.16
HNSC	LIHC	100	6	16	0.16
HNSC	PAAD	100	6	16	0.16
LUAD	TGCT	100	6	16	0.16
LUSC	TGCT	100	6	16	0.16
ACC	HNSC	100	6	15	0.15
BLCA	TGCT	100	6	15	0.15
CESC	GBM	100	6	15	0.15
CESC	SARC	100	6	15	0.15
GBM	HNSC	100	6	15	0.15
HNSC	SARC	100	6	15	0.15
STAD	TGCT	100	6	15	0.15
CESC	KIRP	100	6	14	0.14
GBM	UCS	100	6	14	0.14
HNSC	KIRP	100	6	14	0.14
ACC	CESC	100	6	13	0.13
CESC	CHOL	100	6	13	0.13
CESC	KICH	100	6	13	0.13
CESC	LAML	100	6	13	0.13
CESC	MESO	100	6	13	0.13
CESC	PCPG	100	6	13	0.13
CESC	PRAD	100	6	13	0.13
CESC	THCA	100	6	13	0.13
CESC	UVM	100	6	13	0.13
HNSC	KICH	100	6	13	0.13
HNSC	MESO	100	6	13	0.13
HNSC	PCPG	100	6	13	0.13
HNSC	PRAD	100	6	13	0.13
HNSC	THCA	100	6	13	0.13
HNSC	UVM	100	6	13	0.13
ACC	ESCA	100	6	12	0.12
CESC	THYM	100	6	12	0.12
CHOL	DLBC	100	6	12	0.12
CHOL	HNSC	100	6	12	0.12
DLBC	KICH	100	6	12	0.12
DLBC	KIRP	100	6	12	0.12
DLBC	MESO	100	6	12	0.12
DLBC	PCPG	100	6	12	0.12
DLBC	PRAD	100	6	12	0.12
DLBC	SARC	100	6	12	0.12
DLBC	THCA	100	6	12	0.12
DLBC	UVM	100	6	12	0.12
ACC	LUAD	100	6	11	0.11
CESC	LGG	100	6	11	0.11
CESC	PAAD	100	6	11	0.11
DLBC	GBM	100	6	11	0.11
DLBC	LGG	100	6	11	0.11
KICH	UCS	100	6	11	0.11
SARC	UCS	100	6	11	0.11
ACC	BLCA	100	6	10	0.1
ACC	LUSC	100	6	10	0.1
DLBC	KIRC	100	6	10	0.1
DLBC	LIHC	100	6	10	0.1
HNSC	LAML	100	6	10	0.1
HNSC	LGG	100	6	10	0.1
HNSC	THYM	100	6	10	0.1
KIRP	UCS	100	6	10	0.1
LIHC	UCS	100	6	10	0.1
ACC	STAD	100	6	9	0.09
BRCA	DLBC	100	6	9	0.09
CESC	KIRC	100	6	9	0.09
CHOL	UCS	100	6	9	0.09
ESCA	LIHC	100	6	9	0.09
HNSC	KIRC	100	6	9	0.09
MESO	UCS	100	6	9	0.09
PCPG	UCS	100	6	9	0.09
PRAD	UCS	100	6	9	0.09
THCA	UCS	100	6	9	0.09
UCS	UVM	100	6	9	0.09
CESC	DLBC	100	6	8	0.08
ESCA	GBM	100	6	8	0.08
ESCA	SARC	100	6	8	0.08
LAML	UCS	100	6	8	0.08
LGG	UCS	100	6	8	0.08
LIHC	LUAD	100	6	8	0.08
LIHC	STAD	100	6	8	0.08
ACC	DLBC	100	6	7	0.07
BLCA	LIHC	100	6	7	0.07
COAD	TGCT	100	6	7	0.07
DLBC	OV	100	6	7	0.07
DLBC	PAAD	100	6	7	0.07
ESCA	KIRP	100	6	7	0.07
ESCA	PAAD	100	6	7	0.07
GBM	LUAD	100	6	7	0.07
GBM	STAD	100	6	7	0.07
LIHC	LUSC	100	6	7	0.07
LUAD	SARC	100	6	7	0.07
READ	TGCT	100	6	7	0.07
SARC	STAD	100	6	7	0.07
BLCA	GBM	100	6	6	0.06
