project_code	project_id	major_cancer_group	mean_coclustering_frequency	max_coclustering_frequency	n_high_stability_partners	stability_label
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	0.4778125	0.87	0	unstable_or_switching
BLCA	TCGA-BLCA	Carcinoma	0.202258064516129	0.95	4	stable_group_member
BRCA	TCGA-BRCA	Carcinoma	0.473833333333333	0.67	0	unstable_or_switching
CESC	TCGA-CESC	Carcinoma	0.402758620689655	0.9	1	limited_stable_partners
CHOL	TCGA-CHOL	Carcinoma	0.471071428571429	0.98	11	stable_group_member
COAD	TCGA-COAD	Carcinoma	0.309111111111111	1	1	limited_stable_partners
DLBC	TCGA-DLBC	Hematolymphoid	0.0774358974358975	0.34	0	unstable_or_switching
ESCA	TCGA-ESCA	Carcinoma	0.371314285714286	0.96	6	stable_group_member
GBM	TCGA-GBM	CNS/glial	0.454166666666667	0.95	9	stable_group_member
HNSC	TCGA-HNSC	Carcinoma	0.380048309178744	0.9	1	limited_stable_partners
KICH	TCGA-KICH	Carcinoma	0.483045454545455	0.97	11	stable_group_member
KIRC	TCGA-KIRC	Carcinoma	0.412554112554113	0.82	0	unstable_or_switching
KIRP	TCGA-KIRP	Carcinoma	0.519333333333333	0.99	11	stable_group_member
LAML	TCGA-LAML	Hematolymphoid	0.453542510121458	0.86	0	unstable_or_switching
LGG	TCGA-LGG	CNS/glial	0.497896825396825	0.96	9	stable_group_member
LIHC	TCGA-LIHC	Carcinoma	0.515980392156863	0.95	9	stable_group_member
LUAD	TCGA-LUAD	Carcinoma	0.311875	0.98	4	stable_group_member
LUSC	TCGA-LUSC	Carcinoma	0.304039215686275	0.98	4	stable_group_member
MESO	TCGA-MESO	Mesothelial	0.529206349206349	1	11	stable_group_member
OV	TCGA-OV	Carcinoma	0.384939271255061	0.75	0	unstable_or_switching
PAAD	TCGA-PAAD	Carcinoma	0.389916666666667	0.73	0	unstable_or_switching
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	0.52038961038961	1	11	stable_group_member
PRAD	TCGA-PRAD	Carcinoma	0.505363636363636	1	11	stable_group_member
READ	TCGA-READ	Carcinoma	0.225265700483092	1	1	limited_stable_partners
SARC	TCGA-SARC	Sarcoma	0.488958333333333	0.97	11	stable_group_member
SKCM	TCGA-SKCM	Melanocytic	0.000714285714285714	0.01	0	unstable_or_switching
STAD	TCGA-STAD	Carcinoma	0.246153846153846	0.95	4	stable_group_member
TGCT	TCGA-TGCT	Germ cell	0.400407407407407	0.7	0	unstable_or_switching
THCA	TCGA-THCA	Carcinoma	0.498214285714286	1	11	stable_group_member
THYM	TCGA-THYM	Other or mixed	0.350229885057471	0.86	0	unstable_or_switching
UCEC	TCGA-UCEC	Carcinoma	0.000166666666666667	0.01	0	unstable_or_switching
UCS	TCGA-UCS	Other or mixed	0.162741935483871	0.59	0	unstable_or_switching
UVM	TCGA-UVM	Melanocytic	0.52875	1	11	stable_group_member
