distance_method	k	cluster_id	n_projects	projects_included	major_cancer_groups_represented	median_mutation_count_proxy	median_TP53_prevalence	median_KRAS_prevalence	median_BRAF_prevalence	median_IDH1_prevalence	median_IDH2_prevalence	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_immune_inflammatory_score	median_proliferation_score	median_EMT_score	interpretation_label
correlation	3	1	15	ACC;BRCA;CHOL;KICH;KIRC;KIRP;LGG;LIHC;MESO;PAAD;PCPG;PRAD;SARC;THCA;UVM	none	28	0.170731707317073	0.00643086816720257	0.007502679528403	0.00543478260869565	0	0.74	2	7	1	4	-0.26867207135644	-0.647781267320033	0.0299226495307163	GI carcinoma enriched
correlation	3	2	15	BLCA;CESC;COAD;ESCA;GBM;HNSC;LUAD;LUSC;OV;READ;SKCM;STAD;TGCT;UCEC;UCS	none	105	0.513181019332162	0.0549828178694158	0.0316301703163017	0.00785854616895874	0.00455580865603645	0.66	2.395	13	5	7	-0.190997747699753	0.455600112551992	-0.222635739947405	GI carcinoma enriched
correlation	3	3	3	DLBC;LAML;THYM	none	14	0.0642857142857143	0.0428571428571429	0	0.00813008130081301	0	0.55	2	0	0	0	1.77397487795647	0.63271672704161	-0.275512985625056	mixed lineage cluster
correlation	4	1	15	ACC;BRCA;CHOL;KICH;KIRC;KIRP;LGG;LIHC;MESO;PAAD;PCPG;PRAD;SARC;THCA;UVM	none	28	0.170731707317073	0.00643086816720257	0.007502679528403	0.00543478260869565	0	0.74	2	7	1	4	-0.26867207135644	-0.647781267320033	0.0299226495307163	GI carcinoma enriched
correlation	4	2	12	BLCA;CESC;COAD;ESCA;HNSC;LUSC;OV;READ;STAD;TGCT;UCEC;UCS	none	98	0.626179744982472	0.070537766550602	0.0246559495982295	0.00640404178330034	0.00486027449035032	0.635	2.4825	13	5	7	-0.195625030566935	0.500522783366669	-0.235327892942941	GI carcinoma enriched
correlation	4	3	3	DLBC;LAML;THYM	none	14	0.0642857142857143	0.0428571428571429	0	0.00813008130081301	0	0.55	2	0	0	0	1.77397487795647	0.63271672704161	-0.275512985625056	mixed lineage cluster
correlation	4	4	3	GBM;LUAD;SKCM	none	199	0.315136476426799	0.0277777777777778	0.0738137082601054	0.0555555555555556	0.00248138957816377	0.7	2.13	11	4	6	-0.144006289330594	-0.203870743632438	0.237334195817087	mixed lineage cluster
correlation	5	1	12	ACC;CHOL;KICH;KIRC;KIRP;LGG;LIHC;MESO;PCPG;PRAD;THCA;UVM	none	27.25	0.11479250334672	0.00471073483121676	0.00828649363531162	0.00270270270270271	0	0.7425	1.995	5	1	2.5	-0.271504449029647	-0.774740846753563	-0.0573069307199154	kidney/CNS/endocrine low-mutation cluster
correlation	5	2	12	BLCA;CESC;COAD;ESCA;HNSC;LUSC;OV;READ;STAD;TGCT;UCEC;UCS	none	98	0.626179744982472	0.070537766550602	0.0246559495982295	0.00640404178330034	0.00486027449035032	0.635	2.4825	13	5	7	-0.195625030566935	0.500522783366669	-0.235327892942941	GI carcinoma enriched
correlation	5	3	3	BRCA;PAAD;SARC	none	41	0.364016736401674	0.00836820083682008	0.007502679528403	0.007502679528403	0	0.6	2.12	10	2	6	-0.207102677084059	-0.183840033587076	0.182750751844867	mixed lineage cluster
correlation	5	4	3	DLBC;LAML;THYM	none	14	0.0642857142857143	0.0428571428571429	0	0.00813008130081301	0	0.55	2	0	0	0	1.77397487795647	0.63271672704161	-0.275512985625056	mixed lineage cluster
correlation	5	5	3	GBM;LUAD;SKCM	none	199	0.315136476426799	0.0277777777777778	0.0738137082601054	0.0555555555555556	0.00248138957816377	0.7	2.13	11	4	6	-0.144006289330594	-0.203870743632438	0.237334195817087	mixed lineage cluster
correlation	6	1	12	ACC;CHOL;KICH;KIRC;KIRP;LGG;LIHC;MESO;PCPG;PRAD;THCA;UVM	none	27.25	0.11479250334672	0.00471073483121676	0.00828649363531162	0.00270270270270271	0	0.7425	1.995	5	1	2.5	-0.271504449029647	-0.774740846753563	-0.0573069307199154	kidney/CNS/endocrine low-mutation cluster
correlation	6	2	6	BLCA;CESC;COAD;READ;STAD;UCEC	none	103	0.488261310543206	0.141603284300477	0.0325016216868561	0.0143597302246639	0.0090556065806223	0.6625	2.17	10.5	4.5	5	-0.195625030566935	0.458135963459695	-0.326132865098187	GI carcinoma enriched
correlation	6	3	3	BRCA;PAAD;SARC	none	41	0.364016736401674	0.00836820083682008	0.007502679528403	0.007502679528403	0	0.6	2.12	10	2	6	-0.207102677084059	-0.183840033587076	0.182750751844867	mixed lineage cluster
correlation	6	4	3	DLBC;LAML;THYM	none	14	0.0642857142857143	0.0428571428571429	0	0.00813008130081301	0	0.55	2	0	0	0	1.77397487795647	0.63271672704161	-0.275512985625056	mixed lineage cluster
correlation	6	5	6	ESCA;HNSC;LUSC;OV;TGCT;UCS	none	86.5	0.847255502925607	0.0155289760784706	0.0141773352299668	0.00391629493571241	0.00340950273713926	0.605	2.7125	15.5	5	8.5	-0.154707514513577	0.560026310228142	-0.0639197613309025	squamous-like carcinoma enriched
correlation	6	6	3	GBM;LUAD;SKCM	none	199	0.315136476426799	0.0277777777777778	0.0738137082601054	0.0555555555555556	0.00248138957816377	0.7	2.13	11	4	6	-0.144006289330594	-0.203870743632438	0.237334195817087	mixed lineage cluster
correlation	7	1	12	ACC;CHOL;KICH;KIRC;KIRP;LGG;LIHC;MESO;PCPG;PRAD;THCA;UVM	none	27.25	0.11479250334672	0.00471073483121676	0.00828649363531162	0.00270270270270271	0	0.7425	1.995	5	1	2.5	-0.271504449029647	-0.774740846753563	-0.0573069307199154	kidney/CNS/endocrine low-mutation cluster
