project_code	project_id	major_cancer_group	feature_class_subset	n_features_used	cluster_k6
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	all_features	52	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	mutation_only	33	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	copy_number_aneuploidy_only	6	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	expression_only	13	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	mutation_plus_copy_number	39	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	mutation_plus_expression	46	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	copy_number_plus_expression	19	1
BLCA	TCGA-BLCA	Carcinoma	all_features	52	2
BLCA	TCGA-BLCA	Carcinoma	mutation_only	33	2
BLCA	TCGA-BLCA	Carcinoma	copy_number_aneuploidy_only	6	2
BLCA	TCGA-BLCA	Carcinoma	expression_only	13	1
BLCA	TCGA-BLCA	Carcinoma	mutation_plus_copy_number	39	2
BLCA	TCGA-BLCA	Carcinoma	mutation_plus_expression	46	2
BLCA	TCGA-BLCA	Carcinoma	copy_number_plus_expression	19	1
BRCA	TCGA-BRCA	Carcinoma	all_features	52	2
BRCA	TCGA-BRCA	Carcinoma	mutation_only	33	1
BRCA	TCGA-BRCA	Carcinoma	copy_number_aneuploidy_only	6	3
BRCA	TCGA-BRCA	Carcinoma	expression_only	13	1
BRCA	TCGA-BRCA	Carcinoma	mutation_plus_copy_number	39	1
BRCA	TCGA-BRCA	Carcinoma	mutation_plus_expression	46	2
BRCA	TCGA-BRCA	Carcinoma	copy_number_plus_expression	19	2
CESC	TCGA-CESC	Carcinoma	all_features	52	2
CESC	TCGA-CESC	Carcinoma	mutation_only	33	2
CESC	TCGA-CESC	Carcinoma	copy_number_aneuploidy_only	6	3
CESC	TCGA-CESC	Carcinoma	expression_only	13	1
CESC	TCGA-CESC	Carcinoma	mutation_plus_copy_number	39	2
CESC	TCGA-CESC	Carcinoma	mutation_plus_expression	46	2
CESC	TCGA-CESC	Carcinoma	copy_number_plus_expression	19	1
CHOL	TCGA-CHOL	Carcinoma	all_features	52	1
CHOL	TCGA-CHOL	Carcinoma	mutation_only	33	1
CHOL	TCGA-CHOL	Carcinoma	copy_number_aneuploidy_only	6	3
CHOL	TCGA-CHOL	Carcinoma	expression_only	13	1
CHOL	TCGA-CHOL	Carcinoma	mutation_plus_copy_number	39	1
CHOL	TCGA-CHOL	Carcinoma	mutation_plus_expression	46	1
CHOL	TCGA-CHOL	Carcinoma	copy_number_plus_expression	19	2
COAD	TCGA-COAD	Carcinoma	all_features	52	2
COAD	TCGA-COAD	Carcinoma	mutation_only	33	3
COAD	TCGA-COAD	Carcinoma	copy_number_aneuploidy_only	6	3
COAD	TCGA-COAD	Carcinoma	expression_only	13	1
COAD	TCGA-COAD	Carcinoma	mutation_plus_copy_number	39	3
COAD	TCGA-COAD	Carcinoma	mutation_plus_expression	46	3
COAD	TCGA-COAD	Carcinoma	copy_number_plus_expression	19	1
DLBC	TCGA-DLBC	Hematolymphoid	all_features	52	3
DLBC	TCGA-DLBC	Hematolymphoid	mutation_only	33	1
DLBC	TCGA-DLBC	Hematolymphoid	copy_number_aneuploidy_only	6	3
DLBC	TCGA-DLBC	Hematolymphoid	expression_only	13	2
DLBC	TCGA-DLBC	Hematolymphoid	mutation_plus_copy_number	39	1
DLBC	TCGA-DLBC	Hematolymphoid	mutation_plus_expression	46	4
DLBC	TCGA-DLBC	Hematolymphoid	copy_number_plus_expression	19	3
ESCA	TCGA-ESCA	Carcinoma	all_features	52	2
ESCA	TCGA-ESCA	Carcinoma	mutation_only	33	2
ESCA	TCGA-ESCA	Carcinoma	copy_number_aneuploidy_only	6	2
ESCA	TCGA-ESCA	Carcinoma	expression_only	13	1
ESCA	TCGA-ESCA	Carcinoma	mutation_plus_copy_number	39	2
ESCA	TCGA-ESCA	Carcinoma	mutation_plus_expression	46	2
ESCA	TCGA-ESCA	Carcinoma	copy_number_plus_expression	19	1
GBM	TCGA-GBM	CNS/glial	all_features	52	1
GBM	TCGA-GBM	CNS/glial	mutation_only	33	1
GBM	TCGA-GBM	CNS/glial	copy_number_aneuploidy_only	6	3
GBM	TCGA-GBM	CNS/glial	expression_only	13	1
GBM	TCGA-GBM	CNS/glial	mutation_plus_copy_number	39	1
GBM	TCGA-GBM	CNS/glial	mutation_plus_expression	46	1
GBM	TCGA-GBM	CNS/glial	copy_number_plus_expression	19	2
HNSC	TCGA-HNSC	Carcinoma	all_features	52	2
HNSC	TCGA-HNSC	Carcinoma	mutation_only	33	2
HNSC	TCGA-HNSC	Carcinoma	copy_number_aneuploidy_only	6	3
HNSC	TCGA-HNSC	Carcinoma	expression_only	13	1
HNSC	TCGA-HNSC	Carcinoma	mutation_plus_copy_number	39	2
HNSC	TCGA-HNSC	Carcinoma	mutation_plus_expression	46	2
HNSC	TCGA-HNSC	Carcinoma	copy_number_plus_expression	19	1
KICH	TCGA-KICH	Carcinoma	all_features	52	1
KICH	TCGA-KICH	Carcinoma	mutation_only	33	1
KICH	TCGA-KICH	Carcinoma	copy_number_aneuploidy_only	6	4
KICH	TCGA-KICH	Carcinoma	expression_only	13	1
KICH	TCGA-KICH	Carcinoma	mutation_plus_copy_number	39	1
KICH	TCGA-KICH	Carcinoma	mutation_plus_expression	46	1
KICH	TCGA-KICH	Carcinoma	copy_number_plus_expression	19	2
KIRC	TCGA-KIRC	Carcinoma	all_features	52	1
KIRC	TCGA-KIRC	Carcinoma	mutation_only	33	1
KIRC	TCGA-KIRC	Carcinoma	copy_number_aneuploidy_only	6	5
KIRC	TCGA-KIRC	Carcinoma	expression_only	13	3
KIRC	TCGA-KIRC	Carcinoma	mutation_plus_copy_number	39	1
KIRC	TCGA-KIRC	Carcinoma	mutation_plus_expression	46	1
KIRC	TCGA-KIRC	Carcinoma	copy_number_plus_expression	19	4
KIRP	TCGA-KIRP	Carcinoma	all_features	52	1
KIRP	TCGA-KIRP	Carcinoma	mutation_only	33	1
KIRP	TCGA-KIRP	Carcinoma	copy_number_aneuploidy_only	6	3
KIRP	TCGA-KIRP	Carcinoma	expression_only	13	1
KIRP	TCGA-KIRP	Carcinoma	mutation_plus_copy_number	39	1
KIRP	TCGA-KIRP	Carcinoma	mutation_plus_expression	46	1
KIRP	TCGA-KIRP	Carcinoma	copy_number_plus_expression	19	2
LAML	TCGA-LAML	Hematolymphoid	all_features	52	1
LAML	TCGA-LAML	Hematolymphoid	mutation_only	33	1
LAML	TCGA-LAML	Hematolymphoid	copy_number_aneuploidy_only	6	5
LAML	TCGA-LAML	Hematolymphoid	expression_only	13	4
LAML	TCGA-LAML	Hematolymphoid	mutation_plus_copy_number	39	1
LAML	TCGA-LAML	Hematolymphoid	mutation_plus_expression	46	1
LAML	TCGA-LAML	Hematolymphoid	copy_number_plus_expression	19	5
LGG	TCGA-LGG	CNS/glial	all_features	52	1
LGG	TCGA-LGG	CNS/glial	mutation_only	33	1
LGG	TCGA-LGG	CNS/glial	copy_number_aneuploidy_only	6	5
LGG	TCGA-LGG	CNS/glial	expression_only	13	1
LGG	TCGA-LGG	CNS/glial	mutation_plus_copy_number	39	1
LGG	TCGA-LGG	CNS/glial	mutation_plus_expression	46	1
LGG	TCGA-LGG	CNS/glial	copy_number_plus_expression	19	2
LIHC	TCGA-LIHC	Carcinoma	all_features	52	1
LIHC	TCGA-LIHC	Carcinoma	mutation_only	33	1
LIHC	TCGA-LIHC	Carcinoma	copy_number_aneuploidy_only	6	3
LIHC	TCGA-LIHC	Carcinoma	expression_only	13	1
LIHC	TCGA-LIHC	Carcinoma	mutation_plus_copy_number	39	1
LIHC	TCGA-LIHC	Carcinoma	mutation_plus_expression	46	1
LIHC	TCGA-LIHC	Carcinoma	copy_number_plus_expression	19	2
LUAD	TCGA-LUAD	Carcinoma	all_features	52	2
LUAD	TCGA-LUAD	Carcinoma	mutation_only	33	2
LUAD	TCGA-LUAD	Carcinoma	copy_number_aneuploidy_only	6	2
LUAD	TCGA-LUAD	Carcinoma	expression_only	13	1
LUAD	TCGA-LUAD	Carcinoma	mutation_plus_copy_number	39	2
LUAD	TCGA-LUAD	Carcinoma	mutation_plus_expression	46	2
LUAD	TCGA-LUAD	Carcinoma	copy_number_plus_expression	19	1
LUSC	TCGA-LUSC	Carcinoma	all_features	52	2
LUSC	TCGA-LUSC	Carcinoma	mutation_only	33	2
LUSC	TCGA-LUSC	Carcinoma	copy_number_aneuploidy_only	6	2
LUSC	TCGA-LUSC	Carcinoma	expression_only	13	1
LUSC	TCGA-LUSC	Carcinoma	mutation_plus_copy_number	39	2
LUSC	TCGA-LUSC	Carcinoma	mutation_plus_expression	46	2
LUSC	TCGA-LUSC	Carcinoma	copy_number_plus_expression	19	1
MESO	TCGA-MESO	Mesothelial	all_features	52	1
MESO	TCGA-MESO	Mesothelial	mutation_only	33	1
