feature_name	feature_class	kruskal_wallis_statistic	p_value	epsilon_squared	raw_variance	fdr
mutation_prevalence_BRCA2	mutation	25.014030309805	0.000138467337818637	0.741260381844628	0.00129129002789893	0.00407678038502665
mutation_prevalence_BRCA1	mutation	24.7342135567019	0.000156799245577948	0.730896798396365	0.000534980218234676	0.00407678038502665
tmb_proxy_mean_nonsynonymous_count	mutation	23.1720952843947	0.000312927769844915	0.673040566088694	47604.2869606163	0.00432473585048051
mutation_prevalence_ALK	mutation	22.6000311634115	0.000402473499597959	0.651853006052276	0.000924175245525729	0.00432473585048051
tmb_proxy_mean_total_mutation_count	mutation	22.5256306379301	0.000415839985623126	0.649097431034448	132952.65833108	0.00432473585048051
tmb_proxy_median_nonsynonymous_count	mutation	22.0777917952304	0.000506065890294029	0.632510807230754	6668.1865530303	0.00438590438254825
mutation_prevalence_ERBB2	mutation	21.5429872271977	0.000639374683400966	0.612703230636953	0.000797347328088444	0.00474964050526432
tmb_proxy_median_total_mutation_count	mutation	20.8929833451573	0.000848649333221041	0.588629012783602	17373.9886363636	0.00551622066593677
mutation_prevalence_PIK3CA	mutation	20.6146181940433	0.000957710759478918	0.578319192371974	0.0165930638578798	0.00553343994365597
mutation_prevalence_MSH6	mutation	19.5986303715117	0.00148602596909478	0.540690013759694	0.000464660897885019	0.00772733503929285
mutation_prevalence_MYC	mutation	19.127991660376	0.00181941831704407	0.523258950384297	0.000263678960799012	0.00822159678332241
mutation_prevalence_SMAD4	mutation	19.0303313939677	0.0018972915653821	0.519641903480286	0.0022385931117784	0.00822159678332241
mutation_prevalence_MLH1	mutation	18.6744054002902	0.0022097937578323	0.506459459270008	0.000217444737305061	0.00883917503132918
mutation_prevalence_POLE	mutation	18.4905798426925	0.00239043565561048	0.499651105284907	0.00108300109163399	0.00887876100655323
mutation_prevalence_MET	mutation	17.8827841856491	0.0030969534172025	0.477140155024042	0.000650516712488133	0.00933364690258882
mutation_prevalence_MSH2	mutation	17.8781539818375	0.00310305247597331	0.476968665993981	0.0002495023248221	0.00933364690258882
mutation_prevalence_APC	mutation	17.8480456741326	0.00314300004119065	0.475853543486394	0.0321384591186091	0.00933364690258882
mutation_prevalence_PMS2	mutation	17.7831103612166	0.00323087777397305	0.47344853189691	0.000246526139989248	0.00933364690258882
median_ploidy	copy_number_aneuploidy	16.4952189229995	0.00556363538615218	0.425748848999982	0.128341382575758	0.0149705997380053
mutation_prevalence_TP53	mutation	16.4133311726895	0.00575792297615588	0.422715969358869	0.0867630031416617	0.0149705997380053
mutation_prevalence_ARID1A	mutation	15.5206162732108	0.00835473786251126	0.389652454563365	0.00832064804003932	0.0195472350772284
median_cell_cycle_score	expression	15.4574623237725	0.00857647333689877	0.387313419398981	0.502807439855258	0.0195472350772284
median_proliferation_score	expression	15.4380165289256	0.00864589243800486	0.386593204775022	0.49201178264254	0.0195472350772284
mutation_prevalence_EGFR	mutation	15.2688528175725	0.00927326983176699	0.380327882132316	0.00217994138972546	0.0200920846354951
mutation_prevalence_RB1	mutation	14.6737750385208	0.0118510964831239	0.358287964389659	0.00189587396811544	0.0246502806848977
median_lineage_or_tissue_PC1	expression	13.6878949927078	0.0177183404269062	0.321773888618808	10.8056670837647	0.0354366808538124
median_aneuploidy_score	copy_number_aneuploidy	13.1375249643125	0.0221235357802605	0.301389813493055	30.967803030303	0.039876540837795
median_total_arm_alteration_count	copy_number_aneuploidy	13.1375249643125	0.0221235357802605	0.301389813493055	30.967803030303	0.039876540837795
mutation_prevalence_NF1	mutation	13.1245836289314	0.0222388400826164	0.300910504775239	0.00185150876723449	0.039876540837795
median_DNA_repair_score	expression	12.6648301193756	0.0267305261226642	0.28388259701391	0.454287191697172	0.0463329119459513
median_arm_gain_count	copy_number_aneuploidy	12.2676974947837	0.0312982285231032	0.269173981288284	6.05871212121212	0.0525002542968183
median_interferon_gamma_score	expression	11.8383838383838	0.0370706724308382	0.253273475495698	0.114519495098826	0.0589222732660873
mutation_prevalence_CTNNB1	mutation	11.8163328197226	0.0373929811111708	0.252456771100839	0.00423273016717202	0.0589222732660873
mutation_prevalence_PTEN	mutation	11.5441050177892	0.0415977374746485	0.24237425991812	0.0150209037145018	0.0636200690788742
median_lineage_or_tissue_PC2	expression	11.3092961702587	0.045580938326719	0.233677635935508	3.71360746340148	0.0677202512282682
mutation_prevalence_BRAF	mutation	11.1202459966958	0.0490473005669233	0.226675777655401	0.0177931345453958	0.0689474988163717
median_arm_loss_count	copy_number_aneuploidy	11.119640245486	0.049058797234726	0.226653342425406	12.4393939393939	0.0689474988163717
median_epithelial_score	expression	10.7442877977637	0.0566924603476324	0.212751399917175	0.352259028877522	0.0775321841866466
mutation_prevalence_TERT	mutation	10.6781095019624	0.058149138139985	0.210300351924534	0.000104094279799366	0.0775321841866466
median_hypoxia_score	expression	10.1710689785556	0.0705306755024322	0.191521073279837	0.187519581199324	0.0916898781531619
median_EMT_score	expression	9.98152649489549	0.0757603801084317	0.184500981292426	0.105951285198345	0.0960863357472793
median_purity	copy_number_aneuploidy	8.38284484186124	0.136360370756511	0.125290549698564	0.0194293087121212	0.168827125698537
mutation_prevalence_KRAS	mutation	8.29820805984181	0.140548560357362	0.122155854068215	0.0230832381896556	0.169965700897274
mutation_prevalence_CDKN2A	mutation	8.15897764376883	0.147688962860418	0.116999171991438	0.00327791325245877	0.17396037639513
median_immune_inflammatory_score	expression	8.10500729217306	0.150542633418863	0.115000270080484	0.262432213360732	0.17396037639513
mutation_prevalence_IDH1	mutation	6.50764780843845	0.259905638699289	0.0558388077199427	0.0182533987603368	0.293806374181805
median_stromal_score	expression	6.01420623345757	0.304839043884424	0.0375631938317619	0.182356730723228	0.331429797654761
median_cytotoxic_t_cell_score	expression	6.00291686922704	0.305935197835164	0.037145069230631	0.240987848406759	0.331429797654761
mutation_prevalence_IDH2	mutation	5.74830152054352	0.331485713396453	0.0277148711312413	0.000272947131264735	0.351780757073787
mutation_prevalence_BAP1	mutation	5.61316387480467	0.34569653849501	0.0227097731409139	0.00316450283375735	0.35952440003481
median_angiogenesis_score	expression	5.52676497596283	0.355019929568866	0.0195098139245494	0.37461716367383	0.361981104658452
mutation_prevalence_VHL	mutation	4.87063867410688	0.431870912581988	0	0.00647521114410118	0.431870912581988
