qc_section	feature_name	feature_category	metric	value
global	ALL	ALL	project_rows	33
global	ALL	ALL	expected_tcga_projects	33
global	ALL	ALL	expected_tcga_projects_missing	0
global	ALL	ALL	missing_tcga_projects	none
global	ALL	ALL	retained_feature_columns	52
global	ALL	ALL	dropped_feature_columns	2
global	ALL	ALL	max_feature_missing_fraction	0.3
global	ALL	ALL	scaling_status	raw_unscaled_features_scale_before_distance_calculation
global	ALL	ALL	support_columns_location	results/tables/level1_feature_support.tsv
per_feature	median_aneuploidy_score	copy_number_purity_ploidy	n_missing_projects	0
per_feature	median_aneuploidy_score	copy_number_purity_ploidy	missing_fraction	0
per_feature	median_aneuploidy_score	copy_number_purity_ploidy	retained	TRUE
per_feature	median_aneuploidy_score	copy_number_purity_ploidy	drop_reason	
per_feature	median_arm_gain_count	copy_number_purity_ploidy	n_missing_projects	0
per_feature	median_arm_gain_count	copy_number_purity_ploidy	missing_fraction	0
per_feature	median_arm_gain_count	copy_number_purity_ploidy	retained	TRUE
per_feature	median_arm_gain_count	copy_number_purity_ploidy	drop_reason	
per_feature	median_arm_loss_count	copy_number_purity_ploidy	n_missing_projects	0
per_feature	median_arm_loss_count	copy_number_purity_ploidy	missing_fraction	0
per_feature	median_arm_loss_count	copy_number_purity_ploidy	retained	TRUE
per_feature	median_arm_loss_count	copy_number_purity_ploidy	drop_reason	
per_feature	median_copy_number_complexity_score	copy_number_purity_ploidy	n_missing_projects	33
per_feature	median_copy_number_complexity_score	copy_number_purity_ploidy	missing_fraction	1
per_feature	median_copy_number_complexity_score	copy_number_purity_ploidy	retained	FALSE
per_feature	median_copy_number_complexity_score	copy_number_purity_ploidy	drop_reason	missing_fraction_gt_0.30
per_feature	median_fraction_genome_altered	copy_number_purity_ploidy	n_missing_projects	33
per_feature	median_fraction_genome_altered	copy_number_purity_ploidy	missing_fraction	1
per_feature	median_fraction_genome_altered	copy_number_purity_ploidy	retained	FALSE
per_feature	median_fraction_genome_altered	copy_number_purity_ploidy	drop_reason	missing_fraction_gt_0.30
per_feature	median_ploidy	copy_number_purity_ploidy	n_missing_projects	0
per_feature	median_ploidy	copy_number_purity_ploidy	missing_fraction	0
per_feature	median_ploidy	copy_number_purity_ploidy	retained	TRUE
per_feature	median_ploidy	copy_number_purity_ploidy	drop_reason	
per_feature	median_purity	copy_number_purity_ploidy	n_missing_projects	0
per_feature	median_purity	copy_number_purity_ploidy	missing_fraction	0
per_feature	median_purity	copy_number_purity_ploidy	retained	TRUE
per_feature	median_purity	copy_number_purity_ploidy	drop_reason	
per_feature	median_total_arm_alteration_count	copy_number_purity_ploidy	n_missing_projects	0
per_feature	median_total_arm_alteration_count	copy_number_purity_ploidy	missing_fraction	0
per_feature	median_total_arm_alteration_count	copy_number_purity_ploidy	retained	TRUE
per_feature	median_total_arm_alteration_count	copy_number_purity_ploidy	drop_reason	
per_feature	mutation_prevalence_ALK	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_ALK	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_ALK	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_ALK	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_APC	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_APC	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_APC	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_APC	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_ARID1A	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_ARID1A	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_ARID1A	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_ARID1A	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_BAP1	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_BAP1	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_BAP1	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_BAP1	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_BRAF	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_BRAF	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_BRAF	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_BRAF	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_BRCA1	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_BRCA1	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_BRCA1	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_BRCA1	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_BRCA2	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_BRCA2	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_BRCA2	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_BRCA2	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_CDKN2A	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_CDKN2A	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_CDKN2A	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_CDKN2A	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_CTNNB1	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_CTNNB1	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_CTNNB1	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_CTNNB1	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_EGFR	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_EGFR	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_EGFR	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_EGFR	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_ERBB2	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_ERBB2	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_ERBB2	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_ERBB2	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_IDH1	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_IDH1	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_IDH1	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_IDH1	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_IDH2	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_IDH2	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_IDH2	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_IDH2	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_KRAS	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_KRAS	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_KRAS	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_KRAS	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_MET	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_MET	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_MET	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_MET	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_MLH1	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_MLH1	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_MLH1	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_MLH1	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_MSH2	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_MSH2	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_MSH2	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_MSH2	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_MSH6	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_MSH6	driver_mutation_prevalence	missing_fraction	0
