feature_name	feature_class	pc	loading	abs_loading
tmb_proxy_mean_nonsynonymous_count	mutation	PC1	-0.238339045626504	0.238339045626504
mutation_prevalence_BRCA2	mutation	PC1	-0.23701691917301	0.23701691917301
mutation_prevalence_POLE	mutation	PC1	-0.235674628021365	0.235674628021365
tmb_proxy_mean_total_mutation_count	mutation	PC1	-0.235516968267698	0.235516968267698
mutation_prevalence_MSH6	mutation	PC1	-0.223043619303255	0.223043619303255
mutation_prevalence_MLH1	mutation	PC1	-0.222841863233804	0.222841863233804
mutation_prevalence_PMS2	mutation	PC1	-0.222313012381743	0.222313012381743
mutation_prevalence_MSH2	mutation	PC1	-0.213828485840725	0.213828485840725
mutation_prevalence_ALK	mutation	PC1	-0.21378673682364	0.21378673682364
mutation_prevalence_BRCA1	mutation	PC1	-0.209398433602692	0.209398433602692
mutation_prevalence_MET	mutation	PC1	-0.20040040695505	0.20040040695505
mutation_prevalence_ARID1A	mutation	PC1	-0.199869621614604	0.199869621614604
mutation_prevalence_ERBB2	mutation	PC1	-0.183121301185021	0.183121301185021
mutation_prevalence_NF1	mutation	PC1	-0.182246815548211	0.182246815548211
mutation_prevalence_TERT	mutation	PC1	-0.178858389300014	0.178858389300014
mutation_prevalence_PIK3CA	mutation	PC1	-0.175291913338666	0.175291913338666
tmb_proxy_median_nonsynonymous_count	mutation	PC1	-0.1680298453649	0.1680298453649
tmb_proxy_median_total_mutation_count	mutation	PC1	-0.167166228241763	0.167166228241763
mutation_prevalence_PTEN	mutation	PC1	-0.160693447942067	0.160693447942067
mutation_prevalence_RB1	mutation	PC1	-0.154522800262803	0.154522800262803
mutation_prevalence_CTNNB1	mutation	PC1	-0.131441925864801	0.131441925864801
mutation_prevalence_APC	mutation	PC1	-0.116769734365834	0.116769734365834
mutation_prevalence_TP53	mutation	PC1	-0.106712081103853	0.106712081103853
mutation_prevalence_MYC	mutation	PC1	-0.104599854082515	0.104599854082515
median_cell_cycle_score	expression	PC1	-0.095129923623271	0.095129923623271
median_proliferation_score	expression	PC1	-0.0941963461239828	0.0941963461239828
median_arm_gain_count	copy_number_aneuploidy	PC1	-0.0931189650044964	0.0931189650044964
mutation_prevalence_SMAD4	mutation	PC1	-0.0927415282995971	0.0927415282995971
median_epithelial_score	expression	PC1	-0.0900620260872435	0.0900620260872435
mutation_prevalence_KRAS	mutation	PC1	-0.0892976150765159	0.0892976150765159
mutation_prevalence_EGFR	mutation	PC1	-0.0835526725210739	0.0835526725210739
median_lineage_or_tissue_PC2	expression	PC1	-0.0832025223554986	0.0832025223554986
median_lineage_or_tissue_PC1	expression	PC1	0.0820689972846111	0.0820689972846111
median_ploidy	copy_number_aneuploidy	PC1	-0.081507015357105	0.081507015357105
median_aneuploidy_score	copy_number_aneuploidy	PC1	-0.0802331317146834	0.0802331317146834
median_total_arm_alteration_count	copy_number_aneuploidy	PC1	-0.0802331317146834	0.0802331317146834
mutation_prevalence_CDKN2A	mutation	PC1	-0.0738922809062073	0.0738922809062073
median_angiogenesis_score	expression	PC1	0.0649878984820547	0.0649878984820547
mutation_prevalence_IDH2	mutation	PC1	-0.058550642280199	0.058550642280199
mutation_prevalence_BRAF	mutation	PC1	-0.0571541153902934	0.0571541153902934
median_EMT_score	expression	PC1	0.0550113904837354	0.0550113904837354
median_DNA_repair_score	expression	PC1	-0.0481308816532138	0.0481308816532138
mutation_prevalence_VHL	mutation	PC1	0.039078827647728	0.039078827647728
median_arm_loss_count	copy_number_aneuploidy	PC1	-0.0387392491052427	0.0387392491052427
median_hypoxia_score	expression	PC1	-0.0374497877263213	0.0374497877263213
median_immune_inflammatory_score	expression	PC1	0.0354950268277364	0.0354950268277364
