feature_name	feature_class	raw_variance	scaled_variance	raw_median	raw_iqr
median_arm_gain_count	copy_number_aneuploidy	6.05871212121212	1	3	4
median_ploidy	copy_number_aneuploidy	0.128341382575758	1	2.12	0.395
median_purity	copy_number_aneuploidy	0.0194293087121212	1	0.67	0.17
median_arm_loss_count	copy_number_aneuploidy	12.4393939393939	1	5	5
median_aneuploidy_score	copy_number_aneuploidy	30.967803030303	1	9	9
median_total_arm_alteration_count	copy_number_aneuploidy	30.967803030303	1	9	9
median_lineage_or_tissue_PC1	expression	10.8056670837647	1	0.630763813694477	4.92167178227994
median_hypoxia_score	expression	0.187519581199324	1	-0.132878979458879	0.360226098493433
median_proliferation_score	expression	0.49201178264254	1	-0.0696616741230983	1.0574672284993
median_cytotoxic_t_cell_score	expression	0.240987848406759	1	-0.201340700334111	0.174937157700536
median_interferon_gamma_score	expression	0.114519495098826	1	-0.243170226437635	0.269680483280403
median_epithelial_score	expression	0.352259028877522	1	-0.141856705603552	0.743009488072065
median_DNA_repair_score	expression	0.454287191697172	1	-0.0509670670997959	0.741463528043968
median_angiogenesis_score	expression	0.37461716367383	1	-0.262635971559612	0.336001701365414
median_immune_inflammatory_score	expression	0.262432213360732	1	-0.215142545886055	0.174399588215342
median_lineage_or_tissue_PC2	expression	3.71360746340148	1	0.712782200059481	1.46212202431021
median_EMT_score	expression	0.105951285198345	1	-0.144536510970547	0.495313775385842
median_cell_cycle_score	expression	0.502807439855258	1	-0.0737106908617051	1.12482618551482
median_stromal_score	expression	0.182356730723228	1	-0.28769765247401	0.24441891963672
mutation_prevalence_IDH1	mutation	0.0182533987603368	1	0.00662251655629139	0.0196078431372549
tmb_proxy_mean_total_mutation_count	mutation	132952.65833108	1	135.561629153269	288.496874094315
mutation_prevalence_EGFR	mutation	0.00217994138972546	1	0.0145631067961165	0.0269607843137255
mutation_prevalence_MET	mutation	0.000650516712488133	1	0.0103092783505155	0.0264900662251656
mutation_prevalence_BAP1	mutation	0.00316450283375735	1	0.0107181136120043	0.0363247863247863
mutation_prevalence_BRAF	mutation	0.0177931345453958	1	0.0121951219512195	0.0267758013842629
mutation_prevalence_CTNNB1	mutation	0.00423273016717202	1	0.00813008130081301	0.0349068541300527
mutation_prevalence_MYC	mutation	0.000263678960799012	1	0.00321543408360129	0.0117878192534381
mutation_prevalence_MSH2	mutation	0.0002495023248221	1	0.00561797752808989	0.0175746924428823
mutation_prevalence_POLE	mutation	0.00108300109163399	1	0.0151515151515152	0.0248278696947898
mutation_prevalence_VHL	mutation	0.00647521114410118	1	0	0.00683371298405467
tmb_proxy_mean_nonsynonymous_count	mutation	47604.2869606163	1	89.0235798499464	150.146358630398
tmb_proxy_median_nonsynonymous_count	mutation	6668.1865530303	1	51	78
mutation_prevalence_RB1	mutation	0.00189587396811544	1	0.027027027027027	0.048054794520548
mutation_prevalence_TP53	mutation	0.0867630031416617	1	0.315136476426799	0.430706792528038
mutation_prevalence_NF1	mutation	0.00185150876723449	1	0.0418410041841004	0.0559616013963128
tmb_proxy_median_total_mutation_count	mutation	17373.9886363636	1	77	124
mutation_prevalence_PIK3CA	mutation	0.0165930638578798	1	0.0356164383561644	0.13482579902102
mutation_prevalence_SMAD4	mutation	0.0022385931117784	1	0.00857449088960343	0.0275049115913556
mutation_prevalence_BRCA1	mutation	0.000534980218234676	1	0.0108108108108108	0.0318906605922551
mutation_prevalence_ALK	mutation	0.000924175245525729	1	0.0142857142857143	0.0261953877076061
mutation_prevalence_APC	mutation	0.0321384591186091	1	0.0251046025104603	0.0301812814147068
mutation_prevalence_BRCA2	mutation	0.00129129002789893	1	0.0219178082191781	0.0401315789473684
mutation_prevalence_KRAS	mutation	0.0230832381896556	1	0.0145631067961165	0.0501501501501502
mutation_prevalence_MSH6	mutation	0.000464660897885019	1	0.00728155339805825	0.013772411074061
mutation_prevalence_ARID1A	mutation	0.00832064804003932	1	0.0407288317256163	0.0693510911957514
mutation_prevalence_PMS2	mutation	0.000246526139989248	1	0.00561797752808989	0.015817223198594
mutation_prevalence_MLH1	mutation	0.000217444737305061	1	0.00418410041841004	0.0171821305841924
mutation_prevalence_CDKN2A	mutation	0.00327791325245877	1	0.00543478260869565	0.041002277904328
mutation_prevalence_IDH2	mutation	0.000272947131264735	0.999999999999999	0.0027027027027027	0.00709219858156028
mutation_prevalence_TERT	mutation	0.000104094279799366	0.999999999999999	0.007502679528403	0.0124069478908189
mutation_prevalence_PTEN	mutation	0.0150209037145018	0.999999999999999	0.0283687943262411	0.0491861793260994
mutation_prevalence_ERBB2	mutation	0.000797347328088444	0.999999999999998	0.0112359550561798	0.0340249798549556
