project_id	project_code	major_cancer_group	disease_type	primary_site	cluster_k3	cluster_k4	cluster_k5	cluster_k6	cluster_k7	cluster_k8
TCGA-ACC	ACC	Neuroendocrine/adrenal/paraganglioma	Adenomas and Adenocarcinomas	Adrenal gland	1	1	1	1	1	1
TCGA-BLCA	BLCA	Carcinoma	Epithelial Neoplasms, NOS;Squamous Cell Neoplasms;Transitional Cell Papillomas and Carcinomas;Adenomas and Adenocarcinomas	Bladder	1	1	2	2	2	2
TCGA-BRCA	BRCA	Carcinoma	Adnexal and Skin Appendage Neoplasms;Adenomas and Adenocarcinomas;Ductal and Lobular Neoplasms;Cystic, Mucinous and Serous Neoplasms;Complex Epithelial Neoplasms;Fibroepithelial Neoplasms;Squamous Cell Neoplasms;Epithelial Neoplasms, NOS;Basal Cell Neoplasms	Breast	1	1	2	2	2	2
TCGA-CESC	CESC	Carcinoma	Squamous Cell Neoplasms;Cystic, Mucinous and Serous Neoplasms;Complex Epithelial Neoplasms;Adenomas and Adenocarcinomas	Cervix uteri;Ovary	1	1	2	2	2	2
TCGA-CHOL	CHOL	Carcinoma	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts;Other and unspecified parts of biliary tract;Pancreas	1	1	1	1	1	1
TCGA-COAD	COAD	Carcinoma	Cystic, Mucinous and Serous Neoplasms;Complex Epithelial Neoplasms;Epithelial Neoplasms, NOS;Adenomas and Adenocarcinomas	Colon;Rectosigmoid junction	1	1	2	2	2	2
TCGA-DLBC	DLBC	Hematolymphoid	Mature B-Cell Lymphomas;Not Reported	Colon;Retroperitoneum and peritoneum;Heart, mediastinum, and pleura;Breast;Bones, joints and articular cartilage of other and unspecified sites;Lymph nodes;Small intestine;Stomach;Testis;Brain;Connective, subcutaneous and other soft tissues;Thyroid gland;Hematopoietic and reticuloendothelial systems;Other and unspecified major salivary glands	1	2	3	3	3	3
TCGA-ESCA	ESCA	Carcinoma	Squamous Cell Neoplasms;Cystic, Mucinous and Serous Neoplasms;Adenomas and Adenocarcinomas	Esophagus;Stomach	1	1	2	2	2	2
TCGA-GBM	GBM	CNS/glial	Not Reported;Gliomas	Brain	1	1	1	1	1	1
TCGA-HNSC	HNSC	Carcinoma	Squamous Cell Neoplasms	Lip;Tonsil;Gum;Bones, joints and articular cartilage of other and unspecified sites;Palate;Other and unspecified parts of tongue;Floor of mouth;Other and ill-defined sites in lip, oral cavity and pharynx;Larynx;Base of tongue;Other and unspecified parts of mouth;Oropharynx;Hypopharynx	1	1	2	2	2	2
