distance_method	k	cluster_id	n_projects	projects_included	major_cancer_groups_represented	median_mutation_count_proxy	median_TP53_prevalence	median_KRAS_prevalence	median_BRAF_prevalence	median_IDH1_prevalence	median_IDH2_prevalence	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_immune_inflammatory_score	median_proliferation_score	median_EMT_score	interpretation_label
gower	3	1	31	ACC;BLCA;BRCA;CESC;CHOL;COAD;DLBC;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LAML;LGG;LIHC;LUAD;LUSC;MESO;OV;PAAD;PCPG;PRAD;READ;SARC;STAD;TGCT;THCA;THYM;UCS;UVM	none	47	0.315136476426799	0.0136986301369863	0.0112359550561798	0.00618556701030928	0.00248138957816377	0.665	2.12	9	3	5	-0.215142545886055	-0.183840033587076	-0.144536510970547	GI carcinoma enriched
gower	3	2	1	SKCM	none	413	0.153846153846154	0.0277777777777778	0.523504273504274	0.0555555555555556	0.00427350427350427	0.7	2.13	11	4	6	-0.144006289330594	-0.0696616741230983	0.388412136629408	high mutation burden / immune-active outlier
gower	3	3	1	UCEC	none	76	0.384180790960452	0.192090395480226	0.0470809792843691	0.0376647834274953	0.0489642184557439	0.76	2.04	3	1	0	-0.220294789561388	0.167975184045374	-0.312563023540975	gynecologic outlier with distinctive molecular profile
gower	4	1	30	ACC;BLCA;BRCA;CESC;CHOL;COAD;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LAML;LGG;LIHC;LUAD;LUSC;MESO;OV;PAAD;PCPG;PRAD;READ;SARC;STAD;TGCT;THCA;THYM;UCS;UVM	none	44.5	0.316659147304309	0.0129468760441029	0.0110527601367855	0.00640404178330034	0.00259204614043324	0.6675	2.125	9.5	3	5.5	-0.217865878346025	-0.193855388609757	-0.130743963647096	GI carcinoma enriched
gower	4	2	1	DLBC	none	113	0.135135135135135	0.0540540540540541	0.027027027027027	0	0	0.55	2.1	6	4	1	1.77397487795647	1.78839362899844	-0.275512985625056	hematolymphoid outlier
gower	4	3	1	SKCM	none	413	0.153846153846154	0.0277777777777778	0.523504273504274	0.0555555555555556	0.00427350427350427	0.7	2.13	11	4	6	-0.144006289330594	-0.0696616741230983	0.388412136629408	high mutation burden / immune-active outlier
gower	4	4	1	UCEC	none	76	0.384180790960452	0.192090395480226	0.0470809792843691	0.0376647834274953	0.0489642184557439	0.76	2.04	3	1	0	-0.220294789561388	0.167975184045374	-0.312563023540975	gynecologic outlier with distinctive molecular profile
gower	5	1	18	ACC;CHOL;GBM;KICH;KIRC;KIRP;LAML;LGG;LIHC;MESO;PAAD;PCPG;PRAD;SARC;TGCT;THCA;THYM;UVM	none	27.25	0.11479250334672	0.00806504065040651	0.0055691023309638	0.00552638006839277	0	0.7425	2	6.5	1	3	-0.252609322006146	-0.57927922749899	0.0324151050788023	GI carcinoma enriched
gower	5	2	12	BLCA;BRCA;CESC;COAD;ESCA;HNSC;LUAD;LUSC;OV;READ;STAD;UCS	none	106	0.626179744982472	0.0469561291293551	0.0246559495982295	0.0070625980423472	0.00470508879403764	0.61	2.4825	13	5	7	-0.194620757230807	0.458135963459695	-0.235327892942941	GI carcinoma enriched
gower	5	3	1	DLBC	none	113	0.135135135135135	0.0540540540540541	0.027027027027027	0	0	0.55	2.1	6	4	1	1.77397487795647	1.78839362899844	-0.275512985625056	hematolymphoid outlier
gower	5	4	1	SKCM	none	413	0.153846153846154	0.0277777777777778	0.523504273504274	0.0555555555555556	0.00427350427350427	0.7	2.13	11	4	6	-0.144006289330594	-0.0696616741230983	0.388412136629408	high mutation burden / immune-active outlier
gower	5	5	1	UCEC	none	76	0.384180790960452	0.192090395480226	0.0470809792843691	0.0376647834274953	0.0489642184557439	0.76	2.04	3	1	0	-0.220294789561388	0.167975184045374	-0.312563023540975	gynecologic outlier with distinctive molecular profile
gower	6	1	18	ACC;CHOL;GBM;KICH;KIRC;KIRP;LAML;LGG;LIHC;MESO;PAAD;PCPG;PRAD;SARC;TGCT;THCA;THYM;UVM	none	27.25	0.11479250334672	0.00806504065040651	0.0055691023309638	0.00552638006839277	0	0.7425	2	6.5	1	3	-0.252609322006146	-0.57927922749899	0.0324151050788023	GI carcinoma enriched
gower	6	2	11	BLCA;BRCA;CESC;COAD;ESCA;HNSC;LUAD;LUSC;OV;READ;STAD	none	107	0.549019607843137	0.0389294403892944	0.0316301703163017	0.007502679528403	0.00455580865603645	0.61	2.395	13	5	7	-0.190997747699753	0.455600112551992	-0.248020045938478	GI carcinoma enriched
gower	6	3	1	DLBC	none	113	0.135135135135135	0.0540540540540541	0.027027027027027	0	0	0.55	2.1	6	4	1	1.77397487795647	1.78839362899844	-0.275512985625056	hematolymphoid outlier
gower	6	4	1	SKCM	none	413	0.153846153846154	0.0277777777777778	0.523504273504274	0.0555555555555556	0.00427350427350427	0.7	2.13	11	4	6	-0.144006289330594	-0.0696616741230983	0.388412136629408	high mutation burden / immune-active outlier
gower	6	5	1	UCEC	none	76	0.384180790960452	0.192090395480226	0.0470809792843691	0.0376647834274953	0.0489642184557439	0.76	2.04	3	1	0	-0.220294789561388	0.167975184045374	-0.312563023540975	gynecologic outlier with distinctive molecular profile
gower	6	6	1	UCS	none	47	0.912280701754386	0.12280701754386	0.0175438596491228	0	0.0175438596491228	0.855	3.19	19	7	9	-0.29854179906869	0.563571021805691	0.378050453509526	gynecologic outlier with distinctive molecular profile
gower	7	1	15	ACC;CHOL;GBM;KICH;KIRC;KIRP;LGG;LIHC;MESO;PAAD;PCPG;PRAD;SARC;THCA;UVM	none	28	0.170731707317073	0.00540540540540541	0.0108695652173913	0.00543478260869565	0	0.745	2	7	1	3	-0.26867207135644	-0.647781267320033	0.0349075606268883	GI carcinoma enriched
gower	7	2	11	BLCA;BRCA;CESC;COAD;ESCA;HNSC;LUAD;LUSC;OV;READ;STAD	none	107	0.549019607843137	0.0389294403892944	0.0316301703163017	0.007502679528403	0.00455580865603645	0.61	2.395	13	5	7	-0.190997747699753	0.455600112551992	-0.248020045938478	GI carcinoma enriched
