project_code_a	project_code_b	bootstrap_iterations	cutree_k	n_same_cluster	co_clustering_frequency
COAD	READ	100	6	100	1
MESO	PCPG	100	6	100	1
MESO	PRAD	100	6	100	1
MESO	THCA	100	6	100	1
MESO	UVM	100	6	100	1
PCPG	PRAD	100	6	100	1
PCPG	THCA	100	6	100	1
PCPG	UVM	100	6	100	1
PRAD	THCA	100	6	100	1
PRAD	UVM	100	6	100	1
THCA	UVM	100	6	100	1
KIRP	MESO	100	6	99	0.99
KIRP	PCPG	100	6	99	0.99
KIRP	PRAD	100	6	99	0.99
KIRP	THCA	100	6	99	0.99
KIRP	UVM	100	6	99	0.99
CHOL	MESO	100	6	98	0.98
CHOL	PCPG	100	6	98	0.98
CHOL	PRAD	100	6	98	0.98
CHOL	THCA	100	6	98	0.98
CHOL	UVM	100	6	98	0.98
LUAD	LUSC	100	6	98	0.98
CHOL	KIRP	100	6	97	0.97
KICH	MESO	100	6	97	0.97
KICH	PCPG	100	6	97	0.97
KICH	PRAD	100	6	97	0.97
KICH	THCA	100	6	97	0.97
KICH	UVM	100	6	97	0.97
KIRP	SARC	100	6	97	0.97
CHOL	LGG	100	6	96	0.96
ESCA	LUAD	100	6	96	0.96
ESCA	LUSC	100	6	96	0.96
KICH	KIRP	100	6	96	0.96
MESO	SARC	100	6	96	0.96
PCPG	SARC	100	6	96	0.96
PRAD	SARC	100	6	96	0.96
SARC	THCA	100	6	96	0.96
SARC	UVM	100	6	96	0.96
BLCA	STAD	100	6	95	0.95
CHOL	KICH	100	6	95	0.95
ESCA	STAD	100	6	95	0.95
GBM	SARC	100	6	95	0.95
KIRP	LIHC	100	6	95	0.95
LUAD	STAD	100	6	95	0.95
LUSC	STAD	100	6	95	0.95
CHOL	SARC	100	6	94	0.94
GBM	KIRP	100	6	94	0.94
KICH	SARC	100	6	94	0.94
LGG	MESO	100	6	94	0.94
LGG	PCPG	100	6	94	0.94
LGG	PRAD	100	6	94	0.94
LGG	THCA	100	6	94	0.94
LGG	UVM	100	6	94	0.94
LIHC	MESO	100	6	94	0.94
LIHC	PCPG	100	6	94	0.94
LIHC	PRAD	100	6	94	0.94
LIHC	THCA	100	6	94	0.94
LIHC	UVM	100	6	94	0.94
GBM	MESO	100	6	93	0.93
GBM	PCPG	100	6	93	0.93
GBM	PRAD	100	6	93	0.93
GBM	THCA	100	6	93	0.93
GBM	UVM	100	6	93	0.93
KIRP	LGG	100	6	93	0.93
BLCA	ESCA	100	6	92	0.92
BLCA	LUAD	100	6	92	0.92
BLCA	LUSC	100	6	92	0.92
CHOL	LIHC	100	6	92	0.92
LIHC	SARC	100	6	92	0.92
CHOL	GBM	100	6	91	0.91
GBM	KICH	100	6	91	0.91
KICH	LGG	100	6	91	0.91
KICH	LIHC	100	6	91	0.91
CESC	ESCA	100	6	90	0.9
ESCA	HNSC	100	6	90	0.9
LGG	SARC	100	6	90	0.9
