qc_section	feature_name	metric	value
global	ALL	expected_tcga_projects	33
global	ALL	included_tcga_projects	33
global	ALL	missing_expected_projects	none
global	ALL	raw_biologic_features	52
global	ALL	features_retained_for_tree	52
global	ALL	features_dropped	0
global	ALL	dropped_features	none
global	ALL	imputed_values	0
global	ALL	distance_methods_generated	gower;correlation
global	ALL	tree_files_generated	level1_pan_cancer_gower_hclust_tree.nwk;level1_pan_cancer_correlation_hclust_tree.nwk;level1_pan_cancer_neighbor_joining_tree.nwk
global	ALL	figure_files_generated	level1_pan_cancer_gower_tree.pdf;level1_pan_cancer_correlation_tree.pdf;level1_pan_cancer_tree_with_trait_heatmap.pdf;level1_pan_cancer_feature_pca.pdf
global	ALL	bootstrap_iterations_completed	100
global	ALL	neighbor_joining_succeeded	TRUE
global	ALL	neighbor_joining_message	neighbor_joining_succeeded
global	ALL	warnings_or_limitations	This is a pan-cancer molecular similarity dendrogram / molecular trait tree, not a literal species-like cancer phylogeny
per_feature	median_DNA_repair_score	missing_fraction	0
per_feature	median_DNA_repair_score	n_missing_projects	0
per_feature	median_DNA_repair_score	imputed_value	-0.0509670670997959
per_feature	median_DNA_repair_score	n_imputed_values	0
per_feature	median_DNA_repair_score	retained_for_tree	TRUE
per_feature	median_DNA_repair_score	drop_reason	
per_feature	median_EMT_score	missing_fraction	0
per_feature	median_EMT_score	n_missing_projects	0
per_feature	median_EMT_score	imputed_value	-0.144536510970547
per_feature	median_EMT_score	n_imputed_values	0
per_feature	median_EMT_score	retained_for_tree	TRUE
per_feature	median_EMT_score	drop_reason	
per_feature	median_aneuploidy_score	missing_fraction	0
per_feature	median_aneuploidy_score	n_missing_projects	0
per_feature	median_aneuploidy_score	imputed_value	9
per_feature	median_aneuploidy_score	n_imputed_values	0
per_feature	median_aneuploidy_score	retained_for_tree	TRUE
per_feature	median_aneuploidy_score	drop_reason	
per_feature	median_angiogenesis_score	missing_fraction	0
per_feature	median_angiogenesis_score	n_missing_projects	0
per_feature	median_angiogenesis_score	imputed_value	-0.262635971559612
per_feature	median_angiogenesis_score	n_imputed_values	0
per_feature	median_angiogenesis_score	retained_for_tree	TRUE
per_feature	median_angiogenesis_score	drop_reason	
per_feature	median_arm_gain_count	missing_fraction	0
per_feature	median_arm_gain_count	n_missing_projects	0
per_feature	median_arm_gain_count	imputed_value	3
per_feature	median_arm_gain_count	n_imputed_values	0
per_feature	median_arm_gain_count	retained_for_tree	TRUE
