project_code	project_id	major_cancer_group	weighting_scenario	cluster_k6
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	unweighted_all_features	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	equal_weight_mutation_copy_number_expression	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	mutation_down_weighted	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	copy_number_down_weighted	1
ACC	TCGA-ACC	Neuroendocrine/adrenal/paraganglioma	expression_down_weighted	1
BLCA	TCGA-BLCA	Carcinoma	unweighted_all_features	2
BLCA	TCGA-BLCA	Carcinoma	equal_weight_mutation_copy_number_expression	2
BLCA	TCGA-BLCA	Carcinoma	mutation_down_weighted	2
BLCA	TCGA-BLCA	Carcinoma	copy_number_down_weighted	2
BLCA	TCGA-BLCA	Carcinoma	expression_down_weighted	2
BRCA	TCGA-BRCA	Carcinoma	unweighted_all_features	2
BRCA	TCGA-BRCA	Carcinoma	equal_weight_mutation_copy_number_expression	2
BRCA	TCGA-BRCA	Carcinoma	mutation_down_weighted	2
BRCA	TCGA-BRCA	Carcinoma	copy_number_down_weighted	2
BRCA	TCGA-BRCA	Carcinoma	expression_down_weighted	1
CESC	TCGA-CESC	Carcinoma	unweighted_all_features	2
CESC	TCGA-CESC	Carcinoma	equal_weight_mutation_copy_number_expression	2
CESC	TCGA-CESC	Carcinoma	mutation_down_weighted	2
CESC	TCGA-CESC	Carcinoma	copy_number_down_weighted	2
CESC	TCGA-CESC	Carcinoma	expression_down_weighted	2
CHOL	TCGA-CHOL	Carcinoma	unweighted_all_features	1
CHOL	TCGA-CHOL	Carcinoma	equal_weight_mutation_copy_number_expression	3
CHOL	TCGA-CHOL	Carcinoma	mutation_down_weighted	1
CHOL	TCGA-CHOL	Carcinoma	copy_number_down_weighted	1
CHOL	TCGA-CHOL	Carcinoma	expression_down_weighted	1
COAD	TCGA-COAD	Carcinoma	unweighted_all_features	2
COAD	TCGA-COAD	Carcinoma	equal_weight_mutation_copy_number_expression	2
COAD	TCGA-COAD	Carcinoma	mutation_down_weighted	2
COAD	TCGA-COAD	Carcinoma	copy_number_down_weighted	2
COAD	TCGA-COAD	Carcinoma	expression_down_weighted	2
DLBC	TCGA-DLBC	Hematolymphoid	unweighted_all_features	3
DLBC	TCGA-DLBC	Hematolymphoid	equal_weight_mutation_copy_number_expression	4
DLBC	TCGA-DLBC	Hematolymphoid	mutation_down_weighted	3
DLBC	TCGA-DLBC	Hematolymphoid	copy_number_down_weighted	3
DLBC	TCGA-DLBC	Hematolymphoid	expression_down_weighted	3
ESCA	TCGA-ESCA	Carcinoma	unweighted_all_features	2
ESCA	TCGA-ESCA	Carcinoma	equal_weight_mutation_copy_number_expression	2
ESCA	TCGA-ESCA	Carcinoma	mutation_down_weighted	2
ESCA	TCGA-ESCA	Carcinoma	copy_number_down_weighted	2
