project_code_a	project_code_b	bootstrap_iterations	cutree_k	n_same_cluster	co_clustering_frequency
COAD	READ	100	4	100	1
KICH	PRAD	100	4	100	1
KICH	THCA	100	4	100	1
PRAD	THCA	100	4	100	1
CESC	HNSC	100	4	99	0.99
HNSC	STAD	100	4	99	0.99
KICH	KIRP	100	4	99	0.99
KIRP	PRAD	100	4	99	0.99
KIRP	THCA	100	4	99	0.99
CESC	STAD	100	4	98	0.98
KIRP	LIHC	100	4	97	0.97
HNSC	LUSC	100	4	96	0.96
KICH	LIHC	100	4	96	0.96
LIHC	PRAD	100	4	96	0.96
LIHC	THCA	100	4	96	0.96
CESC	LUSC	100	4	95	0.95
LUSC	STAD	100	4	95	0.95
ESCA	HNSC	100	4	94	0.94
ESCA	LUSC	100	4	94	0.94
LUAD	LUSC	100	4	94	0.94
CESC	ESCA	100	4	93	0.93
ESCA	STAD	100	4	93	0.93
CHOL	KICH	100	4	91	0.91
CHOL	PRAD	100	4	91	0.91
CHOL	THCA	100	4	91	0.91
COAD	STAD	100	4	91	0.91
READ	STAD	100	4	91	0.91
BLCA	STAD	100	4	90	0.9
CHOL	KIRP	100	4	90	0.9
COAD	HNSC	100	4	90	0.9
HNSC	LUAD	100	4	90	0.9
HNSC	READ	100	4	90	0.9
BLCA	HNSC	100	4	89	0.89
BLCA	LUSC	100	4	89	0.89
CESC	COAD	100	4	89	0.89
CESC	LUAD	100	4	89	0.89
CESC	READ	100	4	89	0.89
LUAD	STAD	100	4	89	0.89
BLCA	CESC	100	4	88	0.88
CHOL	LIHC	100	4	88	0.88
ESCA	LUAD	100	4	88	0.88
BLCA	ESCA	100	4	87	0.87
COAD	LUSC	100	4	86	0.86
LUSC	READ	100	4	86	0.86
KICH	PAAD	100	4	85	0.85
PAAD	PRAD	100	4	85	0.85
PAAD	THCA	100	4	85	0.85
COAD	ESCA	100	4	84	0.84
ESCA	OV	100	4	84	0.84
ESCA	READ	100	4	84	0.84
KIRP	PAAD	100	4	84	0.84
BLCA	LUAD	100	4	83	0.83
LIHC	PAAD	100	4	83	0.83
BLCA	COAD	100	4	81	0.81
BLCA	READ	100	4	81	0.81
CESC	OV	100	4	81	0.81
COAD	LUAD	100	4	80	0.8
HNSC	OV	100	4	80	0.8
LUAD	READ	100	4	80	0.8
LUSC	OV	100	4	79	0.79
OV	STAD	100	4	79	0.79
CHOL	PAAD	100	4	76	0.76
LUAD	OV	100	4	74	0.74
BLCA	OV	100	4	72	0.72
COAD	OV	100	4	72	0.72
OV	READ	100	4	72	0.72
BRCA	OV	100	4	66	0.66
BRCA	LIHC	100	4	55	0.55
BRCA	KIRP	100	4	54	0.54
BRCA	KICH	100	4	53	0.53
BRCA	PRAD	100	4	53	0.53
BRCA	THCA	100	4	53	0.53
BRCA	ESCA	100	4	52	0.52
BRCA	CHOL	100	4	51	0.51
BRCA	CESC	100	4	50	0.5
BRCA	HNSC	100	4	49	0.49
KICH	KIRC	100	4	49	0.49
KIRC	KIRP	100	4	49	0.49
KIRC	PRAD	100	4	49	0.49
KIRC	THCA	100	4	49	0.49
BRCA	STAD	100	4	48	0.48
BRCA	LUSC	100	4	47	0.47
KIRC	LIHC	100	4	46	0.46
BLCA	BRCA	100	4	45	0.45
BRCA	PAAD	100	4	45	0.45
BRCA	LUAD	100	4	44	0.44
BRCA	COAD	100	4	42	0.42
BRCA	READ	100	4	42	0.42
CHOL	KIRC	100	4	40	0.4
KIRC	PAAD	100	4	36	0.36
BRCA	KIRC	100	4	25	0.25
LIHC	OV	100	4	24	0.24
KIRP	OV	100	4	22	0.22
KICH	OV	100	4	21	0.21
OV	PRAD	100	4	21	0.21
OV	THCA	100	4	21	0.21
CHOL	OV	100	4	20	0.2
OV	PAAD	100	4	17	0.17
KIRC	OV	100	4	10	0.1
ESCA	LIHC	100	4	9	0.09
ESCA	KIRP	100	4	7	0.07
CESC	LIHC	100	4	6	0.06
CHOL	ESCA	100	4	6	0.06
ESCA	KICH	100	4	6	0.06
ESCA	PRAD	100	4	6	0.06
ESCA	THCA	100	4	6	0.06
ESCA	PAAD	100	4	5	0.05
HNSC	LIHC	100	4	5	0.05
LIHC	LUAD	100	4	5	0.05
LIHC	LUSC	100	4	5	0.05
LIHC	STAD	100	4	5	0.05
BLCA	LIHC	100	4	4	0.04
CESC	KIRP	100	4	4	0.04
BLCA	KIRP	100	4	3	0.03
CESC	CHOL	100	4	3	0.03
CESC	KICH	100	4	3	0.03
CESC	PRAD	100	4	3	0.03
CESC	THCA	100	4	3	0.03
COAD	LIHC	100	4	3	0.03
HNSC	KIRP	100	4	3	0.03
KIRP	LUAD	100	4	3	0.03
KIRP	LUSC	100	4	3	0.03
KIRP	STAD	100	4	3	0.03
LIHC	READ	100	4	3	0.03
BLCA	CHOL	100	4	2	0.02
BLCA	KICH	100	4	2	0.02
BLCA	PRAD	100	4	2	0.02
BLCA	THCA	100	4	2	0.02
CESC	PAAD	100	4	2	0.02
CHOL	HNSC	100	4	2	0.02
CHOL	LUAD	100	4	2	0.02
CHOL	LUSC	100	4	2	0.02
CHOL	STAD	100	4	2	0.02
HNSC	KICH	100	4	2	0.02
HNSC	PAAD	100	4	2	0.02
HNSC	PRAD	100	4	2	0.02
HNSC	THCA	100	4	2	0.02
KICH	LUAD	100	4	2	0.02
KICH	LUSC	100	4	2	0.02
KICH	STAD	100	4	2	0.02
LUAD	PAAD	100	4	2	0.02
LUAD	PRAD	100	4	2	0.02
LUAD	THCA	100	4	2	0.02
LUSC	PAAD	100	4	2	0.02
LUSC	PRAD	100	4	2	0.02
LUSC	THCA	100	4	2	0.02
PAAD	STAD	100	4	2	0.02
PRAD	STAD	100	4	2	0.02
STAD	THCA	100	4	2	0.02
BLCA	PAAD	100	4	1	0.01
CESC	KIRC	100	4	1	0.01
COAD	KIRP	100	4	1	0.01
COAD	PAAD	100	4	1	0.01
ESCA	KIRC	100	4	1	0.01
KIRP	READ	100	4	1	0.01
PAAD	READ	100	4	1	0.01
BLCA	KIRC	100	4	0	0
BLCA	UCEC	100	4	0	0
BRCA	UCEC	100	4	0	0
CESC	UCEC	100	4	0	0
CHOL	COAD	100	4	0	0
CHOL	READ	100	4	0	0
CHOL	UCEC	100	4	0	0
COAD	KICH	100	4	0	0
COAD	KIRC	100	4	0	0
COAD	PRAD	100	4	0	0
COAD	THCA	100	4	0	0
COAD	UCEC	100	4	0	0
ESCA	UCEC	100	4	0	0
HNSC	KIRC	100	4	0	0
HNSC	UCEC	100	4	0	0
KICH	READ	100	4	0	0
KICH	UCEC	100	4	0	0
KIRC	LUAD	100	4	0	0
KIRC	LUSC	100	4	0	0
KIRC	READ	100	4	0	0
KIRC	STAD	100	4	0	0
KIRC	UCEC	100	4	0	0
KIRP	UCEC	100	4	0	0
LIHC	UCEC	100	4	0	0
LUAD	UCEC	100	4	0	0
LUSC	UCEC	100	4	0	0
OV	UCEC	100	4	0	0
PAAD	UCEC	100	4	0	0
PRAD	READ	100	4	0	0
PRAD	UCEC	100	4	0	0
READ	THCA	100	4	0	0
READ	UCEC	100	4	0	0
STAD	UCEC	100	4	0	0
THCA	UCEC	100	4	0	0
