project_code_a	project_code_b	bootstrap_iterations	cutree_k	n_same_cluster	co_clustering_frequency
COAD	READ	100	3	99	0.99
COAD	STAD	100	3	88	0.88
READ	STAD	100	3	87	0.87
CHOL	LIHC	100	3	86	0.86
PAAD	LIHC	100	3	73	0.73
PAAD	CHOL	100	3	67	0.67
READ	ESCA	100	3	38	0.38
COAD	ESCA	100	3	37	0.37
STAD	ESCA	100	3	36	0.36
ESCA	LIHC	100	3	7	0.07
ESCA	CHOL	100	3	6	0.06
ESCA	PAAD	100	3	1	0.01
STAD	CHOL	100	3	1	0.01
STAD	LIHC	100	3	1	0.01
COAD	CHOL	100	3	0	0
COAD	LIHC	100	3	0	0
COAD	PAAD	100	3	0	0
READ	CHOL	100	3	0	0
READ	LIHC	100	3	0	0
READ	PAAD	100	3	0	0
STAD	PAAD	100	3	0	0
