qc_section	metric	value
global	pilot_samples_evaluated	84
global	limited_vaf_pilot_samples_evaluated	30
global	candidate_local_allele_specific_cn_files_found	0
global	candidate_local_files_parsed_successfully	0
global	standardized_allele_specific_segments	0
global	samples_with_existing_allele_specific_cn	0
global	samples_with_total_cn	0
global	samples_with_major_cn	0
global	samples_with_minor_cn	0
global	samples_with_loh_status	0
global	samples_ready_for_pyclone_vi	0
global	samples_ready_for_phylowgs	0
global	samples_requiring_external_allele_specific_cn_inference	84
global	likely_missing_input_types	tumor_bam_or_precomputed_tumor_snp_counts:84;matched_normal_bam_or_precomputed_normal_snp_counts:84;snp_pileup_or_equivalent_allele_count_input:84
global	parse_warnings	none
global	limitations	segment_mean_is_not_allele_specific_integer_copy_number;major_minor_cn_not_inferred_from_segment_mean;no_pyclone_vi_or_phylowgs_run;single_bulk_samples_limit_branching_inference
project	BLCA_pilot_samples	8
project	BLCA_samples_with_allele_specific_cn	0
project	BLCA_samples_ready_for_pyclone_vi	0
project	COAD_pilot_samples	8
project	COAD_samples_with_allele_specific_cn	0
project	COAD_samples_ready_for_pyclone_vi	0
project	DLBC_pilot_samples	8
project	DLBC_samples_with_allele_specific_cn	0
project	DLBC_samples_ready_for_pyclone_vi	0
project	HNSC_pilot_samples	8
project	HNSC_samples_with_allele_specific_cn	0
project	HNSC_samples_ready_for_pyclone_vi	0
project	LUAD_pilot_samples	8
project	LUAD_samples_with_allele_specific_cn	0
project	LUAD_samples_ready_for_pyclone_vi	0
project	LUSC_pilot_samples	8
project	LUSC_samples_with_allele_specific_cn	0
project	LUSC_samples_ready_for_pyclone_vi	0
project	READ_pilot_samples	8
project	READ_samples_with_allele_specific_cn	0
project	READ_samples_ready_for_pyclone_vi	0
project	SARC_pilot_samples	8
project	SARC_samples_with_allele_specific_cn	0
project	SARC_samples_ready_for_pyclone_vi	0
project	SKCM_pilot_samples	8
project	SKCM_samples_with_allele_specific_cn	0
project	SKCM_samples_ready_for_pyclone_vi	0
project	UCEC_pilot_samples	8
project	UCEC_samples_with_allele_specific_cn	0
project	UCEC_samples_ready_for_pyclone_vi	0
project	UCS_pilot_samples	4
project	UCS_samples_with_allele_specific_cn	0
project	UCS_samples_ready_for_pyclone_vi	0
