project_id	project_code	n_mutation_samples	n_samples_with_ref_alt_counts	n_samples_with_purity_ploidy	n_samples_with_copy_number	n_samples_passing_minimum_filters	median_mutation_count_proxy	median_purity	median_ploidy	median_aneuploidy_score	top_candidate_sample	top_candidate_score	notes
TCGA-LUSC	LUSC	485	485	467	468	378	232.0	0.5	2.73	16.0	TCGA-21-1080-01A	75.66	no_segment_level_cn_for_project
TCGA-SKCM	SKCM	468	468	458	458	361	413.0	0.7	2.13	11.0	TCGA-FS-A1ZG-06A	82.0	no_segment_level_cn_for_project
TCGA-LUAD	LUAD	569	569	494	499	283	199.0	0.45	2.7649999999999997	16.0	TCGA-50-5930-01A	80.75	no_segment_level_cn_for_project
TCGA-BLCA	BLCA	411	411	401	401	262	171.0	0.61	2.99	14.0	TCGA-DK-A6AW-01A	80.25	no_segment_level_cn_for_project
TCGA-HNSC	HNSC	509	509	492	493	245	107.0	0.49	2.12	10.0	TCGA-BA-4078-01A	72.923	no_segment_level_cn_for_project
TCGA-STAD	STAD	439	439	421	423	230	115.0	0.52	2.15	10.0	TCGA-MX-A5UJ-01A	80.75	no_segment_level_cn_for_project
TCGA-COAD	COAD	408	408	385	388	226	116.0	0.66	2.19	11.0	TCGA-AD-6889-01A	79.0	no_segment_level_cn_for_project
TCGA-UCEC	UCEC	531	531	483	505	222	76.0	0.76	2.04	3.0	TCGA-D1-A103-01A	82.0	no_segment_level_cn_for_project
TCGA-LIHC	LIHC	365	365	350	350	135	85.0	0.72	2.14	8.0	TCGA-UB-A7MB-01A	80.25	no_segment_level_cn_for_project
TCGA-BRCA	BRCA	933	933	882	888	133	42.0	0.6	2.17	11.0	TCGA-A8-A09Z-01A	78.25	no_segment_level_cn_for_project
TCGA-CESC	CESC	291	291	280	280	117	87.0	0.67	2.13	8.0	TCGA-IR-A3LA-01A	78.624	no_segment_level_cn_for_project
TCGA-OV	OV	412	412	390	393	98	68.0	0.805	2.6950000000000003	13.0	TCGA-09-2044-01B	79.25	no_segment_level_cn_for_project
TCGA-ESCA	ESCA	185	185	163	163	86	105.0	0.61	2.57	15.0	TCGA-L5-A4OI-01A	77.75	no_segment_level_cn_for_project
TCGA-READ	READ	151	151	134	137	51	91.0	0.665	2.395	13.0	TCGA-AG-A02N-01A	77.75	no_segment_level_cn_for_project
TCGA-KIRP	KIRP	282	282	264	273	43	67.0	0.775	2.14	8.0	TCGA-DZ-6133-01A	80.5	no_segment_level_cn_for_project
TCGA-GBM	GBM	403	403	378	381	34	51.0	0.77	2.0	7.0	TCGA-19-5956-01A	79.25	no_segment_level_cn_for_project
TCGA-DLBC	DLBC	37	37	37	37	31	113.0	0.55	2.1	6.0	TCGA-GS-A9TT-01A	71.159	no_segment_level_cn_for_project
TCGA-SARC	SARC	239	239	230	230	18	41.0	0.78	2.12	10.0	TCGA-DX-A6YV-01A	80.5	no_segment_level_cn_for_project
TCGA-KIRC	KIRC	370	370	323	345	16	53.0	0.56	1.99	4.0	TCGA-B0-5098-01A	71.699	no_segment_level_cn_for_project
TCGA-ACC	ACC	92	92	89	89	13	27.0	0.84	2.54	17.0	TCGA-PK-A5HB-01A	79.104	no_segment_level_cn_for_project
TCGA-PRAD	PRAD	498	498	470	472	10	27.0	0.61	1.98	1.0	TCGA-XK-AAIW-01A	77.25	no_segment_level_cn_for_project
TCGA-LGG	LGG	526	526	507	514	6	28.0	0.75	2.01	2.0	TCGA-DU-6392-01A	77.75	no_segment_level_cn_for_project
TCGA-CHOL	CHOL	36	36	36	36	4	42.0	0.745	1.91	9.0	TCGA-W5-AA39-01A	76.133	no_segment_level_cn_for_project
TCGA-UCS	UCS	57	57	56	56	4	47.0	0.855	3.19	19.0	TCGA-N7-A4Y0-01A	75.671	no_segment_level_cn_for_project
TCGA-THCA	THCA	500	500	453	465	4	10.0	0.67	2.0	0.0	TCGA-FY-A3BL-01A	73.727	no_segment_level_cn_for_project
TCGA-PAAD	PAAD	178	178	162	162	3	35.0	0.4	2.0	7.0	TCGA-IB-7651-01A	66.75	no_segment_level_cn_for_project
TCGA-UVM	UVM	80	80	80	80	1	12.0	0.95	2.03	4.0	TCGA-YZ-A985-01A	76.278	no_segment_level_cn_for_project
TCGA-KICH	KICH	66	66	61	65	1	20.0	0.86	1.63	14.0	TCGA-KN-8428-01A	74.167	no_segment_level_cn_for_project
TCGA-THYM	THYM	123	123	106	106	1	14.0	0.39	2.0	0.0	TCGA-ZB-A966-01A	70.004	no_segment_level_cn_for_project
TCGA-MESO	MESO	82	82	80	80	1	27.5	0.635	1.9449999999999998	6.0	TCGA-UD-AAC1-01A	67.423	no_segment_level_cn_for_project
TCGA-TGCT	TGCT	151	151	150	150	0	13.0	0.6	2.855	19.0	TCGA-2G-AALR-01A	37.89	no_segment_level_cn_for_project;no_samples_passing_minimum_filters
TCGA-LAML	LAML	140	140	70	116	0	13.0	0.85	2.0	0.0	TCGA-AB-2898-03A	35.001	no_segment_level_cn_for_project;no_samples_passing_minimum_filters
TCGA-PCPG	PCPG	184	184	164	164	0	9.0	0.74	1.94	4.0	TCGA-RW-A681-01A	34.396	no_segment_level_cn_for_project;no_samples_passing_minimum_filters
