qc_section	metric	value
global	total_pilot_samples_evaluated	84
global	total_annotated_mutations	220124
global	total_segment_annotated_candidate_mutations	131398
global	total_copy_neutral_candidate_mutations	106337
global	samples_eligible_for_limited_vaf_clustering	79
global	samples_eligible_for_copy_number_aware_clustering	0
global	samples_requiring_allele_specific_cn	84
global	median_copy_neutral_candidate_mutations_per_sample	440.0
global	projects_represented_among_limited_vaf_candidates	BLCA;COAD;DLBC;HNSC;LUAD;LUSC;READ;SARC;SKCM;UCEC;UCS
global	projects_represented_in_selected_limited_vaf_pilot	BLCA;COAD;DLBC;HNSC;LUAD;LUSC;READ;SARC;SKCM;UCEC;UCS
global	limitations	limited_vaf_based_clonal_clustering_only;segment_annotated_not_allele_specific;not_copy_number_aware;requires_allele_specific_cn_for_pyClone_vi_or_phylowgs_cn_aware_inputs
readiness_class	ready_for_limited_vaf_clustering	79
readiness_class	insufficient_neutral_mutations	5
