sample_barcode	patient_barcode	project_id	project_code	n_total_mutations	n_candidate_mutations_with_local_cn	n_copy_neutral_candidate_mutations	median_depth	median_observed_vaf	purity	ploidy	median_local_segment_mean	pct_mutations_neutral_like	pct_mutations_gain_like	pct_mutations_loss_like	eligible_for_limited_vaf_clustering	eligible_for_copy_number_aware_clustering	reason_not_copy_number_aware	readiness_class	notes
TCGA-D1-A103-01A	TCGA-D1-A103	TCGA-UCEC	UCEC	10694	6258	6258	61.0	0.3431014741663089	1.0	2.0	0.0154	99.99028088249587	0.0	0.009719117504130625	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-FS-A1ZG-06A	TCGA-FS-A1ZG	TCGA-SKCM	SKCM	2638	1713	1373	36.0	0.1071428571428571	1.0	1.97	0.0598	79.796397807361	10.884886452623336	9.318715740015662	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-EE-A3AD-06A	TCGA-EE-A3AD	TCGA-SKCM	SKCM	2444	1459	323	37.0	0.1142857142857142	1.0	3.89	0.1193	21.781342338539467	39.257070493879276	38.96158716758126	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-FS-A1ZZ-06A	TCGA-FS-A1ZZ	TCGA-SKCM	SKCM	2604	1399	1148	55.0	0.425	1.0	2.05	0.0197	81.7463453180561	13.591465823785065	4.662188858158831	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AX-A2HC-01A	TCGA-AX-A2HC	TCGA-UCEC	UCEC	23246	11769	11110	44.0	0.4606741573033708	0.99	2.08	-0.009	94.44616954265182	5.473983054606752	0.0798474027414275	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-EE-A17Z-06A	TCGA-EE-A17Z	TCGA-SKCM	SKCM	1506	1032	815	36.0	0.1071428571428571	0.99	1.98	0.0589	79.62835512732278	7.157604955264969	13.21403991741225	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GN-A262-06A	TCGA-GN-A262	TCGA-SKCM	SKCM	1485	866	0	36.0	0.12	1.0	1.71	0.2331	0.0	65.70827489481066	34.29172510518934	False	False	requires_allele_specific_cn	insufficient_neutral_mutations	copy_neutral_candidates_lt_50
TCGA-EE-A2GR-06A	TCGA-EE-A2GR	TCGA-SKCM	SKCM	2864	1559	978	44.0	0.3170731707317073	0.98	3.72	0.0993	63.86281588447653	11.010830324909747	25.126353790613717	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-EE-A29L-06A	TCGA-EE-A29L	TCGA-SKCM	SKCM	3660	2014	668	52.0	0.24841460967288775	0.97	3.41	0.0051	32.50712250712251	42.33618233618234	25.156695156695157	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-D9-A6EC-06A	TCGA-D9-A6EC	TCGA-SKCM	SKCM	5802	3279	1001	65.0	0.3703703703703703	0.95	3.33	0.1736	29.49704671558976	53.21281546447109	17.290137819939144	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AP-A054-01A	TCGA-AP-A054	TCGA-UCEC	UCEC	1730	971	896	85.0	0.3529411764705882	0.95	2.01	0.001	93.4949733885275	5.795387344766411	0.7096392667060911	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-50-5930-01A	TCGA-50-5930	TCGA-LUAD	LUAD	1477	962	750	69.0	0.18562874251497	0.95	2.08	-0.0062	77.17086834733894	16.526610644257705	6.302521008403361	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-DX-A6YV-01A	TCGA-DX-A6YV	TCGA-SARC	SARC	1669	1097	176	35.0	0.1025641025641025	0.94	2.79	-0.2716	16.232961586121437	29.925650557620816	53.84138785625775	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-DK-A6AW-01A	TCGA-DK-A6AW	TCGA-BLCA	BLCA	5076	3286	3239	69.0	0.4444444444444444	0.93	1.98	0.0187	98.58385595792029	0.4046125834513453	1.0115314586283632	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-D1-A177-01A	TCGA-D1-A177	TCGA-UCEC	UCEC	1199	756	708	143.0	0.4117647058823529	0.98	2.04	-0.0142	93.24090121317158	6.759098786828423	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AX-A0J0-01A	TCGA-AX-A0J0	TCGA-UCEC	UCEC	22388	14331	14325	69.0	0.4318181818181818	0.91	2.0	0.0094	99.94523048836147	0.05476951163852122	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-EY-A1GI-01A	TCGA-EY-A1GI	TCGA-UCEC	UCEC	7914	4044	4043	40.0	0.3846153846153846	0.91	2.0	0.0157	99.92212848799481	0.07787151200519143	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-D1-A167-01A	TCGA-D1-A167	TCGA-UCEC	UCEC	2450	1394	1394	85.5	0.4446556822982678	0.91	2.0	0.0054	100.0	0.0	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
