sample_barcode	project_code	n_copy_neutral_candidate_mutations	median_depth	median_observed_vaf	purity	ploidy	selection_rank	selection_reason
TCGA-AX-A0J0-01A	UCEC	14325	69.0	0.4318181818181818	0.91	2.0	1	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=14325
TCGA-AX-A2HC-01A	UCEC	11110	44.0	0.4606741573033708	0.99	2.08	2	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=11110
TCGA-AG-A002-01A	READ	10691	108.0	0.3941368078175896	0.82	2.0	3	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=10691
TCGA-F5-6814-01A	READ	8332	51.0	0.2857142857142857	0.72	1.99	4	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=8332
TCGA-D1-A103-01A	UCEC	6258	61.0	0.3431014741663089	1.0	2.0	5	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=6258
TCGA-EI-6917-01A	READ	4638	54.0	0.25	0.52	2.0	6	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=4638
TCGA-ND-A4WC-01A	UCS	3414	64.0	0.3333333333333333	0.73	2.0	7	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=3414
TCGA-DK-A6AW-01A	BLCA	3239	69.0	0.4444444444444444	0.93	1.98	8	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=3239
TCGA-NH-A5IV-01A	COAD	2217	74.0	0.3518518518518518	0.79	2.0	9	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=2217
TCGA-AA-3492-01A	COAD	1820	49.0	0.3670886075949367	0.81	2.0	10	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1820
TCGA-KQ-A41N-01A	BLCA	1804	42.0	0.106060606060606	0.76	1.97	11	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1804
TCGA-AA-3663-01A	COAD	1737	135.5	0.3151217952134747	0.79	2.1	12	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1737
TCGA-QC-A7B5-01A	SARC	1382	59.0	0.3095238095238095	0.51	3.51	13	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1382
TCGA-FS-A1ZG-06A	SKCM	1373	36.0	0.1071428571428571	1.0	1.97	14	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1373
TCGA-FS-A1ZZ-06A	SKCM	1148	55.0	0.425	1.0	2.05	15	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1148
TCGA-D9-A6EC-06A	SKCM	1001	65.0	0.3703703703703703	0.95	3.33	16	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=1001
TCGA-50-5930-01A	LUAD	750	69.0	0.18562874251497	0.95	2.08	17	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=750
TCGA-CV-6961-01A	HNSC	726	74.0	0.2244897959183673	0.57	1.92	18	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=726
TCGA-CR-7402-01A	HNSC	644	71.0	0.2758620689655172	0.61	2.04	19	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=644
TCGA-94-8490-01A	LUSC	554	148.0	0.3243243243243243	0.79	1.97	20	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=554
TCGA-21-1080-01A	LUSC	528	106.0	0.340560125342734	0.77	1.88	21	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=528
TCGA-05-4397-01A	LUAD	467	91.0	0.3924050632911392	0.87	1.99	22	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=467
TCGA-05-4396-01A	LUAD	461	38.0	0.1081081081081081	0.82	1.86	23	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=461
TCGA-MV-A51V-01A	BLCA	455	76.0	0.1461538461538461	0.75	5.35	24	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=455
TCGA-N7-A4Y0-01A	UCS	447	82.0	0.38949546029192045	0.83	2.27	25	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=447
TCGA-90-7964-01A	LUSC	433	72.0	0.3114754098360656	0.71	1.88	26	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=433
TCGA-KU-A66S-01A	HNSC	406	75.5	0.24621212121212122	0.78	2.07	27	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=406
TCGA-X6-A7WA-01A	SARC	389	39.0	0.0952380952380952	0.81	1.94	28	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=389
TCGA-3B-A9HT-01A	SARC	239	47.0	0.2340425531914893	1.0	3.06	29	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=239
TCGA-GS-A9TT-01A	DLBC	166	69.0	0.4439613526570048	0.91	2.07	30	limited_vaf_based_clonal_clustering_prototype;project_diversity_cap_3;copy_neutral_candidates=166
