qc_section	metric	value
global	total_selected_pilot_samples	30
global	samples_successfully_clustered	30
global	samples_skipped	0
global	samples_skipped_reasons	none
global	total_input_mutations	81154
global	total_clustered_mutations	81154
global	clustering_method_used	GaussianMixture_BIC_per_sample_with_quantile_fallback
global	parameter_settings	min_total_depth=20;min_observed_vaf=0.0;max_observed_vaf=1.0;neutral_segment_mean_min=-0.15;neutral_segment_mean_max=0.15;min_input_mutations=50;max_clusters=6;min_cluster_size=10;random_state=1;bic_simpler_model_tolerance=10.0;expected_clonal_vaf_tolerance=0.08;dominant_cluster_fraction_threshold=0.75;high_entropy_threshold=0.75
global	limitations	limited_vaf_based_clustering_in_copy_neutral_regions_only;not_full_copy_number_aware_phylogeny;branching_order_not_inferred;requires_allele_specific_integer_cn_for_pyClone_vi_or_phylowgs;single_bulk_tcga_samples_limit_phylogenetic_inference
interpretation_class	multicluster_subclonal_like	14
interpretation_class	oligoclonal_like	11
interpretation_class	predominantly_clonal_like	5
