project_id	project_code	n_level3_candidates	n_candidates_with_segments	pct_candidates_with_segments	n_pilot_samples	n_pilot_samples_with_segments	pct_pilot_with_segments	n_pilot_sample_level_matches	n_pilot_patient_level_matches	notes	n_gdc_files_found_for_project	n_gdc_files_matched_to_pilot
TCGA-LUAD	LUAD	569	8	1.406	8	8	100.0	8	0	segment_cn_available	2721	43
TCGA-UCEC	UCEC	531	8	1.507	8	8	100.0	8	0	segment_cn_available	2787	43
TCGA-HNSC	HNSC	509	8	1.572	8	8	100.0	8	0	segment_cn_available	2746	47
TCGA-LUSC	LUSC	485	8	1.649	8	8	100.0	8	0	segment_cn_available	2421	47
TCGA-SKCM	SKCM	468	8	1.709	8	8	100.0	8	0	segment_cn_available	2224	36
TCGA-BLCA	BLCA	411	8	1.946	8	8	100.0	8	0	segment_cn_available	2461	47
TCGA-COAD	COAD	408	8	1.961	8	8	100.0	8	0	segment_cn_available	2300	35
TCGA-SARC	SARC	239	8	3.347	8	8	100.0	8	0	segment_cn_available	1293	38
TCGA-READ	READ	151	8	5.298	8	8	100.0	8	0	segment_cn_available	807	36
TCGA-DLBC	DLBC	37	8	21.622	8	8	100.0	8	0	segment_cn_available	244	43
TCGA-UCS	UCS	57	4	7.018	4	4	100.0	4	0	segment_cn_available	270	19
TCGA-BRCA	BRCA	933	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-LGG	LGG	526	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-THCA	THCA	500	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-PRAD	PRAD	498	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-STAD	STAD	439	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-OV	OV	412	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-GBM	GBM	403	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-KIRC	KIRC	370	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-LIHC	LIHC	365	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-CESC	CESC	291	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-KIRP	KIRP	282	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-ESCA	ESCA	185	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-PCPG	PCPG	184	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-PAAD	PAAD	178	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-TGCT	TGCT	151	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-LAML	LAML	140	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-THYM	THYM	123	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-ACC	ACC	92	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-MESO	MESO	82	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-UVM	UVM	80	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-KICH	KICH	66	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
TCGA-CHOL	CHOL	36	0	0.0	0	0	0.0	0	0	no_segment_level_cn_overlap	0	0
