qc_section	metric	value
global	gdc_query_endpoint	https://api.gdc.cancer.gov/files
global	gdc_query_filters	"{""content"": [{""content"": {""field"": ""cases.project.program.name"", ""value"": [""TCGA""]}, ""op"": ""in""}, {""content"": {""field"": ""cases.project.project_id"", ""value"": [""TCGA-BLCA"", ""TCGA-COAD"", ""TCGA-DLBC"", ""TCGA-HNSC"", ""TCGA-LUAD"", ""TCGA-LUSC"", ""TCGA-READ"", ""TCGA-SARC"", ""TCGA-SKCM"", ""TCGA-UCEC"", ""TCGA-UCS""]}, ""op"": ""in""}, {""content"": {""field"": ""files.data_category"", ""value"": [""Copy Number Variation""]}, ""op"": ""in""}, {""content"": {""field"": ""files.data_type"", ""value"": [""Masked Copy Number Segment"", ""Copy Number Segment"", ""Filtered Copy Number Segment""]}, ""op"": ""in""}, {""content"": {""field"": ""files.access"", ""value"": [""open""]}, ""op"": ""in""}], ""op"": ""and""}"
global	download_mode	pilot_full
global	gdc_segment_files_found	20274
global	gdc_segment_files_matched_to_pilot	434
global	gdc_manifest_match_rows	434
global	pilot_samples_total	84
global	pilot_samples_with_any_gdc_match	84
global	pilot_samples_with_sample_level_match	84
global	pilot_samples_with_selected_best_file	84
global	selected_best_files	84
global	gdc_unique_files_downloaded	74
global	gdc_unique_files_already_present	10
global	gdc_unique_files_parsed_successfully	84
global	pilot_samples_downloaded	84
global	total_segment_rows_processed	34028
global	samples_with_segment_level_cn	84
global	pilot_samples_with_segment_level_cn	84
global	pilot_samples_parsed	84
global	overlap_with_level3_candidates	84
global	candidates_upgraded_to_copy_number_aware	84
global	pilot_samples_upgraded	84
global	pilot_samples_still_lacking_segment_cn	0
global	sample_level_manifest_matches	252
global	patient_level_manifest_matches_lower_confidence	182
global	pilot_projects_with_no_matching_segment_files	none
