qc_section	project_id	project_code	metric	value
global	ALL	ALL	total_mutation_records	3592393
global	ALL	ALL	unique_tumor_samples	10201
global	ALL	ALL	unique_patients	10130
global	ALL	ALL	tcga_projects_detected	33
global	ALL	ALL	expected_tcga_projects_missing	0
global	ALL	ALL	missing_tcga_projects	none
global	ALL	ALL	ref_alt_counts_present	TRUE
global	ALL	ALL	hgvsp_short_present	TRUE
global	ALL	ALL	configured_driver_genes_absent	none
per_project	TCGA-ACC	ACC	sample_count	92
per_project	TCGA-ACC	ACC	nonsynonymous_mutation_count_min	4
per_project	TCGA-ACC	ACC	nonsynonymous_mutation_count_median	27
per_project	TCGA-ACC	ACC	nonsynonymous_mutation_count_mean	84.2065
per_project	TCGA-ACC	ACC	nonsynonymous_mutation_count_max	1841
per_project	TCGA-BLCA	BLCA	sample_count	411
per_project	TCGA-BLCA	BLCA	nonsynonymous_mutation_count_min	1
per_project	TCGA-BLCA	BLCA	nonsynonymous_mutation_count_median	171
per_project	TCGA-BLCA	BLCA	nonsynonymous_mutation_count_mean	248.4136
per_project	TCGA-BLCA	BLCA	nonsynonymous_mutation_count_max	3532
per_project	TCGA-BRCA	BRCA	sample_count	933
per_project	TCGA-BRCA	BRCA	nonsynonymous_mutation_count_min	1
per_project	TCGA-BRCA	BRCA	nonsynonymous_mutation_count_median	42
per_project	TCGA-BRCA	BRCA	nonsynonymous_mutation_count_mean	89.0236
per_project	TCGA-BRCA	BRCA	nonsynonymous_mutation_count_max	5366
per_project	TCGA-CESC	CESC	sample_count	291
per_project	TCGA-CESC	CESC	nonsynonymous_mutation_count_min	5
per_project	TCGA-CESC	CESC	nonsynonymous_mutation_count_median	87
per_project	TCGA-CESC	CESC	nonsynonymous_mutation_count_mean	196.299
per_project	TCGA-CESC	CESC	nonsynonymous_mutation_count_max	11218
per_project	TCGA-CHOL	CHOL	sample_count	36
per_project	TCGA-CHOL	CHOL	nonsynonymous_mutation_count_min	6
per_project	TCGA-CHOL	CHOL	nonsynonymous_mutation_count_median	42
per_project	TCGA-CHOL	CHOL	nonsynonymous_mutation_count_mean	68.0556
per_project	TCGA-CHOL	CHOL	nonsynonymous_mutation_count_max	636
per_project	TCGA-COAD	COAD	sample_count	408
per_project	TCGA-COAD	COAD	nonsynonymous_mutation_count_min	10
per_project	TCGA-COAD	COAD	nonsynonymous_mutation_count_median	116
per_project	TCGA-COAD	COAD	nonsynonymous_mutation_count_mean	437.6765
per_project	TCGA-COAD	COAD	nonsynonymous_mutation_count_max	9516
per_project	TCGA-DLBC	DLBC	sample_count	37
per_project	TCGA-DLBC	DLBC	nonsynonymous_mutation_count_min	31
per_project	TCGA-DLBC	DLBC	nonsynonymous_mutation_count_median	113
per_project	TCGA-DLBC	DLBC	nonsynonymous_mutation_count_mean	129.8108
per_project	TCGA-DLBC	DLBC	nonsynonymous_mutation_count_max	380
per_project	TCGA-ESCA	ESCA	sample_count	185
per_project	TCGA-ESCA	ESCA	nonsynonymous_mutation_count_min	1
per_project	TCGA-ESCA	ESCA	nonsynonymous_mutation_count_median	105
per_project	TCGA-ESCA	ESCA	nonsynonymous_mutation_count_mean	144.027
per_project	TCGA-ESCA	ESCA	nonsynonymous_mutation_count_max	1702
per_project	TCGA-GBM	GBM	sample_count	403
