qc_section	metric	value
global	atlas_schema_version	1.0.0
global	number_of_samples_included	10201
global	number_of_patients_included	10130
global	number_of_projects_represented	33
global	samples_per_project	ACC=92;BLCA=411;BRCA=933;CESC=291;CHOL=36;COAD=408;DLBC=37;ESCA=185;GBM=403;HNSC=509;KICH=66;KIRC=370;KIRP=282;LAML=140;LGG=526;LIHC=365;LUAD=569;LUSC=485;MESO=82;OV=412;PAAD=178;PCPG=184;PRAD=498;READ=151;SARC=239;SKCM=468;STAD=439;TGCT=151;THCA=500;THYM=123;UCEC=531;UCS=57;UVM=80
global	number_of_raw_features	97
global	number_of_retained_features	97
global	number_of_dropped_features	0
global	dropped_features	none
global	number_of_imputed_values	23222
global	expression_included	True
global	pca_built	True
global	nearest_neighbor_index_built	True
global	nearest_neighbor_metrics	euclidean;cosine
global	default_nearest_neighbor_metric	euclidean
global	feature_contract_sha256	5748791f2949084b801c66d9cbe6eb7efec87b44376ebf7eadecc93342f249f7
global	limitations	Reference construction only; no supervised CUP classifier or clinical validation. TCGA is primary-tumor enriched; mutation burden is a mutation-count proxy; median imputation and cross-assay WES/WTS harmonization require external validation before clinical projection.
project:ACC	samples_included	92
project:BLCA	samples_included	411
project:BRCA	samples_included	933
project:CESC	samples_included	291
project:CHOL	samples_included	36
project:COAD	samples_included	408
project:DLBC	samples_included	37
project:ESCA	samples_included	185
project:GBM	samples_included	403
project:HNSC	samples_included	509
project:KICH	samples_included	66
project:KIRC	samples_included	370
project:KIRP	samples_included	282
project:LAML	samples_included	140
project:LGG	samples_included	526
project:LIHC	samples_included	365
project:LUAD	samples_included	569
project:LUSC	samples_included	485
project:MESO	samples_included	82
project:OV	samples_included	412
project:PAAD	samples_included	178
project:PCPG	samples_included	184
project:PRAD	samples_included	498
project:READ	samples_included	151
project:SARC	samples_included	239
project:SKCM	samples_included	468
project:STAD	samples_included	439
project:TGCT	samples_included	151
project:THCA	samples_included	500
project:THYM	samples_included	123
project:UCEC	samples_included	531
project:UCS	samples_included	57
project:UVM	samples_included	80
