GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
10a644e5-e853-4fec-b308-479184062562	1	3301765	6135369	1969	0.5728
10a644e5-e853-4fec-b308-479184062562	1	6135672	7868121	998	0.5627
10a644e5-e853-4fec-b308-479184062562	1	7868699	13769573	2606	0.5054
10a644e5-e853-4fec-b308-479184062562	1	13769925	15533878	1385	0.5699
10a644e5-e853-4fec-b308-479184062562	1	15534068	17042248	386	0.4284
10a644e5-e853-4fec-b308-479184062562	1	17044728	17705663	433	0.5294
10a644e5-e853-4fec-b308-479184062562	1	17715032	19159892	1109	0.5821
10a644e5-e853-4fec-b308-479184062562	1	19160877	25844982	3561	0.5264
10a644e5-e853-4fec-b308-479184062562	1	25845059	29108851	1272	0.4691
10a644e5-e853-4fec-b308-479184062562	1	29110594	29421137	153	0.5374
10a644e5-e853-4fec-b308-479184062562	1	29425071	30957585	1064	0.5923
10a644e5-e853-4fec-b308-479184062562	1	30958329	33323283	1015	0.5084
10a644e5-e853-4fec-b308-479184062562	1	33324037	34852392	1090	0.5952
10a644e5-e853-4fec-b308-479184062562	1	34857739	47396608	6565	0.5392
10a644e5-e853-4fec-b308-479184062562	1	47401996	50470438	1763	0.6361
10a644e5-e853-4fec-b308-479184062562	1	50472176	51952621	553	0.5663
10a644e5-e853-4fec-b308-479184062562	1	51956921	52957741	465	0.4852
10a644e5-e853-4fec-b308-479184062562	1	52959036	54970214	1291	0.5768
10a644e5-e853-4fec-b308-479184062562	1	54970820	58698825	3026	0.6264
10a644e5-e853-4fec-b308-479184062562	1	58698911	67921295	6498	0.3306
10a644e5-e853-4fec-b308-479184062562	1	67934033	91246495	13962	0.3673
10a644e5-e853-4fec-b308-479184062562	1	91247454	94016423	1464	0.3059
10a644e5-e853-4fec-b308-479184062562	1	94016821	94646203	450	0.3793
10a644e5-e853-4fec-b308-479184062562	1	94647490	95099352	363	0.3151
10a644e5-e853-4fec-b308-479184062562	1	95102376	96130099	664	-0.0148
