GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	3301765	49011688	24726	-0.0134
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	49012457	49086364	39	-0.7989
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	49091906	68832737	12990	-0.0266
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	68832803	83529833	8294	-0.0575
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	83530770	152106520	22951	-0.0288
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	152106823	152167164	18	-0.7402
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	1	152167540	247650984	60663	-0.0374
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	2	480597	227889413	124140	-0.0408
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	2	227889633	228046424	111	-0.7439
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	2	228046659	241537572	7879	-0.0193
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	3	2170634	2323933	128	-0.8312
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	3	2780268	15313439	7926	-0.043
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	3	15315139	121057621	58485	-0.055
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	3	121058148	197812401	40594	-0.0378
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	4	1059384	12231989	6366	-0.0104
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	4	12232509	106932839	53082	-0.0449
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	4	106941566	107693470	473	-0.7
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	4	107693735	129581681	12243	-0.0537
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	4	129581696	129581941	4	-1.3949
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	4	129582270	187842528	31284	-0.0444
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	914118	3223306	1272	-0.0495
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	3223630	3224125	3	-1.5949
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	3224502	11229250	6148	-0.0516
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	11230026	11256359	22	-0.4929
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	11257273	27730533	8600	-0.0539
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	27734867	43180469	9136	0.4837
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	43180963	43188345	2	-1.1982
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	43190697	43910646	326	0.5005
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	43916505	116397199	36427	-0.0484
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	116397630	116604816	157	-0.8433
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	5	116604853	180934240	38993	-0.0403
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	1011760	2131939	869	-0.0196
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	2135317	2279439	89	-0.7671
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	2292373	13738210	8268	-0.0233
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	13748870	13774412	20	-0.7759
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	13779198	29319512	9418	-0.0501
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	29320490	54946879	14127	-0.024
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	54947028	66521338	3803	-0.0556
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	66522750	66523030	4	-1.6031
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	6	66526884	170596889	60526	-0.0464
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	664936	37476532	21321	-0.0279
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	37480221	37517426	36	-1.001
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	37517905	42323354	3129	-0.0575
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	42324206	42359924	22	-0.8344
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	42360265	153012487	54416	-0.0453
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	153012913	154067655	179	-0.7244
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	7	154070879	158592540	2809	-0.0144
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	667625	13094721	5581	-0.0419
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	13095202	16867696	2717	-0.0905
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	16868326	43080575	16783	-0.0384
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	46547532	95033017	27487	0.691
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	95035705	95552011	383	-0.7788
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	95559934	103705643	4798	0.7177
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	103705744	121605191	10177	0.6764
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	121605877	133724362	8577	0.7199
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	133728739	137925696	3072	0.6856
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	8	137925818	144182542	2649	0.7381
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	789794	10523295	5872	-0.0412
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	10523383	10524041	3	-1.5952
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	10524292	79220380	25289	-0.0356
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	79220771	80111903	670	-0.1165
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	80111983	98059342	11732	-0.0367
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	98060119	98228264	126	-0.7165
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	9	98229944	138044505	24776	-0.0239
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	10	366509	3539920	1695	-0.026
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	10	3540156	6332786	2237	0.0083
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	10	6334382	20455024	10743	-0.0418
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	10	20457124	20457271	2	-1.8673
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	10	20458493	24967615	2823	-0.0497
58cccb87-22ee-474f-8f42-0d5fa8b7ce17	10	24968210	24988643	12	-0.6793
