GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2dc31a8e-b0af-4c4b-b5db-035de14583c4	1	3301765	247650984	129653	0
2dc31a8e-b0af-4c4b-b5db-035de14583c4	2	480597	153945665	81617	0.0024
2dc31a8e-b0af-4c4b-b5db-035de14583c4	2	153949644	153950179	2	-1.8946
2dc31a8e-b0af-4c4b-b5db-035de14583c4	2	153955820	164997464	6169	-0.002
2dc31a8e-b0af-4c4b-b5db-035de14583c4	2	165001071	165007539	4	-0.9602
2dc31a8e-b0af-4c4b-b5db-035de14583c4	2	165008929	241537572	44337	0.0006
2dc31a8e-b0af-4c4b-b5db-035de14583c4	3	2170634	197812401	107141	0.0021
2dc31a8e-b0af-4c4b-b5db-035de14583c4	4	1059384	123998584	69209	0.0036
2dc31a8e-b0af-4c4b-b5db-035de14583c4	4	123998688	124002972	2	-2.0281
2dc31a8e-b0af-4c4b-b5db-035de14583c4	4	124003041	187842528	34215	0.0022
2dc31a8e-b0af-4c4b-b5db-035de14583c4	5	913983	5802942	3414	-0.0101
2dc31a8e-b0af-4c4b-b5db-035de14583c4	5	5804788	5810619	2	1.1656
2dc31a8e-b0af-4c4b-b5db-035de14583c4	5	5811114	11655960	4352	-0.0061
2dc31a8e-b0af-4c4b-b5db-035de14583c4	5	11658111	11661534	4	-1.021
2dc31a8e-b0af-4c4b-b5db-035de14583c4	5	11662665	180934240	93285	0.0017
2dc31a8e-b0af-4c4b-b5db-035de14583c4	6	1011760	170596889	97095	0.0019
2dc31a8e-b0af-4c4b-b5db-035de14583c4	7	664936	158592540	81886	0.0032
2dc31a8e-b0af-4c4b-b5db-035de14583c4	8	667625	35909255	21194	0.0057
2dc31a8e-b0af-4c4b-b5db-035de14583c4	8	35916957	36011907	35	-0.776
2dc31a8e-b0af-4c4b-b5db-035de14583c4	8	36016639	144182542	60944	0.0052
2dc31a8e-b0af-4c4b-b5db-035de14583c4	9	789794	138044505	68457	0
2dc31a8e-b0af-4c4b-b5db-035de14583c4	10	366509	133411599	81242	0.0024
2dc31a8e-b0af-4c4b-b5db-035de14583c4	11	456012	17383105	10434	-0.0028
2dc31a8e-b0af-4c4b-b5db-035de14583c4	11	17383786	17383800	2	-1.7579
2dc31a8e-b0af-4c4b-b5db-035de14583c4	11	17384070	134272740	67082	0.0008
2dc31a8e-b0af-4c4b-b5db-035de14583c4	12	780472	132605822	74286	-0.0003
2dc31a8e-b0af-4c4b-b5db-035de14583c4	13	18874255	114226675	56943	0.0013
2dc31a8e-b0af-4c4b-b5db-035de14583c4	14	20033191	49998151	15432	0.004
2dc31a8e-b0af-4c4b-b5db-035de14583c4	14	49999684	49999801	2	-1.7946
2dc31a8e-b0af-4c4b-b5db-035de14583c4	14	50004234	105533894	34325	-0.001
2dc31a8e-b0af-4c4b-b5db-035de14583c4	15	23437561	101344124	44758	0.0011
2dc31a8e-b0af-4c4b-b5db-035de14583c4	16	603333	89317317	41198	0.002
2dc31a8e-b0af-4c4b-b5db-035de14583c4	17	1074619	82959812	37267	0.0006
2dc31a8e-b0af-4c4b-b5db-035de14583c4	18	326691	79349796	42932	0.0002
2dc31a8e-b0af-4c4b-b5db-035de14583c4	19	283868	58370362	24139	0
2dc31a8e-b0af-4c4b-b5db-035de14583c4	20	472817	14562213	9012	-0.0006
2dc31a8e-b0af-4c4b-b5db-035de14583c4	20	14565556	14585075	14	-0.8501
2dc31a8e-b0af-4c4b-b5db-035de14583c4	20	14625754	63588502	28531	-0.0015
2dc31a8e-b0af-4c4b-b5db-035de14583c4	21	13974127	46262057	20586	-0.0023
2dc31a8e-b0af-4c4b-b5db-035de14583c4	22	16934932	48940621	17093	0.0007
2dc31a8e-b0af-4c4b-b5db-035de14583c4	X	3236359	38976153	15934	0.0064
2dc31a8e-b0af-4c4b-b5db-035de14583c4	X	38976196	38976730	2	-2.47
2dc31a8e-b0af-4c4b-b5db-035de14583c4	X	38977346	99425169	22130	-0.0052
2dc31a8e-b0af-4c4b-b5db-035de14583c4	X	99425831	99427388	3	-2.7508
2dc31a8e-b0af-4c4b-b5db-035de14583c4	X	99427883	155677414	25781	0.0012
