GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
06d88660-f2c2-4f13-88a1-87638504ab1a	1	3301765	27401536	13012	-0.538
06d88660-f2c2-4f13-88a1-87638504ab1a	1	27410841	29174454	682	0.1589
06d88660-f2c2-4f13-88a1-87638504ab1a	1	29179101	30881533	1164	0.2348
06d88660-f2c2-4f13-88a1-87638504ab1a	1	30881945	33529268	1160	0.1745
06d88660-f2c2-4f13-88a1-87638504ab1a	1	33534887	34834563	957	0.2594
06d88660-f2c2-4f13-88a1-87638504ab1a	1	34835014	40932423	3132	0.1943
06d88660-f2c2-4f13-88a1-87638504ab1a	1	40932767	41018645	46	-0.488
06d88660-f2c2-4f13-88a1-87638504ab1a	1	41025159	46315160	2831	0.2092
06d88660-f2c2-4f13-88a1-87638504ab1a	1	46315930	50670229	2425	0.2572
06d88660-f2c2-4f13-88a1-87638504ab1a	1	50671454	53176239	1105	0.1754
06d88660-f2c2-4f13-88a1-87638504ab1a	1	53176777	91647202	24858	0.2586
06d88660-f2c2-4f13-88a1-87638504ab1a	1	91647333	93584371	907	0.1858
06d88660-f2c2-4f13-88a1-87638504ab1a	1	93590333	99942312	4050	0.2703
06d88660-f2c2-4f13-88a1-87638504ab1a	1	99942738	115128961	8665	0.2347
06d88660-f2c2-4f13-88a1-87638504ab1a	1	115130043	119808199	2975	0.2632
06d88660-f2c2-4f13-88a1-87638504ab1a	1	119809173	119981279	110	0.2185
06d88660-f2c2-4f13-88a1-87638504ab1a	1	119981332	151813896	738	0.1246
06d88660-f2c2-4f13-88a1-87638504ab1a	1	151817072	153584088	1044	0.2303
06d88660-f2c2-4f13-88a1-87638504ab1a	1	153587321	156551313	1325	0.1417
06d88660-f2c2-4f13-88a1-87638504ab1a	1	156552422	159984579	2209	0.2152
06d88660-f2c2-4f13-88a1-87638504ab1a	1	159984999	159985204	2	-2.1609
06d88660-f2c2-4f13-88a1-87638504ab1a	1	159992687	161849414	997	0.1521
06d88660-f2c2-4f13-88a1-87638504ab1a	1	161851114	173510971	8559	0.2287
06d88660-f2c2-4f13-88a1-87638504ab1a	1	173512423	174839467	647	0.1754
06d88660-f2c2-4f13-88a1-87638504ab1a	1	174842513	174850198	2	-2.1997
06d88660-f2c2-4f13-88a1-87638504ab1a	1	174858686	186634805	7334	0.2371
06d88660-f2c2-4f13-88a1-87638504ab1a	1	186642908	203434265	10060	-0.4727
06d88660-f2c2-4f13-88a1-87638504ab1a	1	203437202	207895819	2750	0.2059
06d88660-f2c2-4f13-88a1-87638504ab1a	1	207895956	211017823	2450	0.2728
06d88660-f2c2-4f13-88a1-87638504ab1a	1	211018010	213282877	1318	0.2025
06d88660-f2c2-4f13-88a1-87638504ab1a	1	213287405	220231369	4845	0.2655
06d88660-f2c2-4f13-88a1-87638504ab1a	1	220231967	236968405	10585	0.2182
06d88660-f2c2-4f13-88a1-87638504ab1a	1	236968858	236969331	2	-1.6919
06d88660-f2c2-4f13-88a1-87638504ab1a	1	236969420	240657216	2917	0.2454
06d88660-f2c2-4f13-88a1-87638504ab1a	1	240657459	240657773	2	-2.489
