GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	3301765	26098974	12586	0.456
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	26100877	29476815	1335	0.3887
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	29476942	31148580	1088	0.4671
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	31150820	31152499	2	-0.7587
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	31152542	33221719	885	0.4224
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	33223961	33347337	61	-1.2261
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	33354213	33906134	422	0.1793
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	33908772	47277104	7160	0.1212
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	47277517	54946507	4115	0.1675
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	54951154	57213520	1810	0.2354
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	57213581	57904426	566	0.1615
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	57905370	61788426	2754	0.2205
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	61793172	62712025	575	0.1463
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	62713967	64441692	1235	0.2179
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	64443946	65304028	724	0.1415
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	65304411	73576045	4918	0.2092
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	73576834	79180534	3177	0.1748
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	79180564	88696929	6160	0.2387
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	88696969	99726466	6634	0.203
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	99729706	115101365	8793	0.1777
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	115101934	119984772	3113	0.228
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	146716041	150227709	137	0.8279
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	150229914	150644223	88	0.5897
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	150645155	150753252	71	0.9103
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	150754918	150925926	63	0.6818
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	150927831	150940120	4	1.0901
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	150941402	150943117	2	0.0653
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	150946277	151486314	196	0.6645
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	151487113	151697857	112	0.1063
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	151707901	152729218	543	0.7402
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	152735349	153047149	228	0.4998
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	153049281	153313558	208	0.7759
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	153313742	153402908	48	0.5591
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	153405027	157100999	1696	0.4246
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	157102534	157944382	575	0.5334
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	157944540	158295797	255	0.7433
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	158297916	158408857	63	0.4903
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	158409569	158544421	100	0.921
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	158544436	158545233	10	0.3672
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	158545295	158794954	180	0.9547
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	158795142	159017045	110	1.1303
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	159021067	159359359	203	0.4591
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	159364185	159858520	354	0.9864
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	159859372	161778463	1020	0.8744
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	161780051	161874316	57	1.0214
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	161874808	162077763	166	0.5528
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	162079998	162567327	397	-0.3342
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	162570493	163058527	435	0.785
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	163061631	166579136	2692	-0.2885
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	166584258	166661797	79	0.5241
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	166663958	166669124	6	-0.0034
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	166669688	167206348	429	0.5186
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	167210539	173692961	4417	-0.2795
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	173694151	190580966	10232	-0.3121
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	190584895	196448009	3536	-0.2713
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	196454943	196461737	3	-1.8933
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	196463242	197753535	550	-0.2688
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	197756100	206773113	5664	-0.3416
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	206773321	217626428	7563	-0.3126
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	217626696	222589431	3310	0.5074
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	222589873	228656037	3207	0.4488
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	228657499	229550188	618	0.7027
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	229553491	230596717	809	0.4547
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	230598200	231385732	537	-0.3614
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	231390563	231424624	27	0.4339
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	1	231432831	247650984	10558	-0.3347
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	2	480597	3813679	1473	-0.3324
26e12bdc-5d33-40f6-ae06-34c4e8adc5d6	2	3815148	4619731	589	-0.2461
