GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	3301765	58591260	30454	-0.5941
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	58591739	58597253	10	-2.3876
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	58597369	119984772	37368	-0.5866
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	146716041	183906026	21195	0.8161
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	183906373	195250500	6858	0.1104
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	195417767	195822814	247	0.8637
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	195822832	195822959	2	-0.6923
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	195824440	200925934	2887	0.839
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	200927169	210545280	6503	0.1149
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	210546249	238691981	18525	0.0777
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	238692338	238692794	3	-1.5147
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	238699149	238951123	184	0.1883
d418abe2-b53b-4f20-9891-85f3b38c3b6a	1	238953647	247650984	5097	0.0472
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	480597	140814369	73745	0.4744
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	140814540	141016328	126	0.0408
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	141019156	187350545	26852	0.4773
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	187353601	187526582	94	0.0493
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	187531907	189569820	932	0.5035
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	189570907	199701451	5071	0.0389
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	199702400	199702413	2	-2.0365
d418abe2-b53b-4f20-9891-85f3b38c3b6a	2	199702623	241537572	25160	0.0355
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	2170634	24617206	13080	-0.5954
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	24620351	30441108	3710	-0.5427
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	30441798	46985395	9891	-0.5877
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	46985466	51835121	1882	-0.533
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	51837389	61436602	5248	-0.607
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	61437160	62025198	366	-0.7857
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	62025536	70636919	6375	-0.5835
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	70637004	73851300	2311	-0.6505
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	73851895	87337219	6820	-0.5742
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	87338709	87340635	2	-2.6661
d418abe2-b53b-4f20-9891-85f3b38c3b6a	3	87347555	91462299	1404	-0.5611
