GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bd151865-0220-4dee-8337-f8c52b131f50	1	3301765	5433332	1484	-0.0241
bd151865-0220-4dee-8337-f8c52b131f50	1	5434820	14299029	4549	0.0436
bd151865-0220-4dee-8337-f8c52b131f50	1	14301230	14757019	356	-0.4024
bd151865-0220-4dee-8337-f8c52b131f50	1	14758650	24485999	5471	0.055
bd151865-0220-4dee-8337-f8c52b131f50	1	24486665	41673722	8738	0.0243
bd151865-0220-4dee-8337-f8c52b131f50	1	41676718	44538073	1730	0.0684
bd151865-0220-4dee-8337-f8c52b131f50	1	44538221	50322421	2956	0.0201
bd151865-0220-4dee-8337-f8c52b131f50	1	50322660	51029129	253	0.0698
bd151865-0220-4dee-8337-f8c52b131f50	1	51037672	59022351	5384	-0.3741
bd151865-0220-4dee-8337-f8c52b131f50	1	59023124	69259975	7063	-0.3552
bd151865-0220-4dee-8337-f8c52b131f50	1	69261156	82742037	7675	-0.3897
bd151865-0220-4dee-8337-f8c52b131f50	1	82742463	86095431	2211	-0.3265
bd151865-0220-4dee-8337-f8c52b131f50	1	86096369	92280877	3835	-0.3892
bd151865-0220-4dee-8337-f8c52b131f50	1	92281590	96877921	2790	-0.2981
bd151865-0220-4dee-8337-f8c52b131f50	1	96884869	104670775	4323	-0.3693
bd151865-0220-4dee-8337-f8c52b131f50	1	104672277	108753349	2294	-0.3049
bd151865-0220-4dee-8337-f8c52b131f50	1	108753559	109349456	274	-0.3635
bd151865-0220-4dee-8337-f8c52b131f50	1	109352071	109353500	2	-1.6972
bd151865-0220-4dee-8337-f8c52b131f50	1	109357863	112101158	1830	-0.387
bd151865-0220-4dee-8337-f8c52b131f50	1	112108806	119984738	4883	-0.3378
bd151865-0220-4dee-8337-f8c52b131f50	1	119984772	150002511	39	0.2216
bd151865-0220-4dee-8337-f8c52b131f50	1	150004041	150864342	304	0.3249
bd151865-0220-4dee-8337-f8c52b131f50	1	150873363	157616458	3396	0.7606
bd151865-0220-4dee-8337-f8c52b131f50	1	157618540	157626296	10	-0.3677
bd151865-0220-4dee-8337-f8c52b131f50	1	157632415	158544407	642	0.7229
bd151865-0220-4dee-8337-f8c52b131f50	1	158544421	158545233	11	0.2535
bd151865-0220-4dee-8337-f8c52b131f50	1	158545295	159423207	513	0.759
bd151865-0220-4dee-8337-f8c52b131f50	1	159429978	160056150	444	0.4585
bd151865-0220-4dee-8337-f8c52b131f50	1	160063353	163625473	2407	0.978
bd151865-0220-4dee-8337-f8c52b131f50	1	163625805	165303635	1234	1.0436
bd151865-0220-4dee-8337-f8c52b131f50	1	165305097	179842250	9463	0.9857
bd151865-0220-4dee-8337-f8c52b131f50	1	179845171	180987849	685	0.8048
bd151865-0220-4dee-8337-f8c52b131f50	1	180987933	183620665	1864	0.7398
bd151865-0220-4dee-8337-f8c52b131f50	1	183620933	192436491	5189	0.7846
bd151865-0220-4dee-8337-f8c52b131f50	1	192436531	192850094	290	1.0068
bd151865-0220-4dee-8337-f8c52b131f50	1	192850186	192872160	15	0.4641
bd151865-0220-4dee-8337-f8c52b131f50	1	192875825	192894619	15	0.9461
bd151865-0220-4dee-8337-f8c52b131f50	1	192898397	193211517	244	0.3736
bd151865-0220-4dee-8337-f8c52b131f50	1	193211573	193398103	138	0.2262
bd151865-0220-4dee-8337-f8c52b131f50	1	193398687	194309613	647	0.4242
bd151865-0220-4dee-8337-f8c52b131f50	1	194311377	194335529	10	1.0832
bd151865-0220-4dee-8337-f8c52b131f50	1	194338990	194353114	11	0.4657
bd151865-0220-4dee-8337-f8c52b131f50	1	194353195	199494377	2796	1.0436
bd151865-0220-4dee-8337-f8c52b131f50	1	199502267	201262339	1118	0.4365
bd151865-0220-4dee-8337-f8c52b131f50	1	201264679	205184184	2657	0.9796
bd151865-0220-4dee-8337-f8c52b131f50	1	205186853	207282056	1120	0.406
bd151865-0220-4dee-8337-f8c52b131f50	1	207283129	208370660	800	0.4469
bd151865-0220-4dee-8337-f8c52b131f50	1	208371270	210283179	1444	0.5131
bd151865-0220-4dee-8337-f8c52b131f50	1	210285516	215244284	3388	0.4409
bd151865-0220-4dee-8337-f8c52b131f50	1	215244867	215720078	215	0.606
bd151865-0220-4dee-8337-f8c52b131f50	1	215720217	217850966	1515	0.4621
