GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
77a224f3-b393-4067-9a35-510bb2bb8a38	1	3301765	231879294	119238	0.0284
77a224f3-b393-4067-9a35-510bb2bb8a38	1	231880089	240163389	6189	0.3941
77a224f3-b393-4067-9a35-510bb2bb8a38	1	240167223	244908683	3003	0.3549
77a224f3-b393-4067-9a35-510bb2bb8a38	1	244911397	244997268	50	-0.0164
77a224f3-b393-4067-9a35-510bb2bb8a38	1	244998738	247650984	1166	0.3704
77a224f3-b393-4067-9a35-510bb2bb8a38	2	480597	129955882	68732	0.0382
77a224f3-b393-4067-9a35-510bb2bb8a38	2	129956381	131174851	245	0.6167
77a224f3-b393-4067-9a35-510bb2bb8a38	2	131176016	131938609	163	0.3855
77a224f3-b393-4067-9a35-510bb2bb8a38	2	131938688	132604568	5	-0.0233
77a224f3-b393-4067-9a35-510bb2bb8a38	2	132604677	173652164	24092	-0.4539
77a224f3-b393-4067-9a35-510bb2bb8a38	2	173661201	173662599	4	-2.0227
77a224f3-b393-4067-9a35-510bb2bb8a38	2	173662613	191004437	9372	-0.4574
77a224f3-b393-4067-9a35-510bb2bb8a38	2	191005185	191213897	145	-1.2501
77a224f3-b393-4067-9a35-510bb2bb8a38	2	191217369	241537572	29209	-0.4642
77a224f3-b393-4067-9a35-510bb2bb8a38	3	2170634	71938107	41455	-0.4941
77a224f3-b393-4067-9a35-510bb2bb8a38	3	71938838	71940284	2	-2.5931
77a224f3-b393-4067-9a35-510bb2bb8a38	3	71942478	76239900	2511	-0.5192
77a224f3-b393-4067-9a35-510bb2bb8a38	3	76239955	76252218	4	-2.0434
77a224f3-b393-4067-9a35-510bb2bb8a38	3	76252372	86567979	5378	-0.4753
77a224f3-b393-4067-9a35-510bb2bb8a38	3	86569718	86640681	36	0.0251
77a224f3-b393-4067-9a35-510bb2bb8a38	3	86672451	91390926	1756	-0.4925
77a224f3-b393-4067-9a35-510bb2bb8a38	3	91462299	114586855	11248	0.6754
77a224f3-b393-4067-9a35-510bb2bb8a38	3	114587391	114590696	2	-1.2163
77a224f3-b393-4067-9a35-510bb2bb8a38	3	114591424	156621843	23531	0.6624
77a224f3-b393-4067-9a35-510bb2bb8a38	3	156621921	156803332	117	0.9133
77a224f3-b393-4067-9a35-510bb2bb8a38	3	156804272	164832357	4085	0.6527
77a224f3-b393-4067-9a35-510bb2bb8a38	3	164832759	165304048	141	0.7024
77a224f3-b393-4067-9a35-510bb2bb8a38	3	165304486	165305126	2	1.8873
77a224f3-b393-4067-9a35-510bb2bb8a38	3	165312891	168654840	1503	0.7088
77a224f3-b393-4067-9a35-510bb2bb8a38	3	168657004	171533554	1781	0.643
77a224f3-b393-4067-9a35-510bb2bb8a38	3	171534436	171535967	3	-0.6742
77a224f3-b393-4067-9a35-510bb2bb8a38	3	171538125	178879853	3478	0.6909
77a224f3-b393-4067-9a35-510bb2bb8a38	3	178881841	181175789	1324	0.6217
77a224f3-b393-4067-9a35-510bb2bb8a38	3	181176266	182891775	903	0.6894
77a224f3-b393-4067-9a35-510bb2bb8a38	3	182891992	187193547	2103	0.627
77a224f3-b393-4067-9a35-510bb2bb8a38	3	187196071	197812401	5663	0.6773
77a224f3-b393-4067-9a35-510bb2bb8a38	4	1059384	10480791	4954	0.0242
77a224f3-b393-4067-9a35-510bb2bb8a38	4	10480990	10876522	298	0.397
77a224f3-b393-4067-9a35-510bb2bb8a38	4	10878337	72899736	34626	0.0218
77a224f3-b393-4067-9a35-510bb2bb8a38	4	72899740	72901564	2	-1.7378
77a224f3-b393-4067-9a35-510bb2bb8a38	4	72901626	150245085	43351	0.0261
77a224f3-b393-4067-9a35-510bb2bb8a38	4	150245779	150245782	3	-1.2992
77a224f3-b393-4067-9a35-510bb2bb8a38	4	150248148	171354383	11852	0.0376
77a224f3-b393-4067-9a35-510bb2bb8a38	4	171354399	187842528	8338	0.0132
77a224f3-b393-4067-9a35-510bb2bb8a38	5	913983	57589516	30337	0.0204
77a224f3-b393-4067-9a35-510bb2bb8a38	5	57594527	74557595	9106	0.0382
77a224f3-b393-4067-9a35-510bb2bb8a38	5	74558758	82586752	4597	0.0041
77a224f3-b393-4067-9a35-510bb2bb8a38	5	82586917	137788401	30614	0.0358
77a224f3-b393-4067-9a35-510bb2bb8a38	5	137789437	142841895	2449	0.0017
77a224f3-b393-4067-9a35-510bb2bb8a38	5	142842129	153871513	7284	0.0393
77a224f3-b393-4067-9a35-510bb2bb8a38	5	153872155	171166620	11425	0.0064
77a224f3-b393-4067-9a35-510bb2bb8a38	5	171171660	171381130	95	0.616
77a224f3-b393-4067-9a35-510bb2bb8a38	5	171385510	180934240	5132	0.003
77a224f3-b393-4067-9a35-510bb2bb8a38	6	1011760	52926962	31392	0.6582
77a224f3-b393-4067-9a35-510bb2bb8a38	6	52928056	52929066	4	-0.6116
77a224f3-b393-4067-9a35-510bb2bb8a38	6	52933264	53863452	678	0.6595
77a224f3-b393-4067-9a35-510bb2bb8a38	6	53863953	53866663	4	-0.7091
77a224f3-b393-4067-9a35-510bb2bb8a38	6	53869994	57347009	2060	0.7125
77a224f3-b393-4067-9a35-510bb2bb8a38	6	61527062	137928619	43698	0.0227
77a224f3-b393-4067-9a35-510bb2bb8a38	6	137931946	138085191	84	0.4169
77a224f3-b393-4067-9a35-510bb2bb8a38	6	138089378	138786059	470	0.0205
77a224f3-b393-4067-9a35-510bb2bb8a38	6	138787012	138917518	89	0.4202
77a224f3-b393-4067-9a35-510bb2bb8a38	6	138921046	170596889	18638	0.0048
77a224f3-b393-4067-9a35-510bb2bb8a38	7	664936	13973896	6375	0.0142
77a224f3-b393-4067-9a35-510bb2bb8a38	7	13973945	22772959	5153	0.0474
77a224f3-b393-4067-9a35-510bb2bb8a38	7	22772973	63675854	22037	0.0162
77a224f3-b393-4067-9a35-510bb2bb8a38	7	63677725	67315219	903	-0.4534
77a224f3-b393-4067-9a35-510bb2bb8a38	7	67315854	78038180	4622	0.0024
77a224f3-b393-4067-9a35-510bb2bb8a38	7	78038368	92339828	7479	0.0492
77a224f3-b393-4067-9a35-510bb2bb8a38	7	92340833	103628511	5581	0.0026
77a224f3-b393-4067-9a35-510bb2bb8a38	7	103633781	132755765	15903	0.0334
77a224f3-b393-4067-9a35-510bb2bb8a38	7	132756955	132757109	3	-1.6318
77a224f3-b393-4067-9a35-510bb2bb8a38	7	132757414	137933425	3267	0.0413
77a224f3-b393-4067-9a35-510bb2bb8a38	7	137933576	148491441	5479	0.0055
77a224f3-b393-4067-9a35-510bb2bb8a38	7	148492891	148493092	2	-1.4115
77a224f3-b393-4067-9a35-510bb2bb8a38	7	148495683	158592540	5087	0.0033
77a224f3-b393-4067-9a35-510bb2bb8a38	8	667625	1466055	296	0.005
77a224f3-b393-4067-9a35-510bb2bb8a38	8	1467062	6511829	2507	0.0652
77a224f3-b393-4067-9a35-510bb2bb8a38	8	6517252	36933818	18799	0.0241
77a224f3-b393-4067-9a35-510bb2bb8a38	8	36936726	36940747	2	-1.6476
77a224f3-b393-4067-9a35-510bb2bb8a38	8	36946887	144182542	60552	0.0228
77a224f3-b393-4067-9a35-510bb2bb8a38	9	789794	10188516	5787	0.0338
77a224f3-b393-4067-9a35-510bb2bb8a38	9	10188617	14509051	2055	0.0741
77a224f3-b393-4067-9a35-510bb2bb8a38	9	14509107	74422602	19873	0.0306
77a224f3-b393-4067-9a35-510bb2bb8a38	9	74423456	74423575	2	-2.6779
77a224f3-b393-4067-9a35-510bb2bb8a38	9	74431957	84149904	6815	0.013
77a224f3-b393-4067-9a35-510bb2bb8a38	9	84153709	84167125	12	-0.7115
77a224f3-b393-4067-9a35-510bb2bb8a38	9	84167778	84175538	11	0.1555
77a224f3-b393-4067-9a35-510bb2bb8a38	9	84176638	89399538	3597	0.8477
77a224f3-b393-4067-9a35-510bb2bb8a38	9	89401558	89508038	83	0.5646
77a224f3-b393-4067-9a35-510bb2bb8a38	9	89508637	97377760	4934	0.8593
77a224f3-b393-4067-9a35-510bb2bb8a38	9	97378747	100231280	1806	0.6625
77a224f3-b393-4067-9a35-510bb2bb8a38	9	100231629	100620251	212	0.3411
77a224f3-b393-4067-9a35-510bb2bb8a38	9	100620792	105229860	2825	0.6568
77a224f3-b393-4067-9a35-510bb2bb8a38	9	105229863	105231884	15	0.2051
77a224f3-b393-4067-9a35-510bb2bb8a38	9	105234262	110106041	3629	0.6739
77a224f3-b393-4067-9a35-510bb2bb8a38	9	110109447	110112848	6	0.3192
77a224f3-b393-4067-9a35-510bb2bb8a38	9	110112908	110782783	431	0.0251
77a224f3-b393-4067-9a35-510bb2bb8a38	9	110789164	110925802	132	-0.5237
77a224f3-b393-4067-9a35-510bb2bb8a38	9	110927147	111648256	517	0.0362
77a224f3-b393-4067-9a35-510bb2bb8a38	9	111650514	111653904	3	-0.9282
77a224f3-b393-4067-9a35-510bb2bb8a38	9	111654445	115358817	2415	0.0361
77a224f3-b393-4067-9a35-510bb2bb8a38	9	115359318	127448667	8094	0.3904
77a224f3-b393-4067-9a35-510bb2bb8a38	9	127448748	131588395	2179	0.3409
77a224f3-b393-4067-9a35-510bb2bb8a38	9	131591909	131943046	265	0.4136
77a224f3-b393-4067-9a35-510bb2bb8a38	9	131947319	133928703	1260	0.0217
77a224f3-b393-4067-9a35-510bb2bb8a38	9	133932018	138044505	1494	0.3959
77a224f3-b393-4067-9a35-510bb2bb8a38	10	366509	2250668	986	0.0286
77a224f3-b393-4067-9a35-510bb2bb8a38	10	2255171	2299528	39	-0.4411
77a224f3-b393-4067-9a35-510bb2bb8a38	10	2300068	7054326	3451	0.0078
77a224f3-b393-4067-9a35-510bb2bb8a38	10	7054398	8722717	1417	-0.0345
77a224f3-b393-4067-9a35-510bb2bb8a38	10	8722984	28315981	13708	0.0156
77a224f3-b393-4067-9a35-510bb2bb8a38	10	28317814	31202678	2255	-0.0242
77a224f3-b393-4067-9a35-510bb2bb8a38	10	31202770	49863777	7844	0.0139
77a224f3-b393-4067-9a35-510bb2bb8a38	10	49868126	61844477	7021	0.0408
77a224f3-b393-4067-9a35-510bb2bb8a38	10	61844942	73766241	6787	0.0123
77a224f3-b393-4067-9a35-510bb2bb8a38	10	73768868	74066406	127	0.3824
77a224f3-b393-4067-9a35-510bb2bb8a38	10	74068113	120083121	29065	0.0233
77a224f3-b393-4067-9a35-510bb2bb8a38	10	120083262	121909740	1657	0.0662
77a224f3-b393-4067-9a35-510bb2bb8a38	10	121913691	133411599	6863	0.0147
77a224f3-b393-4067-9a35-510bb2bb8a38	11	456012	9846119	5043	0.023
77a224f3-b393-4067-9a35-510bb2bb8a38	11	9847293	16443131	4817	0.0557
77a224f3-b393-4067-9a35-510bb2bb8a38	11	16443161	23997976	5442	0.0274
77a224f3-b393-4067-9a35-510bb2bb8a38	11	24000599	29550886	3410	0.0701
77a224f3-b393-4067-9a35-510bb2bb8a38	11	29551286	46210447	10577	0.0296
