GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	3301765	4874007	1103	-0.02
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	4883463	5042084	169	-0.6963
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	5119746	20995776	8786	0.0055
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	20997998	21094512	43	-0.6845
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	21096482	212689536	97150	0.0046
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	212696761	212697739	2	-3.1244
9ffe4929-b7aa-4e04-9876-56b1c4b33139	1	212697862	247650984	22462	-0.0056
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	480597	114117905	60397	0.0077
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	114118840	150155022	18820	-0.0202
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	150156558	153328221	2085	0.0088
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	153333683	153383795	42	0.4802
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	153388370	163446457	5623	0.0141
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	163448520	163448865	4	1.5969
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	163448902	200661197	20628	0.0172
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	200662023	200873274	144	-0.6872
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	200874604	213544899	7327	0.0107
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	213557039	213628036	34	-0.7368
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	213634560	216809732	2032	-0.0046
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	216813357	217327616	386	-0.2171
9ffe4929-b7aa-4e04-9876-56b1c4b33139	2	217327797	241537572	14658	0.0153
9ffe4929-b7aa-4e04-9876-56b1c4b33139	3	2170634	116378604	63611	-0.0011
