GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0ef88d89-1d32-4eac-b108-a9634298db0e	1	3301765	165536413	77425	0.004
0ef88d89-1d32-4eac-b108-a9634298db0e	1	165536447	165546865	15	-0.5363
0ef88d89-1d32-4eac-b108-a9634298db0e	1	165547503	247650984	52340	0.0007
0ef88d89-1d32-4eac-b108-a9634298db0e	2	480597	241537572	132230	0.0046
0ef88d89-1d32-4eac-b108-a9634298db0e	3	2170634	197812401	107218	0.0029
0ef88d89-1d32-4eac-b108-a9634298db0e	4	1059384	38366778	23308	0.0005
0ef88d89-1d32-4eac-b108-a9634298db0e	4	38367014	38367270	2	-1.407
0ef88d89-1d32-4eac-b108-a9634298db0e	4	38370012	187842528	80214	0.0026
0ef88d89-1d32-4eac-b108-a9634298db0e	5	913983	180934240	101150	0.002
0ef88d89-1d32-4eac-b108-a9634298db0e	6	1011760	92392400	51583	0.0028
0ef88d89-1d32-4eac-b108-a9634298db0e	6	92392590	92515850	67	-0.8327
0ef88d89-1d32-4eac-b108-a9634298db0e	6	92516329	156315463	37927	0.0017
0ef88d89-1d32-4eac-b108-a9634298db0e	6	156317441	156318868	2	-1.1749
0ef88d89-1d32-4eac-b108-a9634298db0e	6	156319244	170596889	7600	-0.0017
0ef88d89-1d32-4eac-b108-a9634298db0e	7	664936	158592540	81959	0.0003
0ef88d89-1d32-4eac-b108-a9634298db0e	8	667625	144182542	82250	0.002
0ef88d89-1d32-4eac-b108-a9634298db0e	9	789794	138044505	68507	0.0011
0ef88d89-1d32-4eac-b108-a9634298db0e	10	366509	133411599	81310	0.0013
0ef88d89-1d32-4eac-b108-a9634298db0e	11	456012	20583294	12891	0.0034
0ef88d89-1d32-4eac-b108-a9634298db0e	11	20583697	20584437	3	-1.0404
0ef88d89-1d32-4eac-b108-a9634298db0e	11	20584911	134272740	64703	0.0007
0ef88d89-1d32-4eac-b108-a9634298db0e	12	780472	132605822	74369	0.0009
0ef88d89-1d32-4eac-b108-a9634298db0e	13	18874255	114226675	57010	-0.0017
0ef88d89-1d32-4eac-b108-a9634298db0e	14	20033191	105533894	49803	0.0019
0ef88d89-1d32-4eac-b108-a9634298db0e	15	23437561	101344124	44800	0.0033
0ef88d89-1d32-4eac-b108-a9634298db0e	16	603333	89317317	41221	0.0009
0ef88d89-1d32-4eac-b108-a9634298db0e	17	1074619	49482098	19439	0.0025
0ef88d89-1d32-4eac-b108-a9634298db0e	17	49483610	49489224	3	-0.9869
0ef88d89-1d32-4eac-b108-a9634298db0e	17	49492609	82959812	17850	0.0032
0ef88d89-1d32-4eac-b108-a9634298db0e	18	326691	79349796	42967	-0.0018
0ef88d89-1d32-4eac-b108-a9634298db0e	19	283868	51215611	21078	-0.003
0ef88d89-1d32-4eac-b108-a9634298db0e	19	51216216	51217228	2	-1.5281
0ef88d89-1d32-4eac-b108-a9634298db0e	19	51223357	58370362	3076	-0.0111
0ef88d89-1d32-4eac-b108-a9634298db0e	20	472817	63588502	37572	0.0072
0ef88d89-1d32-4eac-b108-a9634298db0e	21	13974127	46262057	20608	0.0043
0ef88d89-1d32-4eac-b108-a9634298db0e	22	16934932	48940621	17097	-0.0015
0ef88d89-1d32-4eac-b108-a9634298db0e	X	3236359	155677414	63864	0.0112
