GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	3301765	5874176	1834	-0.0659
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	5874430	29218132	11919	-0.0041
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	29225504	30605990	1015	-0.0684
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	30607414	33224490	1123	0.0028
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	33230346	33232114	3	-1.4062
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	33233762	44446438	6358	-0.026
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	44446475	48162531	1926	0.0129
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	48163195	53142899	2342	-0.0367
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	53144422	53144700	2	-1.2925
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	53145180	63302422	7271	-0.0177
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	63303773	63361177	32	0.4267
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	63361355	69081261	4061	-0.0271
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	69081921	71392774	1210	-0.0506
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	71395425	71396025	2	-1.9985
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	71402279	83776318	7174	-0.0617
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	83777090	100703836	10532	-0.023
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	100705443	108150404	4145	-0.058
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	108150683	174743708	22642	-0.0222
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	174745745	177239844	1308	-0.0721
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	177240225	177372666	88	-0.005
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	177372792	177372805	2	-1.2349
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	177375767	187264498	6425	-0.0209
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	187264863	191825299	2624	-0.0666
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	191839485	193893528	1389	-0.0098
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	193895757	199577780	3145	-0.0482
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	199579140	212959983	8877	-0.0136
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	212963485	223312274	6923	-0.05
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	223312865	236772230	8496	-0.0187
12062766-93f3-46a3-aad9-35c9fb97c3a8	1	236775067	247650984	6873	-0.0619
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	480597	8089354	4611	-0.083
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	8089375	33911184	15820	-0.0277
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	33911403	33911656	2	-2.1763
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	33912175	35149277	718	-0.0774
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	35158327	40150492	2535	-0.0209
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	40150630	41575614	832	-0.0768
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	41575839	48172660	4402	-0.0041
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	48172876	52737701	2376	-0.0642
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	52737762	56014162	1749	-0.0154
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	56018419	60568815	2796	-0.057
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	60570761	65980985	2847	-0.017
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	65981272	68727253	1759	-0.0666
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	68729171	75524293	3947	-0.0116
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	75524665	120134393	19149	-0.0371
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	120136876	146289888	13553	-0.0607
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	146295247	210472046	36058	-0.0261
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	210475874	210480115	5	-1.2749
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	210483380	215435653	3007	-0.0533
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	215440817	215440830	2	-1.2208
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	215441037	218132857	1871	-0.0586
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	218137791	218143029	3	-1.2641
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	218143669	219766856	805	-0.0194
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	219767291	226086595	4258	-0.0591
12062766-93f3-46a3-aad9-35c9fb97c3a8	2	226087161	241537572	9070	-0.0309
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	2170634	17989735	9688	-0.0421
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	17994379	17994754	2	-1.4251
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	17995202	37820809	11747	-0.0441
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	37821227	37821252	2	-1.7696
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	37822920	53622777	8077	-0.0193
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	53625501	53673835	43	-0.0801
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	53675055	53675582	2	-1.2003
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	53675824	55536924	1470	-0.0801
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	55537489	55543852	6	-1.3369
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	55543907	59546573	2406	-0.0395
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	59550249	59550271	2	-2.5267
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	59550340	122654483	33860	-0.0504
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	122661875	122662270	2	-1.9827
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	122662929	167349441	23872	-0.0424
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	167355285	173919621	3517	-0.0085
12062766-93f3-46a3-aad9-35c9fb97c3a8	3	173920106	197812401	12461	-0.0398
12062766-93f3-46a3-aad9-35c9fb97c3a8	4	1059384	35733491	21425	-0.0454
12062766-93f3-46a3-aad9-35c9fb97c3a8	4	35734144	41603091	3698	-0.008
