GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e865beea-9098-44f5-9247-547ba6a9e97f	1	3301765	46746476	23242	-0.264
e865beea-9098-44f5-9247-547ba6a9e97f	1	46747714	108480801	37670	-0.2193
e865beea-9098-44f5-9247-547ba6a9e97f	1	108481648	117343589	5605	-0.242
e865beea-9098-44f5-9247-547ba6a9e97f	1	117349561	117385277	18	2.4244
e865beea-9098-44f5-9247-547ba6a9e97f	1	117385359	117404742	9	0.0982
e865beea-9098-44f5-9247-547ba6a9e97f	1	117407823	118615080	690	1.9314
e865beea-9098-44f5-9247-547ba6a9e97f	1	118619161	119984772	815	2.5305
e865beea-9098-44f5-9247-547ba6a9e97f	1	146716041	161864381	6317	0.1054
e865beea-9098-44f5-9247-547ba6a9e97f	1	161864656	173343567	8432	0.1326
e865beea-9098-44f5-9247-547ba6a9e97f	1	173343612	175074527	873	0.0725
e865beea-9098-44f5-9247-547ba6a9e97f	1	175074819	200336555	15316	0.1365
e865beea-9098-44f5-9247-547ba6a9e97f	1	200339253	200339315	2	1.483
e865beea-9098-44f5-9247-547ba6a9e97f	1	200339692	201801245	994	0.1286
e865beea-9098-44f5-9247-547ba6a9e97f	1	201802832	207803321	3678	0.0934
e865beea-9098-44f5-9247-547ba6a9e97f	1	207803693	225705613	11976	0.1359
e865beea-9098-44f5-9247-547ba6a9e97f	1	225706672	247650984	14025	0.1166
e865beea-9098-44f5-9247-547ba6a9e97f	2	480597	241537572	132097	-0.2053
e865beea-9098-44f5-9247-547ba6a9e97f	3	2170634	45343141	25773	0.1572
e865beea-9098-44f5-9247-547ba6a9e97f	3	45344374	53332107	3571	0.1067
e865beea-9098-44f5-9247-547ba6a9e97f	3	53335052	56599864	2442	0.1684
e865beea-9098-44f5-9247-547ba6a9e97f	3	56611838	58631963	1118	0.1062
e865beea-9098-44f5-9247-547ba6a9e97f	3	58632102	145754136	47440	0.1665
e865beea-9098-44f5-9247-547ba6a9e97f	3	145755001	145781960	10	0.7259
e865beea-9098-44f5-9247-547ba6a9e97f	3	145783525	197812401	26820	0.1645
e865beea-9098-44f5-9247-547ba6a9e97f	4	1059384	184600783	101914	0.1321
e865beea-9098-44f5-9247-547ba6a9e97f	4	184752665	187842528	1570	-0.2388
e865beea-9098-44f5-9247-547ba6a9e97f	5	914118	13494074	8568	-0.238
e865beea-9098-44f5-9247-547ba6a9e97f	5	13494181	13495179	2	-2.1468
e865beea-9098-44f5-9247-547ba6a9e97f	5	13495281	13678383	149	-0.2796
e865beea-9098-44f5-9247-547ba6a9e97f	5	13681217	171622983	87357	-0.2246
e865beea-9098-44f5-9247-547ba6a9e97f	5	171627752	180934240	4970	-0.2598
e865beea-9098-44f5-9247-547ba6a9e97f	6	1011760	2530614	1136	0.4239
e865beea-9098-44f5-9247-547ba6a9e97f	6	2530866	18414929	11132	0.393
e865beea-9098-44f5-9247-547ba6a9e97f	6	18418053	24661283	4532	0.4206
e865beea-9098-44f5-9247-547ba6a9e97f	6	24662397	37463864	5031	0.354
e865beea-9098-44f5-9247-547ba6a9e97f	6	37463981	41093854	2692	0.3964
e865beea-9098-44f5-9247-547ba6a9e97f	6	41095101	44574897	1960	0.3425
e865beea-9098-44f5-9247-547ba6a9e97f	6	44576039	46675138	1163	0.4033
e865beea-9098-44f5-9247-547ba6a9e97f	6	46675209	90620587	22877	0.1358
e865beea-9098-44f5-9247-547ba6a9e97f	6	90621287	90621504	3	-1.7572
e865beea-9098-44f5-9247-547ba6a9e97f	6	90629654	106539495	8534	0.1425
e865beea-9098-44f5-9247-547ba6a9e97f	6	106543693	111628085	3004	0.097
e865beea-9098-44f5-9247-547ba6a9e97f	6	111628576	170596889	35102	0.1343
e865beea-9098-44f5-9247-547ba6a9e97f	7	664936	7287330	2444	0.0945
e865beea-9098-44f5-9247-547ba6a9e97f	7	7292084	7293473	11	-0.8124
e865beea-9098-44f5-9247-547ba6a9e97f	7	7293760	54688123	29896	0.1335
e865beea-9098-44f5-9247-547ba6a9e97f	7	54689435	78062230	6796	0.0995
e865beea-9098-44f5-9247-547ba6a9e97f	7	78062860	97503874	10675	0.1386
e865beea-9098-44f5-9247-547ba6a9e97f	7	97511599	98596100	520	0.0823
e865beea-9098-44f5-9247-547ba6a9e97f	7	98601345	98601390	2	-1.0929
e865beea-9098-44f5-9247-547ba6a9e97f	7	98604107	103312045	1638	0.0695
