GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0fe8af92-aa2d-46dc-8433-31fecb553956	1	3301765	4320135	584	0.415
0fe8af92-aa2d-46dc-8433-31fecb553956	1	4320284	5233305	769	0.3327
0fe8af92-aa2d-46dc-8433-31fecb553956	1	5235716	58420523	28878	0.425
0fe8af92-aa2d-46dc-8433-31fecb553956	1	58421624	58560921	126	0.2329
0fe8af92-aa2d-46dc-8433-31fecb553956	1	58561876	68692507	7056	0.4337
0fe8af92-aa2d-46dc-8433-31fecb553956	1	68692525	77325340	4765	0.3937
0fe8af92-aa2d-46dc-8433-31fecb553956	1	77325441	95583645	11133	0.438
0fe8af92-aa2d-46dc-8433-31fecb553956	1	95583873	106731935	6131	0.4011
0fe8af92-aa2d-46dc-8433-31fecb553956	1	106732505	149907993	8145	0.4428
0fe8af92-aa2d-46dc-8433-31fecb553956	1	149909846	172494793	14069	0.3202
0fe8af92-aa2d-46dc-8433-31fecb553956	1	172495334	182109992	5694	0.2788
0fe8af92-aa2d-46dc-8433-31fecb553956	1	182111778	182713676	448	0.3426
0fe8af92-aa2d-46dc-8433-31fecb553956	1	182721232	182815004	48	0.5821
0fe8af92-aa2d-46dc-8433-31fecb553956	1	182818929	184883280	1360	0.2978
0fe8af92-aa2d-46dc-8433-31fecb553956	1	184884153	197635638	7305	0.2363
0fe8af92-aa2d-46dc-8433-31fecb553956	1	197636013	205059787	4812	0.265
0fe8af92-aa2d-46dc-8433-31fecb553956	1	205060536	211486906	4231	0.2309
0fe8af92-aa2d-46dc-8433-31fecb553956	1	211487384	236709815	16159	0.2656
0fe8af92-aa2d-46dc-8433-31fecb553956	1	236710004	247650984	6871	0.2249
0fe8af92-aa2d-46dc-8433-31fecb553956	2	480597	7737000	4374	-0.0503
0fe8af92-aa2d-46dc-8433-31fecb553956	2	7738966	30578673	14213	0.008
0fe8af92-aa2d-46dc-8433-31fecb553956	2	30592132	30626477	17	-0.6428
0fe8af92-aa2d-46dc-8433-31fecb553956	2	30628580	46034559	8615	0.0115
0fe8af92-aa2d-46dc-8433-31fecb553956	2	46035023	61769496	8789	-0.0179
0fe8af92-aa2d-46dc-8433-31fecb553956	2	61770506	68321101	3870	0.0265
0fe8af92-aa2d-46dc-8433-31fecb553956	2	68322749	68398166	76	0.6412
0fe8af92-aa2d-46dc-8433-31fecb553956	2	68402522	75355062	3795	0.0269
0fe8af92-aa2d-46dc-8433-31fecb553956	2	75355225	84049400	4597	-0.0341
