GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	3301765	4283374	541	-0.0909
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	4283485	5678400	1156	-0.1758
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	5678440	55826400	26530	-0.0906
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	55826579	61666374	4340	-0.1842
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	61667640	80269881	11357	-0.1465
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	80270754	83741404	2116	-0.206
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	83741525	87689662	2624	-0.1303
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	87700582	87704346	3	1.2863
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	87704592	90078859	1515	-0.155
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	90093659	90094125	2	1.7082
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	90094154	105313521	8714	-0.1346
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	105314272	107953765	1662	-0.1855
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	107954092	113772834	3392	-0.085
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	113772871	118394978	2949	-0.1468
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	118396055	163637907	8672	-0.1004
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	163646468	165078549	1020	-0.1876
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	165079184	174512261	6511	-0.116
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	174514047	216928553	26592	-0.1387
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	216928719	216929871	2	-3.3655
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	216930316	219018437	1400	-0.1979
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	219018628	232249305	7987	-0.1032
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	232250163	233728226	1198	-0.1972
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	233728805	239343593	4044	-0.1207
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	239343978	242691129	2509	-0.1772
0c478ab2-6148-4c23-9c60-734ea81de9c2	1	242691996	247650984	2315	-0.0812
0c478ab2-6148-4c23-9c60-734ea81de9c2	2	480597	7900297	4501	-0.1621
0c478ab2-6148-4c23-9c60-734ea81de9c2	2	7900531	12026325	2801	-0.0909
