GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	3301765	32841399	15740	-0.0147
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	32846572	58964512	15142	0.0056
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	58965827	59972140	637	-0.0251
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	59972755	65641080	3961	0.0377
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	65641863	119984772	32681	0.001
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	146716041	174826800	15525	0.5311
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	174833703	174833918	2	-0.843
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	174835841	190059039	9390	0.5473
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	190059474	190059737	2	-0.9263
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	190061450	228667018	24175	0.5413
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	228671781	228671795	2	-1.0715
4a7f9325-d026-467b-8ab1-c69ab26f927d	1	228672619	247650984	12565	0.5469
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	480597	3726810	1386	0.0048
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	3727006	3727219	2	1.1938
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	3727258	22688855	13065	-0.0023
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	22689630	22690202	3	-1.1715
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	22697714	48582734	14709	0.002
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	48586913	50313339	1124	0.0533
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	50316661	86631021	20009	0.0031
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	86632781	107187260	7121	-0.0256
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	107187934	109704919	1339	0.0068
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	110640222	111717890	435	-1.0315
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	111720547	111867374	29	-0.5246
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	111869043	112358415	225	-0.973
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	112430178	121721047	5062	-0.0073
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	121721563	121722033	4	-1.035
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	121724566	133987156	5690	-0.0075
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	133988131	133991186	4	-1.1817
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	133997658	148409251	7984	-0.0149
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	148409906	149956243	925	0.0523
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	149957875	151505884	1080	-0.0163
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	151511877	151813031	208	0.4386
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	151815730	157926738	3418	-0.0146
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	157927560	221633289	36460	0.012
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	221633511	235369257	8339	-0.0078
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	235375839	235376371	2	-1.5297
4a7f9325-d026-467b-8ab1-c69ab26f927d	2	235376570	241537572	3646	0.0069
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	2170634	2261683	70	0.1146
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	2267695	2270767	11	-0.8266
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	2271791	3313914	505	0.0467
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	3314056	24225493	12263	0.0084
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	24225649	26727327	1682	0.0527
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	26731767	51414256	14019	-0.0013
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	51414466	65191652	8415	0.0198
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	65194231	65194326	2	-1.1623
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	65194955	70835163	3909	0.0198
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	70835642	72680437	1343	-0.0225
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	72680604	81224833	4707	0.0248
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	81232878	85411503	2032	-0.0268
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	85431574	85431849	2	-1.3934
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	85433274	110394342	11151	-0.0093
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	110415157	139953178	17120	0.0117
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	139955159	139955659	2	-2.0653
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	139956044	150974828	5723	0.012
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	150981559	153683075	1684	-0.0421
4a7f9325-d026-467b-8ab1-c69ab26f927d	3	153684306	197812401	22603	0.0019
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	1059384	10188450	4767	0.0215
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	10190075	10190239	2	-2.4434
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	10190391	13961136	2816	0.0031
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	13961490	13961564	2	-1.3008
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	13962353	18803296	3467	0.0023
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	18804729	23192208	2708	0.0591
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	23201159	26120542	2059	0.0107
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	26124727	26125216	2	-1.2903
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	26125417	53129634	13289	-0.0094
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	53140439	53140522	2	-1.3317
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	53141367	59594450	4148	-0.0005
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	59597062	59597973	2	-2.0165
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	59601651	84596611	13782	0.0019
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	84599490	84599554	2	-1.7007
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	84601638	94657327	5554	0.0254
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	94658158	134859065	21931	-0.0027
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	134859217	134859332	3	-1.2212
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	134864194	135411454	253	-0.0545
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	135415544	174879574	22316	0.0032
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	174879779	180506882	3085	-0.0299
4a7f9325-d026-467b-8ab1-c69ab26f927d	4	180508695	187842528	3355	0.0175
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	913983	8254872	5296	-0.0186
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	8259529	16257589	4835	0.0248
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	16260790	31143765	7907	-0.0099
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	31144324	35841379	2708	0.0157
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	35842711	35842723	2	-1.3216
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	35844754	39115079	2015	0.0121
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	39115718	41009180	1245	-0.0539
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	41010329	88191322	23067	0.0058
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	88192125	88192150	2	-1.6101
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	88193933	95515856	3753	0.0224
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	95516457	106619213	5021	-0.0117
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	106619906	114372144	4975	0.0224
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	114372752	114373619	2	-1.9551
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	114374165	148259613	19870	0.0061
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	148259666	154465243	4202	-0.0114
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	154465433	154465503	2	-1.3472
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	154476927	169434227	9814	-0.0219
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	169436428	169437006	3	-1.0538
4a7f9325-d026-467b-8ab1-c69ab26f927d	5	169438296	180934240	6445	-0.0012
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	1011760	6496601	4019	0.0188
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	6496672	17940541	7937	-0.0151
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	17944003	23867727	4308	0.0329
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	23868126	55522535	16910	-0.0026
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	55522617	57277368	953	0.0728
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	57281464	74284910	7101	-0.0034
4a7f9325-d026-467b-8ab1-c69ab26f927d	6	74287676	74287704	2	-1.972
