GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	3301765	43749903	21878	-0.012
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	43752163	55548943	6235	0.0099
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	55551307	55551732	2	-1.0483
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	55554372	63087558	5526	0.011
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	63090642	74803600	7252	-0.0072
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	74805388	74847955	2	1.2073
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	74850804	100747693	15898	-0.0021
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	100747779	104091221	1708	-0.0469
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	104092807	107178798	1675	-0.0172
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	107178807	107200388	11	-0.3703
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	107201362	107406634	153	-0.0147
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	107406843	107409983	2	1.0557
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	107412444	119984738	7730	0.0031
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	119984772	159406165	4898	0.3575
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	159406254	180779181	14108	0.3836
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	180781437	180784347	4	-0.6399
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	180786525	220939709	25702	0.3758
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	220940281	220945158	4	-0.962
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	220945472	230289001	5478	0.3687
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	230292756	230961296	561	0.4361
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	230962353	236297810	3549	0.3831
b4a7d978-17d4-4326-9054-9a9bc3657acf	1	236298060	247650984	7272	0.3453
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	480597	6551868	3612	-0.0237
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	6568590	29061138	14006	0.0007
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	29061907	31542061	1899	-0.0418
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	31546730	41044520	4792	-0.0102
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	41046568	47599848	4328	0.0189
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	47600881	74927809	15354	-0.0144
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	74928228	74999125	2	1.2828
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	74999663	107711268	13533	-0.0138
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	107711584	114129679	2857	0.019
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	114129906	116003811	987	-0.0101
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	116004453	147976531	16541	-0.0256
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	147988177	148376161	177	-0.6594
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	148388624	148874102	227	-0.044
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	148877104	150570419	1089	0.0247
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	150570746	154952521	2772	-0.0278
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	154954430	206718960	28756	0.0026
b4a7d978-17d4-4326-9054-9a9bc3657acf	2	206719752	241537572	21183	-0.0136
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	2170634	15026426	7884	-0.004
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	15026543	26581909	6536	-0.0344
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	26581962	54599820	15810	0.0016
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	54600103	55895820	1106	-0.0419
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	55897056	61487212	2621	0.0009
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	61490094	61508578	2	0.9958
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	61509218	64768262	2525	-0.0013
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	64768356	64769927	5	0.6021
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	64770016	66904047	1612	0.0027
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	66904984	118683696	27173	-0.0163
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	118683715	120797966	1133	0.0071
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	120798987	120801282	2	-1.0933
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	120805322	134891034	8148	0.0046
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	134892059	167862203	16875	-0.0123
b4a7d978-17d4-4326-9054-9a9bc3657acf	3	167863904	174951976	3919	0.009
