GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4e25aad8-047b-46af-9a56-600422f59a7d	1	3301765	247650984	129745	0.0017
4e25aad8-047b-46af-9a56-600422f59a7d	2	480597	1921174	199	0.1294
4e25aad8-047b-46af-9a56-600422f59a7d	2	1921376	241295131	131873	0.01
4e25aad8-047b-46af-9a56-600422f59a7d	2	241297017	241537572	134	0.1272
4e25aad8-047b-46af-9a56-600422f59a7d	3	2170634	120917626	66497	0.0009
4e25aad8-047b-46af-9a56-600422f59a7d	3	120918077	120918549	3	-1.8875
4e25aad8-047b-46af-9a56-600422f59a7d	3	120925827	197812401	40662	0.0025
4e25aad8-047b-46af-9a56-600422f59a7d	4	1059384	29313729	17805	-0.0061
4e25aad8-047b-46af-9a56-600422f59a7d	4	29313742	29313785	2	-1.5981
4e25aad8-047b-46af-9a56-600422f59a7d	4	29313916	187842528	85686	0.0015
4e25aad8-047b-46af-9a56-600422f59a7d	5	914118	88270844	47095	0.004
4e25aad8-047b-46af-9a56-600422f59a7d	5	88281712	88292270	7	-0.9569
4e25aad8-047b-46af-9a56-600422f59a7d	5	88295130	180934240	54014	0.0038
4e25aad8-047b-46af-9a56-600422f59a7d	6	1011760	170596889	97157	0.0031
4e25aad8-047b-46af-9a56-600422f59a7d	7	664936	158592540	81924	0.0021
4e25aad8-047b-46af-9a56-600422f59a7d	8	667625	144182542	82238	-0.0104
4e25aad8-047b-46af-9a56-600422f59a7d	9	789794	138044505	68467	0.0012
4e25aad8-047b-46af-9a56-600422f59a7d	10	366509	133411599	81287	0.0018
4e25aad8-047b-46af-9a56-600422f59a7d	11	456012	134272740	77579	0.0012
4e25aad8-047b-46af-9a56-600422f59a7d	12	780472	80446147	43926	0.0015
4e25aad8-047b-46af-9a56-600422f59a7d	12	80446276	80456533	2	-2.3533
4e25aad8-047b-46af-9a56-600422f59a7d	12	80458189	83749535	1979	-0.0064
4e25aad8-047b-46af-9a56-600422f59a7d	12	83752983	83767406	18	-1.0376
4e25aad8-047b-46af-9a56-600422f59a7d	12	83768940	132605822	28428	-0.0001
4e25aad8-047b-46af-9a56-600422f59a7d	13	18874255	114226675	56998	0.0042
4e25aad8-047b-46af-9a56-600422f59a7d	14	20033191	105533894	49789	0.0034
4e25aad8-047b-46af-9a56-600422f59a7d	15	23437561	101344124	44795	-0.0018
4e25aad8-047b-46af-9a56-600422f59a7d	16	603333	83940461	38663	0.0001
4e25aad8-047b-46af-9a56-600422f59a7d	16	83945996	83946386	3	-1.163
4e25aad8-047b-46af-9a56-600422f59a7d	16	83946424	89317317	2539	0.0026
4e25aad8-047b-46af-9a56-600422f59a7d	17	1074619	9753836	4418	0.0075
4e25aad8-047b-46af-9a56-600422f59a7d	17	9754783	9760775	3	-1.5203
4e25aad8-047b-46af-9a56-600422f59a7d	17	9762217	82959812	32860	0.0012
4e25aad8-047b-46af-9a56-600422f59a7d	18	326691	79349796	42970	0.0018
4e25aad8-047b-46af-9a56-600422f59a7d	19	283868	58370362	24149	0.0024
4e25aad8-047b-46af-9a56-600422f59a7d	20	472817	852010	264	0.1093
4e25aad8-047b-46af-9a56-600422f59a7d	20	852120	63588502	37292	-0.0018
4e25aad8-047b-46af-9a56-600422f59a7d	21	13974127	45694528	20295	-0.0021
4e25aad8-047b-46af-9a56-600422f59a7d	21	45694898	46262057	305	0.0947
4e25aad8-047b-46af-9a56-600422f59a7d	22	16934932	48940621	17088	0.0021
4e25aad8-047b-46af-9a56-600422f59a7d	X	3236359	51855014	21807	0.0033
4e25aad8-047b-46af-9a56-600422f59a7d	X	51856295	51856690	2	-1.8113
4e25aad8-047b-46af-9a56-600422f59a7d	X	51857335	155677414	42162	0.0004
