GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	3301765	5844684	1804	-0.1289
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	5844941	24950899	10291	-0.0863
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	24954524	30224092	2367	-0.1144
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	30225497	60761209	17545	-0.0594
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	60761436	65577429	3427	-0.0175
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	65580244	67119786	1146	0.0768
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	67122347	78578320	6605	-0.0262
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	78579215	80392226	994	0.0595
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	80392809	83752880	2075	-0.0513
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	83753032	90591799	4480	0.015
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	90596117	94593476	2262	-0.0165
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	94594129	98704975	2484	-0.0573
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	98705075	106549185	4338	-0.0056
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	106549354	106859442	206	0.0788
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	106859466	106859479	2	-0.8429
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	106859534	107779321	677	0.0822
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	107785756	110562435	1448	-0.0184
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	110563954	110655562	71	0.6345
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	110655878	110788274	114	0.4192
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	110869657	112244774	1035	-0.0187
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	112245488	113005869	437	-0.0511
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	113007313	113197127	113	0.3117
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	113197313	113452006	137	0.4506
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	113453883	117119085	2389	0.3232
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	117123969	118717584	904	-0.0306
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	118723106	119979137	778	0.3302
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	119979978	151638995	647	0.2592
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	151639472	153345716	1040	0.3318
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	153346577	154623508	537	0.2626
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	154623646	154932364	207	0.3468
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	154933892	156324420	569	0.2337
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	156325019	156984592	316	0.3072
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	156985100	159806098	1902	0.3828
c4c97e2c-012d-4916-a258-5bb6972f8fb8	1	159808184	165067758	3585	0.3294
