GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
11d773f1-8bf0-4752-8a04-015cda55fce3	1	3301765	22494203	10760	0.0684
11d773f1-8bf0-4752-8a04-015cda55fce3	1	22495475	230358349	107613	0.052
11d773f1-8bf0-4752-8a04-015cda55fce3	1	230360693	234217062	2839	0.0724
11d773f1-8bf0-4752-8a04-015cda55fce3	1	234219706	243640425	6595	0.1917
11d773f1-8bf0-4752-8a04-015cda55fce3	1	243640500	243640515	2	-1.4267
11d773f1-8bf0-4752-8a04-015cda55fce3	1	243640620	247217308	1622	0.1915
11d773f1-8bf0-4752-8a04-015cda55fce3	1	247222815	247227491	4	-0.6483
11d773f1-8bf0-4752-8a04-015cda55fce3	1	247227505	247650984	266	0.2116
11d773f1-8bf0-4752-8a04-015cda55fce3	2	480597	241537572	132179	0.0515
11d773f1-8bf0-4752-8a04-015cda55fce3	3	2170634	80237974	46322	0.0564
11d773f1-8bf0-4752-8a04-015cda55fce3	3	80239130	197812401	60818	0.0395
11d773f1-8bf0-4752-8a04-015cda55fce3	4	1059384	4404989	1303	0.0419
11d773f1-8bf0-4752-8a04-015cda55fce3	4	4405490	10439802	3635	0.0811
11d773f1-8bf0-4752-8a04-015cda55fce3	4	10440498	92474370	46553	0.0464
11d773f1-8bf0-4752-8a04-015cda55fce3	4	92475469	92819258	161	0.4911
11d773f1-8bf0-4752-8a04-015cda55fce3	4	92819373	152246797	32615	0.0492
11d773f1-8bf0-4752-8a04-015cda55fce3	4	152254394	152297504	22	-0.6941
11d773f1-8bf0-4752-8a04-015cda55fce3	4	152298079	179970055	15417	0.0405
11d773f1-8bf0-4752-8a04-015cda55fce3	4	179970469	181821290	1063	-0.1328
11d773f1-8bf0-4752-8a04-015cda55fce3	4	181830044	181830114	2	-2.0241
11d773f1-8bf0-4752-8a04-015cda55fce3	4	181831386	187719689	2624	-0.1203
11d773f1-8bf0-4752-8a04-015cda55fce3	4	187719716	187842528	75	-0.0114
11d773f1-8bf0-4752-8a04-015cda55fce3	5	913983	15044733	9824	0.069
11d773f1-8bf0-4752-8a04-015cda55fce3	5	15045762	15045999	2	-1.4766
11d773f1-8bf0-4752-8a04-015cda55fce3	5	15049081	17788194	1111	0.0674
11d773f1-8bf0-4752-8a04-015cda55fce3	5	17788250	131172985	59569	0.0477
11d773f1-8bf0-4752-8a04-015cda55fce3	5	131174441	180934240	30591	0.0626
11d773f1-8bf0-4752-8a04-015cda55fce3	6	1011760	62251614	34425	0.0255
11d773f1-8bf0-4752-8a04-015cda55fce3	6	62252546	170596889	62716	0.0495
11d773f1-8bf0-4752-8a04-015cda55fce3	7	664936	53774868	31797	0.0462
11d773f1-8bf0-4752-8a04-015cda55fce3	7	53775701	71429625	5263	0.0755
11d773f1-8bf0-4752-8a04-015cda55fce3	7	71431704	158592540	44867	0.0499
11d773f1-8bf0-4752-8a04-015cda55fce3	8	667625	11739715	5216	0.0723
11d773f1-8bf0-4752-8a04-015cda55fce3	8	11739840	130037532	68465	0.0507
11d773f1-8bf0-4752-8a04-015cda55fce3	8	130037780	144182542	8527	0.0698
11d773f1-8bf0-4752-8a04-015cda55fce3	9	789794	37925489	22939	0.0451
11d773f1-8bf0-4752-8a04-015cda55fce3	9	37926451	110798034	29180	0.0689
11d773f1-8bf0-4752-8a04-015cda55fce3	9	110798188	112381293	1115	0.0332
11d773f1-8bf0-4752-8a04-015cda55fce3	9	112382988	138044505	15225	-0.6179
11d773f1-8bf0-4752-8a04-015cda55fce3	10	366509	38770869	26251	0.051
11d773f1-8bf0-4752-8a04-015cda55fce3	10	38770921	42682789	142	-0.2249
11d773f1-8bf0-4752-8a04-015cda55fce3	10	42682864	42774962	20	-0.4963
11d773f1-8bf0-4752-8a04-015cda55fce3	10	42776330	42899719	76	-0.222
11d773f1-8bf0-4752-8a04-015cda55fce3	10	42902746	43556371	438	-0.5719
11d773f1-8bf0-4752-8a04-015cda55fce3	10	43560680	43603107	24	0.15
11d773f1-8bf0-4752-8a04-015cda55fce3	10	43608168	43624197	18	-0.7908
11d773f1-8bf0-4752-8a04-015cda55fce3	10	43631167	43677944	30	0.1211
11d773f1-8bf0-4752-8a04-015cda55fce3	10	43679839	45297432	1108	-0.6515
11d773f1-8bf0-4752-8a04-015cda55fce3	10	45299713	46015804	147	-0.2267
11d773f1-8bf0-4752-8a04-015cda55fce3	10	46016391	48817676	703	-0.6252
11d773f1-8bf0-4752-8a04-015cda55fce3	10	48817975	76779798	16304	-0.6619
11d773f1-8bf0-4752-8a04-015cda55fce3	10	76781200	87869199	7200	-0.6276
11d773f1-8bf0-4752-8a04-015cda55fce3	10	87869528	87950408	123	-0.3969
11d773f1-8bf0-4752-8a04-015cda55fce3	10	87950425	96423363	5130	-0.6327
11d773f1-8bf0-4752-8a04-015cda55fce3	10	96423742	96429409	3	-2.7207
11d773f1-8bf0-4752-8a04-015cda55fce3	10	96433477	100816749	2626	-0.6201
11d773f1-8bf0-4752-8a04-015cda55fce3	10	100820161	100820202	2	-2.8635
11d773f1-8bf0-4752-8a04-015cda55fce3	10	100823358	111728222	6668	-0.621
11d773f1-8bf0-4752-8a04-015cda55fce3	10	111736637	111762098	24	0.1024
11d773f1-8bf0-4752-8a04-015cda55fce3	10	111762347	111780466	20	-0.7291
11d773f1-8bf0-4752-8a04-015cda55fce3	10	111783201	111823581	22	0.0971
11d773f1-8bf0-4752-8a04-015cda55fce3	10	111824747	111922926	87	-0.6243
11d773f1-8bf0-4752-8a04-015cda55fce3	10	111924138	112155402	169	0.1109
11d773f1-8bf0-4752-8a04-015cda55fce3	10	112158474	113758233	1143	-0.6413
11d773f1-8bf0-4752-8a04-015cda55fce3	10	113758447	113769216	11	0.0899
11d773f1-8bf0-4752-8a04-015cda55fce3	10	113772349	113808255	34	-0.7291
11d773f1-8bf0-4752-8a04-015cda55fce3	10	113814934	113849797	26	0.0199
11d773f1-8bf0-4752-8a04-015cda55fce3	10	113853530	113986792	86	-0.6074
11d773f1-8bf0-4752-8a04-015cda55fce3	10	113988238	114002151	19	0.0915
11d773f1-8bf0-4752-8a04-015cda55fce3	10	114008418	114032972	24	-0.596
11d773f1-8bf0-4752-8a04-015cda55fce3	10	114053200	114152022	53	0.1276
11d773f1-8bf0-4752-8a04-015cda55fce3	10	114155093	115626338	929	-0.6274
11d773f1-8bf0-4752-8a04-015cda55fce3	10	115631485	115653097	17	0.1448
11d773f1-8bf0-4752-8a04-015cda55fce3	10	115653128	115656421	10	-0.6514
11d773f1-8bf0-4752-8a04-015cda55fce3	10	115661521	115765560	94	0.0967
11d773f1-8bf0-4752-8a04-015cda55fce3	10	115765686	117307346	1054	-0.6322
11d773f1-8bf0-4752-8a04-015cda55fce3	10	117312230	117439672	84	0.2001
11d773f1-8bf0-4752-8a04-015cda55fce3	10	117439752	117921890	410	-0.6308
11d773f1-8bf0-4752-8a04-015cda55fce3	10	117925354	118047808	74	0.0897
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118053905	118072368	12	-0.714
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118074340	118121183	22	0.1131
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118121932	118447184	220	-0.6772
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118449022	118460001	11	0.119
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118462003	118567945	87	-0.679
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118570151	118680377	73	0.0574
11d773f1-8bf0-4752-8a04-015cda55fce3	10	118683370	119003203	215	-0.6043
11d773f1-8bf0-4752-8a04-015cda55fce3	10	119003280	120257077	804	-0.2642
11d773f1-8bf0-4752-8a04-015cda55fce3	10	120260509	120369448	73	-0.6929
11d773f1-8bf0-4752-8a04-015cda55fce3	10	120369841	120420830	50	0.063
11d773f1-8bf0-4752-8a04-015cda55fce3	10	120421873	120457959	23	-0.5368
11d773f1-8bf0-4752-8a04-015cda55fce3	10	120458658	120493637	28	-0.1447
11d773f1-8bf0-4752-8a04-015cda55fce3	10	120494841	121899274	1323	-0.6099
11d773f1-8bf0-4752-8a04-015cda55fce3	10	121902207	122309119	329	-0.2219
11d773f1-8bf0-4752-8a04-015cda55fce3	10	122309285	122409290	53	0.1612
11d773f1-8bf0-4752-8a04-015cda55fce3	10	122414812	122437364	15	-0.6415
11d773f1-8bf0-4752-8a04-015cda55fce3	10	122442149	122513457	60	0.1863
11d773f1-8bf0-4752-8a04-015cda55fce3	10	122515087	122940865	226	-0.5875
11d773f1-8bf0-4752-8a04-015cda55fce3	10	122941658	122992814	35	-0.189
11d773f1-8bf0-4752-8a04-015cda55fce3	10	122994972	123039743	35	-0.6267
11d773f1-8bf0-4752-8a04-015cda55fce3	10	123044303	124907634	1258	-0.221
11d773f1-8bf0-4752-8a04-015cda55fce3	10	124908851	125775402	567	0.1033
11d773f1-8bf0-4752-8a04-015cda55fce3	10	125776044	133411599	4288	-0.6271
11d773f1-8bf0-4752-8a04-015cda55fce3	11	456012	1209581	209	-0.6212
11d773f1-8bf0-4752-8a04-015cda55fce3	11	1209936	56472844	30579	0.0527
11d773f1-8bf0-4752-8a04-015cda55fce3	11	56474772	56474785	2	-1.4536
11d773f1-8bf0-4752-8a04-015cda55fce3	11	56474878	76371247	9284	0.0516
11d773f1-8bf0-4752-8a04-015cda55fce3	11	76382975	76479322	46	0.4471
11d773f1-8bf0-4752-8a04-015cda55fce3	11	76479877	134272740	37421	0.0545
11d773f1-8bf0-4752-8a04-015cda55fce3	12	780472	52759496	27299	0.0428
11d773f1-8bf0-4752-8a04-015cda55fce3	12	52759624	52981050	167	-0.0059
11d773f1-8bf0-4752-8a04-015cda55fce3	12	52983361	52984569	2	-1.457
11d773f1-8bf0-4752-8a04-015cda55fce3	12	52989863	74785641	12805	0.0199
11d773f1-8bf0-4752-8a04-015cda55fce3	12	74792132	74792534	3	-1.3082
11d773f1-8bf0-4752-8a04-015cda55fce3	12	74793920	127320775	32195	0.0135
11d773f1-8bf0-4752-8a04-015cda55fce3	12	127321272	132605822	1862	0.0393
11d773f1-8bf0-4752-8a04-015cda55fce3	13	18874255	19395323	331	-0.6753
11d773f1-8bf0-4752-8a04-015cda55fce3	13	19395398	19396278	2	-2.8077
11d773f1-8bf0-4752-8a04-015cda55fce3	13	19396820	58497039	22757	-0.6648
11d773f1-8bf0-4752-8a04-015cda55fce3	13	58501186	58543557	31	0.0108
11d773f1-8bf0-4752-8a04-015cda55fce3	13	58545963	62215574	2242	-0.664
11d773f1-8bf0-4752-8a04-015cda55fce3	13	62223264	64500780	737	0.0074
11d773f1-8bf0-4752-8a04-015cda55fce3	13	64505932	64813340	199	-0.6677
11d773f1-8bf0-4752-8a04-015cda55fce3	13	64813630	114226675	30655	0.0149
11d773f1-8bf0-4752-8a04-015cda55fce3	14	20033191	105533894	49764	0.0495
11d773f1-8bf0-4752-8a04-015cda55fce3	15	23437561	101344124	44774	0.0622
11d773f1-8bf0-4752-8a04-015cda55fce3	16	603333	10271015	5195	0.0592
11d773f1-8bf0-4752-8a04-015cda55fce3	16	10272419	10274030	3	-1.1562
11d773f1-8bf0-4752-8a04-015cda55fce3	16	10274036	31841585	8839	0.0531
11d773f1-8bf0-4752-8a04-015cda55fce3	16	46470502	89317317	27134	-0.6536
11d773f1-8bf0-4752-8a04-015cda55fce3	17	1074619	8183534	3405	0.0272
11d773f1-8bf0-4752-8a04-015cda55fce3	17	8193993	8206347	9	0.4283
11d773f1-8bf0-4752-8a04-015cda55fce3	17	8211662	8282981	39	0.8728
11d773f1-8bf0-4752-8a04-015cda55fce3	17	8286970	21774057	6283	0.5012
11d773f1-8bf0-4752-8a04-015cda55fce3	17	26943491	45184750	8187	0.0464
11d773f1-8bf0-4752-8a04-015cda55fce3	17	45184964	45461373	109	-0.6402
11d773f1-8bf0-4752-8a04-015cda55fce3	17	46733528	77134395	16872	0.0485
11d773f1-8bf0-4752-8a04-015cda55fce3	17	77136464	77174591	24	-0.5711
11d773f1-8bf0-4752-8a04-015cda55fce3	17	77176951	82382648	2030	0.0535
11d773f1-8bf0-4752-8a04-015cda55fce3	17	82399121	82403173	2	-1.3033
11d773f1-8bf0-4752-8a04-015cda55fce3	17	82403670	82959812	309	0.0388
11d773f1-8bf0-4752-8a04-015cda55fce3	18	326691	5956634	3018	-0.1044
11d773f1-8bf0-4752-8a04-015cda55fce3	18	5957314	79349796	39936	0.0552
11d773f1-8bf0-4752-8a04-015cda55fce3	19	283868	2715630	516	-0.6432
11d773f1-8bf0-4752-8a04-015cda55fce3	19	2728579	21483408	7430	0.0358
11d773f1-8bf0-4752-8a04-015cda55fce3	19	21486309	27798320	1137	0.0758
11d773f1-8bf0-4752-8a04-015cda55fce3	19	27828826	31048904	2450	0.1448
11d773f1-8bf0-4752-8a04-015cda55fce3	19	31049500	39868358	4994	0.0863
11d773f1-8bf0-4752-8a04-015cda55fce3	19	39874001	46573021	2752	-0.001
11d773f1-8bf0-4752-8a04-015cda55fce3	19	46581702	46667387	36	-0.7462
11d773f1-8bf0-4752-8a04-015cda55fce3	19	46668200	48283211	775	-0.0866
11d773f1-8bf0-4752-8a04-015cda55fce3	19	48283513	57424919	3611	-0.003
11d773f1-8bf0-4752-8a04-015cda55fce3	19	57430087	57721640	126	-0.0787
11d773f1-8bf0-4752-8a04-015cda55fce3	19	57729060	57783618	28	-0.7272
11d773f1-8bf0-4752-8a04-015cda55fce3	19	57840921	58370362	291	-0.08
11d773f1-8bf0-4752-8a04-015cda55fce3	20	472817	56889519	33049	0.0605
11d773f1-8bf0-4752-8a04-015cda55fce3	20	56889623	62203402	4020	0.0903
11d773f1-8bf0-4752-8a04-015cda55fce3	20	62206338	63588502	473	0.0542
11d773f1-8bf0-4752-8a04-015cda55fce3	21	13974127	41484285	18333	0.0429
11d773f1-8bf0-4752-8a04-015cda55fce3	21	41484301	41484617	4	-1.0079
11d773f1-8bf0-4752-8a04-015cda55fce3	21	41484668	46262057	2256	0.0616
11d773f1-8bf0-4752-8a04-015cda55fce3	22	16934932	18128862	768	0.4841
11d773f1-8bf0-4752-8a04-015cda55fce3	22	18130790	25210907	914	0.7998
11d773f1-8bf0-4752-8a04-015cda55fce3	22	25211818	48940621	15401	0.4948
11d773f1-8bf0-4752-8a04-015cda55fce3	X	3236359	10627414	1851	-0.7697
11d773f1-8bf0-4752-8a04-015cda55fce3	X	10627799	58236567	21801	0.3394
11d773f1-8bf0-4752-8a04-015cda55fce3	X	58247095	155677414	39484	-0.1246
