GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
500582f4-bc1c-4cdf-bdce-479abc908b6d	1	3301765	62517220	33208	-0.0475
500582f4-bc1c-4cdf-bdce-479abc908b6d	1	62517405	118125596	33648	-0.0709
500582f4-bc1c-4cdf-bdce-479abc908b6d	1	118125670	119984772	1106	-0.0411
500582f4-bc1c-4cdf-bdce-479abc908b6d	1	146716041	189988970	24812	0.8045
500582f4-bc1c-4cdf-bdce-479abc908b6d	1	189989653	189990138	4	-1.2248
500582f4-bc1c-4cdf-bdce-479abc908b6d	1	189990153	247650984	36682	0.8104
500582f4-bc1c-4cdf-bdce-479abc908b6d	2	480597	134024670	70060	0.0216
500582f4-bc1c-4cdf-bdce-479abc908b6d	2	134024951	234235517	57431	0.0082
500582f4-bc1c-4cdf-bdce-479abc908b6d	2	234236143	241072273	4172	0.0262
500582f4-bc1c-4cdf-bdce-479abc908b6d	2	241074641	241074746	2	-1.5658
500582f4-bc1c-4cdf-bdce-479abc908b6d	2	241077474	241537572	265	0.0347
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	2170634	49183824	27552	-0.0622
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	49186883	49416679	82	-0.7044
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	49419460	74436418	15732	-0.0416
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	74438273	83292925	4510	-0.0626
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	83296773	83297033	2	-1.3718
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	83300880	118152844	16971	-0.074
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	118153037	118153755	4	-1.2618
500582f4-bc1c-4cdf-bdce-479abc908b6d	3	118158563	197812401	42111	-0.0655
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	1059384	10190726	4764	-0.0427
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	10244274	10244648	2	-1.6227
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	10245888	21465774	7885	-0.0547
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	21468162	21470591	10	-1.1104
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	21470728	111291050	49236	-0.0735
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	111291686	111295645	2	-1.8145
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	111296654	159484470	26510	-0.0767
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	159488149	159491584	2	-1.6939
500582f4-bc1c-4cdf-bdce-479abc908b6d	4	159492666	187842528	14840	-0.0785
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	913983	4012189	1950	-0.0643
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	4012580	4012586	2	-1.4242
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	4013527	6027961	1653	-0.0562
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	6027986	6028077	2	-1.2133
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	6028137	7117091	907	-0.0561
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	7118263	7120142	4	-1.2298
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	7120727	17956881	6515	-0.0569
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	17957233	168005016	82292	-0.0724
500582f4-bc1c-4cdf-bdce-479abc908b6d	5	168006814	180934240	7557	-0.0539
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	1011760	10017615	6564	0.3623
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	10018291	10018850	4	1.1884
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	10022797	11148102	583	0.3673
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	11148879	18534122	5219	0.3334
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	18534193	22903102	3167	0.3704
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	22905088	22905574	3	1.4532
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	22905603	24919683	1379	0.3658
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	24920679	33571624	2756	0.3044
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	33574701	80006768	24577	0.353
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	80009746	80011315	5	-0.7718
500582f4-bc1c-4cdf-bdce-479abc908b6d	6	80016692	170596889	52722	0.3433
500582f4-bc1c-4cdf-bdce-479abc908b6d	7	665647	12503547	5275	-0.0609
500582f4-bc1c-4cdf-bdce-479abc908b6d	7	12504084	12509401	8	-0.8239
500582f4-bc1c-4cdf-bdce-479abc908b6d	7	12512533	158592540	76488	-0.0647
500582f4-bc1c-4cdf-bdce-479abc908b6d	8	667625	55579076	29996	0.0442
500582f4-bc1c-4cdf-bdce-479abc908b6d	8	55579120	88093445	18469	0.0277
500582f4-bc1c-4cdf-bdce-479abc908b6d	8	88093952	101677760	8038	0.0386
500582f4-bc1c-4cdf-bdce-479abc908b6d	8	101686056	101831272	94	-0.6359
500582f4-bc1c-4cdf-bdce-479abc908b6d	8	101833424	144182542	25480	0.0303
500582f4-bc1c-4cdf-bdce-479abc908b6d	9	789794	965006	156	-0.0359
500582f4-bc1c-4cdf-bdce-479abc908b6d	9	1540009	1600830	55	0.4631
500582f4-bc1c-4cdf-bdce-479abc908b6d	9	1602182	138044505	68157	-0.0581
500582f4-bc1c-4cdf-bdce-479abc908b6d	10	366509	3273199	1495	-0.0309
