GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e07fa841-db4a-448d-9906-a5b2fe750c36	1	3301765	9933962	3932	0.1847
e07fa841-db4a-448d-9906-a5b2fe750c36	1	9952956	25889469	8530	0.2564
e07fa841-db4a-448d-9906-a5b2fe750c36	1	25889590	25932053	25	0.7033
e07fa841-db4a-448d-9906-a5b2fe750c36	1	25938753	26198199	131	0.2448
e07fa841-db4a-448d-9906-a5b2fe750c36	1	26198215	28513637	872	0.1983
e07fa841-db4a-448d-9906-a5b2fe750c36	1	28513790	31612778	1748	0.4004
e07fa841-db4a-448d-9906-a5b2fe750c36	1	31615425	35454378	2051	0.2809
e07fa841-db4a-448d-9906-a5b2fe750c36	1	35463407	44757971	5158	0.3726
e07fa841-db4a-448d-9906-a5b2fe750c36	1	44765291	44870639	46	0.2456
e07fa841-db4a-448d-9906-a5b2fe750c36	1	44871422	45687413	364	0.0978
e07fa841-db4a-448d-9906-a5b2fe750c36	1	45706176	45765823	18	-0.9668
e07fa841-db4a-448d-9906-a5b2fe750c36	1	45767963	48728699	1630	0.1378
e07fa841-db4a-448d-9906-a5b2fe750c36	1	48731415	50927973	961	0.2881
e07fa841-db4a-448d-9906-a5b2fe750c36	1	50928422	50929560	2	-1.0852
e07fa841-db4a-448d-9906-a5b2fe750c36	1	50935211	51247552	123	0.3071
e07fa841-db4a-448d-9906-a5b2fe750c36	1	51252190	54289175	1636	0.2354
e07fa841-db4a-448d-9906-a5b2fe750c36	1	54290407	65786499	8312	0.2966
e07fa841-db4a-448d-9906-a5b2fe750c36	1	65788076	71092631	3366	-0.0133
e07fa841-db4a-448d-9906-a5b2fe750c36	1	71097297	73579743	1275	-0.0695
e07fa841-db4a-448d-9906-a5b2fe750c36	1	73582080	77927723	2569	0.0061
e07fa841-db4a-448d-9906-a5b2fe750c36	1	77931023	79098506	519	0.2858
e07fa841-db4a-448d-9906-a5b2fe750c36	1	79099599	81434050	1440	0.6726
e07fa841-db4a-448d-9906-a5b2fe750c36	1	81437510	88090351	4384	0.7202
e07fa841-db4a-448d-9906-a5b2fe750c36	1	88091663	88724325	410	0.6744
e07fa841-db4a-448d-9906-a5b2fe750c36	1	88728074	89647541	535	0.6135
e07fa841-db4a-448d-9906-a5b2fe750c36	1	89651028	93599125	2191	0.7027
e07fa841-db4a-448d-9906-a5b2fe750c36	1	93601078	96156720	1751	0.3819
e07fa841-db4a-448d-9906-a5b2fe750c36	1	96157549	98860578	1472	0.3036
e07fa841-db4a-448d-9906-a5b2fe750c36	1	98860788	101354021	1637	0.384
e07fa841-db4a-448d-9906-a5b2fe750c36	1	101360063	101371523	16	0.8507
e07fa841-db4a-448d-9906-a5b2fe750c36	1	101373608	113822069	6994	0.3669
e07fa841-db4a-448d-9906-a5b2fe750c36	1	113840711	117103012	2176	0.1024
e07fa841-db4a-448d-9906-a5b2fe750c36	1	117103122	119984772	1703	0.1686
