GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
103df197-2544-42dd-9813-9809573318df	1	3301765	226184285	115996	-0.012
103df197-2544-42dd-9813-9809573318df	1	226188728	226195751	5	-1.046
103df197-2544-42dd-9813-9809573318df	1	226199652	238691981	8518	-0.0141
103df197-2544-42dd-9813-9809573318df	1	238692338	238692794	3	-1.1571
103df197-2544-42dd-9813-9809573318df	1	238699149	247650984	5294	-0.0256
103df197-2544-42dd-9813-9809573318df	2	480597	22374229	14249	-0.015
103df197-2544-42dd-9813-9809573318df	2	22375874	22376054	2	-1.5597
103df197-2544-42dd-9813-9809573318df	2	22378048	71555384	28123	-0.0147
103df197-2544-42dd-9813-9809573318df	2	71559436	71559856	2	-1.7235
103df197-2544-42dd-9813-9809573318df	2	71560703	154941747	39896	-0.0182
103df197-2544-42dd-9813-9809573318df	2	154942085	221606293	37990	-0.0055
103df197-2544-42dd-9813-9809573318df	2	221606740	221606796	2	1.3211
103df197-2544-42dd-9813-9809573318df	2	221607842	223389403	1177	0.0085
103df197-2544-42dd-9813-9809573318df	2	223389648	223397550	2	-1.1207
103df197-2544-42dd-9813-9809573318df	2	223398158	224286674	586	0.0117
103df197-2544-42dd-9813-9809573318df	2	224286831	241537572	10242	-0.0189
103df197-2544-42dd-9813-9809573318df	3	2170634	174951976	95445	-0.012
103df197-2544-42dd-9813-9809573318df	3	174958616	175175562	133	-0.5093
103df197-2544-42dd-9813-9809573318df	3	175175985	197812401	11658	-0.0133
103df197-2544-42dd-9813-9809573318df	4	1059384	69854205	38291	-0.0194
103df197-2544-42dd-9813-9809573318df	4	69859347	92111071	13076	-0.0038
103df197-2544-42dd-9813-9809573318df	4	92114603	92114844	4	-0.9457
103df197-2544-42dd-9813-9809573318df	4	92115764	124538250	18202	-0.0039
103df197-2544-42dd-9813-9809573318df	4	124539196	124541780	3	-1.4542
103df197-2544-42dd-9813-9809573318df	4	124541870	187842528	33964	-0.0155
103df197-2544-42dd-9813-9809573318df	5	914118	1019699	49	0.2209
103df197-2544-42dd-9813-9809573318df	5	1020239	27199129	15767	-0.0037
103df197-2544-42dd-9813-9809573318df	5	27199495	29486042	1194	-0.489
103df197-2544-42dd-9813-9809573318df	5	29490389	39140707	5772	0.0016
103df197-2544-42dd-9813-9809573318df	5	39148898	45383300	3362	0.0845
103df197-2544-42dd-9813-9809573318df	5	50828231	111076887	32328	-0.0107
103df197-2544-42dd-9813-9809573318df	5	111077109	113445217	1787	-0.511
103df197-2544-42dd-9813-9809573318df	5	113446861	126933417	7929	-0.0153
103df197-2544-42dd-9813-9809573318df	5	126934936	150109547	13798	0.001
103df197-2544-42dd-9813-9809573318df	5	150109617	180934240	19178	-0.0254
103df197-2544-42dd-9813-9809573318df	6	1011760	33506645	19679	-0.0226
103df197-2544-42dd-9813-9809573318df	6	33507976	151036544	66204	-0.0083
103df197-2544-42dd-9813-9809573318df	6	151038922	170596889	11330	-0.0255
103df197-2544-42dd-9813-9809573318df	7	664936	67663429	34721	-0.0166
103df197-2544-42dd-9813-9809573318df	7	67664651	72292542	2801	-0.0541
103df197-2544-42dd-9813-9809573318df	7	72297554	158592540	44457	-0.0138
103df197-2544-42dd-9813-9809573318df	8	667625	16749861	8206	-0.0257
103df197-2544-42dd-9813-9809573318df	8	16749885	20129209	2721	0.0239
103df197-2544-42dd-9813-9809573318df	8	20129278	117100147	53966	-0.0176
103df197-2544-42dd-9813-9809573318df	8	117106933	119152203	1551	0.026
103df197-2544-42dd-9813-9809573318df	8	119153123	131307626	8224	-0.0132
103df197-2544-42dd-9813-9809573318df	8	131309458	139003396	5826	-0.0469
103df197-2544-42dd-9813-9809573318df	8	139003645	144182542	1776	-0.0078
103df197-2544-42dd-9813-9809573318df	9	789794	5406118	3303	-0.0211
103df197-2544-42dd-9813-9809573318df	9	5407409	5408358	6	-1.0215
103df197-2544-42dd-9813-9809573318df	9	5410702	8901758	1844	-0.0217
103df197-2544-42dd-9813-9809573318df	9	9039222	9074947	37	-0.5401
103df197-2544-42dd-9813-9809573318df	9	9075813	9196248	98	-0.6724
103df197-2544-42dd-9813-9809573318df	9	9196445	9489179	132	-0.5143
103df197-2544-42dd-9813-9809573318df	9	9495226	73565455	21791	-0.0061
103df197-2544-42dd-9813-9809573318df	9	73572169	90148150	11619	-0.0288
103df197-2544-42dd-9813-9809573318df	9	90148259	138044505	29685	-0.0134
103df197-2544-42dd-9813-9809573318df	10	366509	6417656	4017	-0.0113
103df197-2544-42dd-9813-9809573318df	10	6423025	18075400	8821	-0.0409
103df197-2544-42dd-9813-9809573318df	10	18076432	133411599	68501	-0.0152
103df197-2544-42dd-9813-9809573318df	11	456012	134272740	77612	-0.0126
103df197-2544-42dd-9813-9809573318df	12	780472	26088194	15077	0.3204
103df197-2544-42dd-9813-9809573318df	12	26088927	28542504	1540	0.3634
103df197-2544-42dd-9813-9809573318df	12	28542577	42793077	5574	0.3153
103df197-2544-42dd-9813-9809573318df	12	42796940	44120472	426	-0.2187
103df197-2544-42dd-9813-9809573318df	12	44121870	132605822	51776	0.3206
103df197-2544-42dd-9813-9809573318df	13	18874255	114226675	57021	-0.0132
103df197-2544-42dd-9813-9809573318df	14	20033191	67156463	26198	-0.0074
103df197-2544-42dd-9813-9809573318df	14	67158453	99019465	20513	-0.0231
103df197-2544-42dd-9813-9809573318df	14	99019804	105533894	3087	-0.0078
103df197-2544-42dd-9813-9809573318df	15	23437561	101344124	44809	-0.0125
103df197-2544-42dd-9813-9809573318df	16	603333	20228540	9056	-0.016
103df197-2544-42dd-9813-9809573318df	16	20231292	28574266	4316	-0.0402
103df197-2544-42dd-9813-9809573318df	16	28574488	77449374	19575	-0.0132
103df197-2544-42dd-9813-9809573318df	16	77450688	79697302	2033	-0.0614
103df197-2544-42dd-9813-9809573318df	16	79698277	83760390	3552	-0.0116
103df197-2544-42dd-9813-9809573318df	16	83760392	83760401	2	-1.6051
103df197-2544-42dd-9813-9809573318df	16	83760419	89317317	2699	-0.019
103df197-2544-42dd-9813-9809573318df	17	1074619	36803882	14123	-0.0228
103df197-2544-42dd-9813-9809573318df	17	36805589	36811934	3	-1.2904
103df197-2544-42dd-9813-9809573318df	17	36813767	82959812	23174	-0.0159
103df197-2544-42dd-9813-9809573318df	18	326691	30598044	13941	-0.0189
103df197-2544-42dd-9813-9809573318df	18	30603543	35311068	2894	0.0223
103df197-2544-42dd-9813-9809573318df	18	35311692	47520898	7387	-0.0264
103df197-2544-42dd-9813-9809573318df	18	47521299	63895595	10994	-0.0042
103df197-2544-42dd-9813-9809573318df	18	63895635	79349796	7767	-0.0269
103df197-2544-42dd-9813-9809573318df	19	283868	58370362	24162	-0.0279
103df197-2544-42dd-9813-9809573318df	20	472817	39405820	21210	-0.0089
103df197-2544-42dd-9813-9809573318df	20	39410348	39413403	3	-1.1132
103df197-2544-42dd-9813-9809573318df	20	39417485	54343850	10017	-0.0047
103df197-2544-42dd-9813-9809573318df	20	54343921	61424972	5419	-0.0309
103df197-2544-42dd-9813-9809573318df	20	61434025	63588502	931	0.009
103df197-2544-42dd-9813-9809573318df	21	13974127	46262057	20612	-0.0204
103df197-2544-42dd-9813-9809573318df	22	16934932	48940621	17094	-0.0204
103df197-2544-42dd-9813-9809573318df	X	3236359	47208012	19891	0.0166
103df197-2544-42dd-9813-9809573318df	X	47208155	47210862	3	-3.0005
103df197-2544-42dd-9813-9809573318df	X	47211447	155677414	43979	0.0048
