GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3efc48df-0528-4f22-a63b-32f8b6e2b80f	1	3301765	189988970	92801	0.0171
3efc48df-0528-4f22-a63b-32f8b6e2b80f	1	189989653	189990138	4	-1.7489
3efc48df-0528-4f22-a63b-32f8b6e2b80f	1	189990153	247650984	36676	0.0165
3efc48df-0528-4f22-a63b-32f8b6e2b80f	2	480597	241537572	131957	0.0193
3efc48df-0528-4f22-a63b-32f8b6e2b80f	3	2170634	197812401	106986	0.0164
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	1059384	21461691	12654	0.0163
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	21465774	21470728	12	-0.954
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	21477404	111291050	49252	0.0175
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	111291686	111295645	2	-1.3458
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	111296654	124525725	7483	0.0197
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	124529651	124530864	4	-0.9961
3efc48df-0528-4f22-a63b-32f8b6e2b80f	4	124534550	187842528	33876	0.0149
3efc48df-0528-4f22-a63b-32f8b6e2b80f	5	914118	180934240	100912	0.0157
3efc48df-0528-4f22-a63b-32f8b6e2b80f	6	1011760	80003549	44246	0.0171
3efc48df-0528-4f22-a63b-32f8b6e2b80f	6	80006768	80011315	6	-0.8782
3efc48df-0528-4f22-a63b-32f8b6e2b80f	6	80016692	170596889	52729	0.0132
3efc48df-0528-4f22-a63b-32f8b6e2b80f	7	665647	10209957	3796	0.0167
3efc48df-0528-4f22-a63b-32f8b6e2b80f	7	10212787	10214059	3	-1.0525
3efc48df-0528-4f22-a63b-32f8b6e2b80f	7	10214144	12506550	1481	0.0221
3efc48df-0528-4f22-a63b-32f8b6e2b80f	7	12507507	12509401	6	-1.0517
3efc48df-0528-4f22-a63b-32f8b6e2b80f	7	12512533	158592540	76504	0.015
3efc48df-0528-4f22-a63b-32f8b6e2b80f	8	667625	144182542	82101	0.0151
3efc48df-0528-4f22-a63b-32f8b6e2b80f	9	789794	965006	156	0.019
3efc48df-0528-4f22-a63b-32f8b6e2b80f	9	1540009	1600830	55	0.5289
3efc48df-0528-4f22-a63b-32f8b6e2b80f	9	1602182	138044505	68169	0.0143
3efc48df-0528-4f22-a63b-32f8b6e2b80f	10	366509	133411599	81145	0.0133
3efc48df-0528-4f22-a63b-32f8b6e2b80f	11	456012	36839680	23589	0.0159
3efc48df-0528-4f22-a63b-32f8b6e2b80f	11	36844796	36847052	3	-1.2761
3efc48df-0528-4f22-a63b-32f8b6e2b80f	11	36847315	134272740	53829	0.0164
3efc48df-0528-4f22-a63b-32f8b6e2b80f	12	780472	132605822	74211	0.0143
3efc48df-0528-4f22-a63b-32f8b6e2b80f	13	18874255	114226675	56855	0.0148
3efc48df-0528-4f22-a63b-32f8b6e2b80f	14	20033191	105533894	49687	0.0147
3efc48df-0528-4f22-a63b-32f8b6e2b80f	15	23437561	101344124	44713	0.0139
3efc48df-0528-4f22-a63b-32f8b6e2b80f	16	603333	89317317	41147	0.0132
3efc48df-0528-4f22-a63b-32f8b6e2b80f	17	1074619	82959812	37231	0.0144
3efc48df-0528-4f22-a63b-32f8b6e2b80f	18	326691	79349796	42886	0.0164
3efc48df-0528-4f22-a63b-32f8b6e2b80f	19	283868	58370362	24125	0.0152
3efc48df-0528-4f22-a63b-32f8b6e2b80f	20	472817	63588502	37503	0.0136
3efc48df-0528-4f22-a63b-32f8b6e2b80f	21	13974127	46262057	20564	0.0093
3efc48df-0528-4f22-a63b-32f8b6e2b80f	22	16934932	48940621	17078	0.0157
3efc48df-0528-4f22-a63b-32f8b6e2b80f	X	3236359	46110611	19382	0.0178
3efc48df-0528-4f22-a63b-32f8b6e2b80f	X	46127351	46134959	3	1.2431
3efc48df-0528-4f22-a63b-32f8b6e2b80f	X	46135337	97746173	17777	0.0145
3efc48df-0528-4f22-a63b-32f8b6e2b80f	X	97746266	97746285	2	-1.4237
3efc48df-0528-4f22-a63b-32f8b6e2b80f	X	97746386	155677414	26696	0.0138
