GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
82927d4f-e3fc-4e14-a520-a75b1785a8ae	1	3301765	15198353	6743	0.0027
82927d4f-e3fc-4e14-a520-a75b1785a8ae	1	15199756	15200827	2	-1.6173
82927d4f-e3fc-4e14-a520-a75b1785a8ae	1	15201838	30274729	7757	0.0059
82927d4f-e3fc-4e14-a520-a75b1785a8ae	1	30276813	30284173	9	-0.7647
82927d4f-e3fc-4e14-a520-a75b1785a8ae	1	30287109	247650984	115304	0.002
82927d4f-e3fc-4e14-a520-a75b1785a8ae	2	480597	241537572	132253	0.0006
82927d4f-e3fc-4e14-a520-a75b1785a8ae	3	2170634	197812401	107221	0.0029
82927d4f-e3fc-4e14-a520-a75b1785a8ae	4	1059384	17694099	10408	0.0019
82927d4f-e3fc-4e14-a520-a75b1785a8ae	4	17694620	17696032	3	-1.1398
82927d4f-e3fc-4e14-a520-a75b1785a8ae	4	17696064	187842528	93126	0.0023
82927d4f-e3fc-4e14-a520-a75b1785a8ae	5	913983	23845772	14038	-0.0012
82927d4f-e3fc-4e14-a520-a75b1785a8ae	5	23845777	23847951	2	1.3795
82927d4f-e3fc-4e14-a520-a75b1785a8ae	5	23850984	180934240	87112	0.0019
82927d4f-e3fc-4e14-a520-a75b1785a8ae	6	1011760	19381155	13028	0.0029
82927d4f-e3fc-4e14-a520-a75b1785a8ae	6	19381372	19381820	2	-1.4471
82927d4f-e3fc-4e14-a520-a75b1785a8ae	6	19385858	170596889	84159	0.0012
82927d4f-e3fc-4e14-a520-a75b1785a8ae	7	664936	158592540	81971	0.0034
82927d4f-e3fc-4e14-a520-a75b1785a8ae	8	667625	144182542	82257	0.0041
82927d4f-e3fc-4e14-a520-a75b1785a8ae	9	789794	33112625	20239	0.0049
82927d4f-e3fc-4e14-a520-a75b1785a8ae	9	33112831	33113068	2	-1.9242
82927d4f-e3fc-4e14-a520-a75b1785a8ae	9	33113123	133728695	46642	0.0043
82927d4f-e3fc-4e14-a520-a75b1785a8ae	9	133729186	133729337	2	-1.6087
82927d4f-e3fc-4e14-a520-a75b1785a8ae	9	133733006	138044505	1624	0.004
82927d4f-e3fc-4e14-a520-a75b1785a8ae	10	366509	133411599	81328	0.002
82927d4f-e3fc-4e14-a520-a75b1785a8ae	11	456012	134272740	77602	0.0016
82927d4f-e3fc-4e14-a520-a75b1785a8ae	12	780472	132605822	74375	0.0029
82927d4f-e3fc-4e14-a520-a75b1785a8ae	13	18874255	114226675	57022	0.0024
82927d4f-e3fc-4e14-a520-a75b1785a8ae	14	20033191	105533894	49807	0
82927d4f-e3fc-4e14-a520-a75b1785a8ae	15	23437561	25419098	927	0.0123
82927d4f-e3fc-4e14-a520-a75b1785a8ae	15	25422519	25422613	2	-1.5511
82927d4f-e3fc-4e14-a520-a75b1785a8ae	15	25423409	101344124	43878	0.0012
82927d4f-e3fc-4e14-a520-a75b1785a8ae	16	603333	89317317	41229	-0.0042
82927d4f-e3fc-4e14-a520-a75b1785a8ae	17	1074619	82959812	37296	0.0032
82927d4f-e3fc-4e14-a520-a75b1785a8ae	18	326691	79349796	42982	-0.0004
82927d4f-e3fc-4e14-a520-a75b1785a8ae	19	283868	58370362	24166	0.0047
82927d4f-e3fc-4e14-a520-a75b1785a8ae	20	472817	63588502	37574	0.0033
82927d4f-e3fc-4e14-a520-a75b1785a8ae	21	13974127	46262057	20606	0.0007
82927d4f-e3fc-4e14-a520-a75b1785a8ae	22	16934932	16948310	8	-0.1818
82927d4f-e3fc-4e14-a520-a75b1785a8ae	22	16952107	24846625	1406	-0.001
82927d4f-e3fc-4e14-a520-a75b1785a8ae	22	24846694	24848997	4	-0.9891
82927d4f-e3fc-4e14-a520-a75b1785a8ae	22	24849151	48940621	15679	0.004
82927d4f-e3fc-4e14-a520-a75b1785a8ae	X	3236359	155677414	63912	0.0056
