GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	3301765	39557105	19401	-0.6624
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	39559408	39560301	2	-5.884
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	39561792	46393062	3553	-0.6742
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	46396235	88794408	26441	-0.6022
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	88842283	91827605	1855	0.2782
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	91827659	93624174	857	0.2193
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	93629703	95209154	1114	0.3022
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	95210955	95210962	2	-0.8918
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	95214568	99668696	2701	0.3161
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	99669072	101454480	1107	0.2382
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	101456880	108732385	3846	0.2989
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	108739522	112429445	2369	0.247
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	112430980	113319881	486	0.1591
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	113325701	114640730	736	0.2249
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	114646287	119519936	3137	0.2913
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	119520310	119525474	2	-1.0818
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	119526175	119979137	261	0.313
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	119979978	150015680	50	0.1291
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	150017474	150290062	112	0.597
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	150294432	150914966	201	0.1413
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	150925926	151057014	62	0.5959
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	151064340	151073507	4	-0.1093
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	151079879	151183488	35	0.5506
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	151185558	151355351	56	0.0966
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	151355857	151697079	156	0.6337
68c618ba-8d9b-4db9-b2b8-85be5daeda97	1	151697521	152123784	242	0.216
