GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fee19b05-44df-4dfe-9d85-c3400673c926	1	3301765	44366533	22211	-0.02
fee19b05-44df-4dfe-9d85-c3400673c926	1	44376924	55254910	5628	0.0054
fee19b05-44df-4dfe-9d85-c3400673c926	1	55255270	56136045	695	-0.0343
fee19b05-44df-4dfe-9d85-c3400673c926	1	56136636	57541514	1195	-0.0774
fee19b05-44df-4dfe-9d85-c3400673c926	1	57543577	57928595	310	0.0073
fee19b05-44df-4dfe-9d85-c3400673c926	1	57929012	57929080	2	-1.1852
fee19b05-44df-4dfe-9d85-c3400673c926	1	57929127	58251738	279	-0.0028
fee19b05-44df-4dfe-9d85-c3400673c926	1	58252400	63040389	3279	0.0321
fee19b05-44df-4dfe-9d85-c3400673c926	1	63041423	71617864	5592	-0.0074
fee19b05-44df-4dfe-9d85-c3400673c926	1	71618213	74695053	1663	-0.0592
fee19b05-44df-4dfe-9d85-c3400673c926	1	74695289	92281590	10840	-0.0161
fee19b05-44df-4dfe-9d85-c3400673c926	1	92285386	95803637	2144	0.029
fee19b05-44df-4dfe-9d85-c3400673c926	1	95807527	98241349	1364	-0.0466
fee19b05-44df-4dfe-9d85-c3400673c926	1	98244107	100761231	1623	0.0313
fee19b05-44df-4dfe-9d85-c3400673c926	1	100768471	105238938	2239	-0.046
fee19b05-44df-4dfe-9d85-c3400673c926	1	105239634	109580801	2446	0.0093
fee19b05-44df-4dfe-9d85-c3400673c926	1	109580891	112041858	1641	-0.055
fee19b05-44df-4dfe-9d85-c3400673c926	1	112042157	113618494	980	0.0106
fee19b05-44df-4dfe-9d85-c3400673c926	1	113623939	115598735	1228	-0.0462
fee19b05-44df-4dfe-9d85-c3400673c926	1	115599727	119984738	2742	0.0221
fee19b05-44df-4dfe-9d85-c3400673c926	1	119984772	152252472	986	0.5153
fee19b05-44df-4dfe-9d85-c3400673c926	1	152252565	161811410	5305	0.4793
fee19b05-44df-4dfe-9d85-c3400673c926	1	161816359	165067758	2501	0.5293
fee19b05-44df-4dfe-9d85-c3400673c926	1	165076228	165076297	2	-0.9323
fee19b05-44df-4dfe-9d85-c3400673c926	1	165076317	189120301	15665	0.508
