GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1f28ffc1-c3bd-4267-8749-707c4202e862	1	3301765	46981839	23403	0.3458
1f28ffc1-c3bd-4267-8749-707c4202e862	1	46982670	51247552	2231	0.4034
1f28ffc1-c3bd-4267-8749-707c4202e862	1	51252190	54837766	1947	0.3671
1f28ffc1-c3bd-4267-8749-707c4202e862	1	54838109	71046477	11388	0.4263
1f28ffc1-c3bd-4267-8749-707c4202e862	1	71049286	76904553	3372	0.4599
1f28ffc1-c3bd-4267-8749-707c4202e862	1	76906451	78579215	868	0.4263
1f28ffc1-c3bd-4267-8749-707c4202e862	1	78579925	81423273	1578	0.4836
1f28ffc1-c3bd-4267-8749-707c4202e862	1	81423287	81430804	30	0.1858
1f28ffc1-c3bd-4267-8749-707c4202e862	1	81430820	84379521	1893	0.4873
1f28ffc1-c3bd-4267-8749-707c4202e862	1	84379685	91052553	4324	0.4386
1f28ffc1-c3bd-4267-8749-707c4202e862	1	91053095	93974626	1545	0.3984
1f28ffc1-c3bd-4267-8749-707c4202e862	1	93974746	108127405	8397	0.4543
1f28ffc1-c3bd-4267-8749-707c4202e862	1	108127920	153890003	9079	0.3973
1f28ffc1-c3bd-4267-8749-707c4202e862	1	153890625	156843858	1361	0.3562
1f28ffc1-c3bd-4267-8749-707c4202e862	1	156847982	162218725	3400	0.4045
1f28ffc1-c3bd-4267-8749-707c4202e862	1	162218802	164537802	1712	0.4708
1f28ffc1-c3bd-4267-8749-707c4202e862	1	164538225	176167363	7790	0.4319
1f28ffc1-c3bd-4267-8749-707c4202e862	1	176167402	177935616	1111	0.4631
1f28ffc1-c3bd-4267-8749-707c4202e862	1	177935836	186198815	5386	0.3991
1f28ffc1-c3bd-4267-8749-707c4202e862	1	186199149	190283512	2409	0.4553
1f28ffc1-c3bd-4267-8749-707c4202e862	1	190285751	195470586	3107	0.4155
1f28ffc1-c3bd-4267-8749-707c4202e862	1	195471487	201917274	3862	0.4522
1f28ffc1-c3bd-4267-8749-707c4202e862	1	201917346	206982929	3116	0.3866
1f28ffc1-c3bd-4267-8749-707c4202e862	1	206983103	210720293	2800	0.4563
1f28ffc1-c3bd-4267-8749-707c4202e862	1	210720533	213589677	1771	0.386
1f28ffc1-c3bd-4267-8749-707c4202e862	1	213590257	214587219	781	0.4537
1f28ffc1-c3bd-4267-8749-707c4202e862	1	214588015	216860707	1552	0.5189
1f28ffc1-c3bd-4267-8749-707c4202e862	1	216861020	218587019	1174	0.4396
1f28ffc1-c3bd-4267-8749-707c4202e862	1	218588339	219380827	526	0.524
1f28ffc1-c3bd-4267-8749-707c4202e862	1	219380975	225554383	3816	0.4334
1f28ffc1-c3bd-4267-8749-707c4202e862	1	225554602	229058500	1810	0.3915
1f28ffc1-c3bd-4267-8749-707c4202e862	1	229059149	229472419	293	0.4261
1f28ffc1-c3bd-4267-8749-707c4202e862	1	229475277	229786621	222	0.4591
1f28ffc1-c3bd-4267-8749-707c4202e862	1	229786849	229789777	2	-0.6655
1f28ffc1-c3bd-4267-8749-707c4202e862	1	229791098	234262297	3302	0.4723
1f28ffc1-c3bd-4267-8749-707c4202e862	1	234262387	236700531	1505	0.4169
1f28ffc1-c3bd-4267-8749-707c4202e862	1	236701159	241883584	4088	0.4647
1f28ffc1-c3bd-4267-8749-707c4202e862	1	241886347	247650984	2876	0.4229
1f28ffc1-c3bd-4267-8749-707c4202e862	2	480597	5918693	3053	0.1248
1f28ffc1-c3bd-4267-8749-707c4202e862	2	5921834	11862559	4128	0.0951
1f28ffc1-c3bd-4267-8749-707c4202e862	2	11862728	22376054	7068	0.1398
1f28ffc1-c3bd-4267-8749-707c4202e862	2	22378048	22378280	3	-0.829
1f28ffc1-c3bd-4267-8749-707c4202e862	2	22382166	23724719	981	0.1307
1f28ffc1-c3bd-4267-8749-707c4202e862	2	23727504	29196129	2520	0.0736
1f28ffc1-c3bd-4267-8749-707c4202e862	2	29196169	41902455	7103	0.128
1f28ffc1-c3bd-4267-8749-707c4202e862	2	41903600	47897953	3975	0.0994
1f28ffc1-c3bd-4267-8749-707c4202e862	2	47898575	60239024	6815	0.137
1f28ffc1-c3bd-4267-8749-707c4202e862	2	60242341	65641976	2752	0.0981
1f28ffc1-c3bd-4267-8749-707c4202e862	2	65642107	68413112	2041	0.1451
1f28ffc1-c3bd-4267-8749-707c4202e862	2	68415450	74925803	3598	0.0924
1f28ffc1-c3bd-4267-8749-707c4202e862	2	74927809	84806922	5351	0.1446
1f28ffc1-c3bd-4267-8749-707c4202e862	2	84807495	102179566	4751	0.0703
1f28ffc1-c3bd-4267-8749-707c4202e862	2	102180064	105168415	1815	0.1146
1f28ffc1-c3bd-4267-8749-707c4202e862	2	105168502	107111101	1392	0.0761
1f28ffc1-c3bd-4267-8749-707c4202e862	2	107111465	114071883	3062	0.114
1f28ffc1-c3bd-4267-8749-707c4202e862	2	114077560	118039764	1867	0.1663
1f28ffc1-c3bd-4267-8749-707c4202e862	2	118039928	122193672	2519	0.1124
1f28ffc1-c3bd-4267-8749-707c4202e862	2	122194129	126293137	1724	0.175
1f28ffc1-c3bd-4267-8749-707c4202e862	2	126296705	136407927	5076	0.1266
1f28ffc1-c3bd-4267-8749-707c4202e862	2	136408021	140699614	2241	0.1755
1f28ffc1-c3bd-4267-8749-707c4202e862	2	140699854	140856706	91	-0.4529
1f28ffc1-c3bd-4267-8749-707c4202e862	2	140857094	141750534	631	0.1987
1f28ffc1-c3bd-4267-8749-707c4202e862	2	141757088	141991767	190	0.3858
1f28ffc1-c3bd-4267-8749-707c4202e862	2	141994414	169500514	15993	0.1728
1f28ffc1-c3bd-4267-8749-707c4202e862	2	169514002	170892379	892	0.1368
1f28ffc1-c3bd-4267-8749-707c4202e862	2	170893405	170893748	2	-0.9769
1f28ffc1-c3bd-4267-8749-707c4202e862	2	170896886	178246201	4602	0.1475
1f28ffc1-c3bd-4267-8749-707c4202e862	2	178247452	195367244	8348	0.1757
1f28ffc1-c3bd-4267-8749-707c4202e862	2	195367488	203716144	4473	0.141
1f28ffc1-c3bd-4267-8749-707c4202e862	2	203716472	208383008	3020	0.1572
1f28ffc1-c3bd-4267-8749-707c4202e862	2	208383181	214780117	3780	0.199
1f28ffc1-c3bd-4267-8749-707c4202e862	2	214780411	217880080	2139	0.1555
1f28ffc1-c3bd-4267-8749-707c4202e862	2	217881139	219186791	631	0.0886
1f28ffc1-c3bd-4267-8749-707c4202e862	2	219189611	219191993	2	1.0644
1f28ffc1-c3bd-4267-8749-707c4202e862	2	219194498	219764473	300	0.1039
1f28ffc1-c3bd-4267-8749-707c4202e862	2	219764746	229115173	6131	0.1677
1f28ffc1-c3bd-4267-8749-707c4202e862	2	229118928	234979188	3314	0.1129
1f28ffc1-c3bd-4267-8749-707c4202e862	2	234979782	234980577	2	-1.3226
1f28ffc1-c3bd-4267-8749-707c4202e862	2	234983001	241537572	3888	0.1076
1f28ffc1-c3bd-4267-8749-707c4202e862	3	2170634	2802013	160	-0.4585
1f28ffc1-c3bd-4267-8749-707c4202e862	3	2802382	2802720	2	-2.2468
1f28ffc1-c3bd-4267-8749-707c4202e862	3	2809769	8845970	3668	-0.4467
1f28ffc1-c3bd-4267-8749-707c4202e862	3	8846580	20611309	7277	-0.4798
1f28ffc1-c3bd-4267-8749-707c4202e862	3	20611366	28881852	4697	-0.4263
1f28ffc1-c3bd-4267-8749-707c4202e862	3	28882092	28882178	2	-2.532
1f28ffc1-c3bd-4267-8749-707c4202e862	3	28882391	36031064	4483	-0.444
1f28ffc1-c3bd-4267-8749-707c4202e862	3	36032024	36032482	3	-1.5629
1f28ffc1-c3bd-4267-8749-707c4202e862	3	36033275	42627620	4039	-0.4539
1f28ffc1-c3bd-4267-8749-707c4202e862	3	42627968	53400585	5043	-0.4888
1f28ffc1-c3bd-4267-8749-707c4202e862	3	53400742	56640162	2438	-0.4406
1f28ffc1-c3bd-4267-8749-707c4202e862	3	56640347	58626697	1093	-0.5095
1f28ffc1-c3bd-4267-8749-707c4202e862	3	58627602	73988456	10234	-0.4536
1f28ffc1-c3bd-4267-8749-707c4202e862	3	73989153	91390926	8145	-0.4203
1f28ffc1-c3bd-4267-8749-707c4202e862	3	91462299	106275050	6581	0.1529
1f28ffc1-c3bd-4267-8749-707c4202e862	3	106277529	106277551	2	-1.4002
1f28ffc1-c3bd-4267-8749-707c4202e862	3	106277920	106851694	396	0.1672
1f28ffc1-c3bd-4267-8749-707c4202e862	3	106858886	110394342	1816	0.1298
1f28ffc1-c3bd-4267-8749-707c4202e862	3	110415157	110415167	2	-1.2468
1f28ffc1-c3bd-4267-8749-707c4202e862	3	110420515	122610313	7217	0.1325
1f28ffc1-c3bd-4267-8749-707c4202e862	3	122610327	130234256	4336	0.0947
1f28ffc1-c3bd-4267-8749-707c4202e862	3	130234964	143628743	7556	0.1278
1f28ffc1-c3bd-4267-8749-707c4202e862	3	143629422	145828458	1230	0.1703
1f28ffc1-c3bd-4267-8749-707c4202e862	3	145835388	145839243	2	-1.8094
1f28ffc1-c3bd-4267-8749-707c4202e862	3	145841636	149366824	1602	0.1729
1f28ffc1-c3bd-4267-8749-707c4202e862	3	149371994	159908007	5921	0.5256
1f28ffc1-c3bd-4267-8749-707c4202e862	3	159911578	160319816	242	0.2187
1f28ffc1-c3bd-4267-8749-707c4202e862	3	160322494	161384309	557	0.5115
1f28ffc1-c3bd-4267-8749-707c4202e862	3	161384339	169676414	3862	0.5611
1f28ffc1-c3bd-4267-8749-707c4202e862	3	169677993	170121829	273	0.494
1f28ffc1-c3bd-4267-8749-707c4202e862	3	170141370	170150762	7	-0.0108
1f28ffc1-c3bd-4267-8749-707c4202e862	3	170153072	172727097	1418	0.5159
1f28ffc1-c3bd-4267-8749-707c4202e862	3	172727305	178969946	2944	0.5694
1f28ffc1-c3bd-4267-8749-707c4202e862	3	178973601	179782640	567	0.4889
1f28ffc1-c3bd-4267-8749-707c4202e862	3	179783113	182935475	1648	0.5364
1f28ffc1-c3bd-4267-8749-707c4202e862	3	182937400	188055780	2716	0.4793
1f28ffc1-c3bd-4267-8749-707c4202e862	3	188056669	191562314	2412	0.5413
1f28ffc1-c3bd-4267-8749-707c4202e862	3	191566836	191566890	2	-0.616
1f28ffc1-c3bd-4267-8749-707c4202e862	3	191566911	193692748	1167	0.5445
1f28ffc1-c3bd-4267-8749-707c4202e862	3	193693355	197812401	1450	0.4711
1f28ffc1-c3bd-4267-8749-707c4202e862	4	1059384	10595385	5049	-0.3817
1f28ffc1-c3bd-4267-8749-707c4202e862	4	10595417	13960579	2532	-0.3196
1f28ffc1-c3bd-4267-8749-707c4202e862	4	13960860	14824102	712	-0.2353
1f28ffc1-c3bd-4267-8749-707c4202e862	4	14824208	20547077	3783	-0.3302
1f28ffc1-c3bd-4267-8749-707c4202e862	4	20551681	23209054	1691	-0.2479
