GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5eb6bbdc-b2e1-46b1-9872-519a2629393e	1	3301765	247650984	128420	-0.002
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	480597	30578673	18605	0.0042
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	30592132	30626477	17	-0.8077
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	30628580	30641460	22	-0.0667
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	30642182	30649500	7	-1.1283
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	30656083	68321101	21252	0.0023
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	68322749	68397128	75	0.6113
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	68398166	223173188	79967	0.0032
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	223173457	223173942	3	-1.9252
5eb6bbdc-b2e1-46b1-9872-519a2629393e	2	223174047	241537572	10883	0.0054
5eb6bbdc-b2e1-46b1-9872-519a2629393e	3	2170634	123122252	66934	-0.0019
5eb6bbdc-b2e1-46b1-9872-519a2629393e	3	123122947	123126390	2	-2.2699
5eb6bbdc-b2e1-46b1-9872-519a2629393e	3	123126758	197812401	39142	-0.0019
5eb6bbdc-b2e1-46b1-9872-519a2629393e	4	1059384	187842528	102415	-0.0023
5eb6bbdc-b2e1-46b1-9872-519a2629393e	5	914118	180934240	100047	-0.002
5eb6bbdc-b2e1-46b1-9872-519a2629393e	6	1011760	170596889	96125	-0.0004
5eb6bbdc-b2e1-46b1-9872-519a2629393e	7	664936	158592540	81195	-0.0022
5eb6bbdc-b2e1-46b1-9872-519a2629393e	8	667625	144182542	81379	0.0007
5eb6bbdc-b2e1-46b1-9872-519a2629393e	9	789794	138044505	67691	-0.0023
5eb6bbdc-b2e1-46b1-9872-519a2629393e	10	366509	28694391	19626	0.0018
5eb6bbdc-b2e1-46b1-9872-519a2629393e	10	28694542	28694655	2	-3.4036
5eb6bbdc-b2e1-46b1-9872-519a2629393e	10	28694675	133411599	60808	0.0002
5eb6bbdc-b2e1-46b1-9872-519a2629393e	11	456012	125253529	70658	0.0012
5eb6bbdc-b2e1-46b1-9872-519a2629393e	11	125253916	125254105	2	-2.598
5eb6bbdc-b2e1-46b1-9872-519a2629393e	11	125254186	134272740	6044	-0.0086
5eb6bbdc-b2e1-46b1-9872-519a2629393e	12	780472	132605822	73530	0.0042
5eb6bbdc-b2e1-46b1-9872-519a2629393e	13	18874255	114226675	56315	0.0004
5eb6bbdc-b2e1-46b1-9872-519a2629393e	14	20033191	105533894	49248	0.0013
5eb6bbdc-b2e1-46b1-9872-519a2629393e	15	23437561	101344124	44296	-0.0027
5eb6bbdc-b2e1-46b1-9872-519a2629393e	16	603333	89317317	40766	-0.0031
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	1074619	13720818	7059	0.0012
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	13720952	13721185	2	-2.1688
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	13721185	71112143	24416	-0.0051
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	71113489	71114146	2	-2.1935
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	71114957	77765924	3402	-0.0046
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	77766623	77768905	2	-2.0177
5eb6bbdc-b2e1-46b1-9872-519a2629393e	17	77772143	82959812	2026	0.0095
5eb6bbdc-b2e1-46b1-9872-519a2629393e	18	326691	79349796	42502	0.001
5eb6bbdc-b2e1-46b1-9872-519a2629393e	19	283868	58370362	23964	0.0007
5eb6bbdc-b2e1-46b1-9872-519a2629393e	20	472817	63588502	37156	0.0061
5eb6bbdc-b2e1-46b1-9872-519a2629393e	21	13974127	46262057	20368	0.0079
5eb6bbdc-b2e1-46b1-9872-519a2629393e	22	16934932	48940621	16936	-0.0005
5eb6bbdc-b2e1-46b1-9872-519a2629393e	X	3236359	69094749	25980	-0.0009
5eb6bbdc-b2e1-46b1-9872-519a2629393e	X	69094795	69095086	2	-5.0421
5eb6bbdc-b2e1-46b1-9872-519a2629393e	X	69096095	103784096	13641	0.0027
5eb6bbdc-b2e1-46b1-9872-519a2629393e	X	103784365	103787335	3	-3.4374
5eb6bbdc-b2e1-46b1-9872-519a2629393e	X	103792220	155677414	23472	0.0062
