GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
753b66c0-1cec-4e16-afd6-a6facf8d086d	1	3301765	25427147	12247	-0.0054
753b66c0-1cec-4e16-afd6-a6facf8d086d	1	25430443	25432164	2	-2.4369
753b66c0-1cec-4e16-afd6-a6facf8d086d	1	25433616	236730749	110443	0.0009
753b66c0-1cec-4e16-afd6-a6facf8d086d	1	236734076	236735742	2	-2.2689
753b66c0-1cec-4e16-afd6-a6facf8d086d	1	236736718	247650984	6900	-0.0027
753b66c0-1cec-4e16-afd6-a6facf8d086d	2	480597	241537572	132094	-0.0001
753b66c0-1cec-4e16-afd6-a6facf8d086d	3	2170634	106719191	58127	0.0022
753b66c0-1cec-4e16-afd6-a6facf8d086d	3	106721211	106721799	2	-1.9661
753b66c0-1cec-4e16-afd6-a6facf8d086d	3	106722440	197812401	48972	0.0009
753b66c0-1cec-4e16-afd6-a6facf8d086d	4	1059384	187842528	103425	0.0035
753b66c0-1cec-4e16-afd6-a6facf8d086d	5	913983	54547697	28388	0.0012
753b66c0-1cec-4e16-afd6-a6facf8d086d	5	54548015	54554942	3	-1.9008
753b66c0-1cec-4e16-afd6-a6facf8d086d	5	54556704	180934240	72647	0.0044
753b66c0-1cec-4e16-afd6-a6facf8d086d	6	1011760	170596889	97080	0.0005
753b66c0-1cec-4e16-afd6-a6facf8d086d	7	664936	158592540	81877	0.0028
753b66c0-1cec-4e16-afd6-a6facf8d086d	8	667625	144182542	82157	0.0028
753b66c0-1cec-4e16-afd6-a6facf8d086d	9	789794	138044505	68407	0.002
753b66c0-1cec-4e16-afd6-a6facf8d086d	10	366509	133411599	81199	0.0006
753b66c0-1cec-4e16-afd6-a6facf8d086d	11	456012	134272740	77511	0.0031
753b66c0-1cec-4e16-afd6-a6facf8d086d	12	780472	132605822	74291	0.0009
753b66c0-1cec-4e16-afd6-a6facf8d086d	13	18874255	114226675	56926	0.0046
753b66c0-1cec-4e16-afd6-a6facf8d086d	14	20033191	105533894	49718	0.002
753b66c0-1cec-4e16-afd6-a6facf8d086d	15	23437561	101344124	44756	0.002
753b66c0-1cec-4e16-afd6-a6facf8d086d	16	603333	89317317	41172	0.0021
753b66c0-1cec-4e16-afd6-a6facf8d086d	17	1074619	82959812	37236	-0.0022
753b66c0-1cec-4e16-afd6-a6facf8d086d	18	326691	79349796	42939	0.0012
753b66c0-1cec-4e16-afd6-a6facf8d086d	19	283868	58370362	24125	0.0044
753b66c0-1cec-4e16-afd6-a6facf8d086d	20	472817	63588502	37504	0.0026
753b66c0-1cec-4e16-afd6-a6facf8d086d	21	13974127	20267243	3984	0.0009
753b66c0-1cec-4e16-afd6-a6facf8d086d	21	20271410	20303606	16	-0.8645
753b66c0-1cec-4e16-afd6-a6facf8d086d	21	20304049	46262057	16581	0.0014
753b66c0-1cec-4e16-afd6-a6facf8d086d	22	16934932	48940621	17065	-0.0027
753b66c0-1cec-4e16-afd6-a6facf8d086d	X	3236359	35743833	14454	-0.0101
753b66c0-1cec-4e16-afd6-a6facf8d086d	X	35743951	35745048	5	-2.9059
753b66c0-1cec-4e16-afd6-a6facf8d086d	X	35747123	69096095	11764	0.0148
753b66c0-1cec-4e16-afd6-a6facf8d086d	X	69096143	69097349	4	-3.3063
753b66c0-1cec-4e16-afd6-a6facf8d086d	X	69097360	155677414	37443	0.0129
