GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
716de860-5313-47d4-b394-9d7fa9db14ba	1	3301765	13863833	5640	-0.1431
716de860-5313-47d4-b394-9d7fa9db14ba	1	13865259	22660245	5202	-0.1013
716de860-5313-47d4-b394-9d7fa9db14ba	1	22663205	22663252	2	-2.1129
716de860-5313-47d4-b394-9d7fa9db14ba	1	22663566	29289416	2942	-0.1359
716de860-5313-47d4-b394-9d7fa9db14ba	1	29292266	31148580	1210	-0.0963
716de860-5313-47d4-b394-9d7fa9db14ba	1	31150820	31152499	2	-1.3183
716de860-5313-47d4-b394-9d7fa9db14ba	1	31152542	53428657	11710	-0.0994
716de860-5313-47d4-b394-9d7fa9db14ba	1	53431822	55394888	1264	-0.1237
716de860-5313-47d4-b394-9d7fa9db14ba	1	55395038	61666097	4722	-0.0673
716de860-5313-47d4-b394-9d7fa9db14ba	1	61666135	72916142	7204	-0.0956
716de860-5313-47d4-b394-9d7fa9db14ba	1	72918723	76273739	1954	0.0577
716de860-5313-47d4-b394-9d7fa9db14ba	1	76273782	82825051	3866	-0.0755
716de860-5313-47d4-b394-9d7fa9db14ba	1	82825718	85784174	1923	-0.053
716de860-5313-47d4-b394-9d7fa9db14ba	1	85784211	85784228	2	-0.9702
716de860-5313-47d4-b394-9d7fa9db14ba	1	85785989	87888740	1397	-0.0584
716de860-5313-47d4-b394-9d7fa9db14ba	1	87890062	88095878	148	-0.0019
716de860-5313-47d4-b394-9d7fa9db14ba	1	88096046	88123755	13	0.2678
716de860-5313-47d4-b394-9d7fa9db14ba	1	88125423	88479211	227	-0.0027
716de860-5313-47d4-b394-9d7fa9db14ba	1	88481098	90727492	1380	-0.0539
716de860-5313-47d4-b394-9d7fa9db14ba	1	90729395	93156577	1317	-0.092
716de860-5313-47d4-b394-9d7fa9db14ba	1	93161427	94449280	766	0.2
716de860-5313-47d4-b394-9d7fa9db14ba	1	94450158	103316820	5459	-0.0782
716de860-5313-47d4-b394-9d7fa9db14ba	1	103318294	106155449	1203	-0.1193
716de860-5313-47d4-b394-9d7fa9db14ba	1	106155476	111702965	3333	-0.0692
716de860-5313-47d4-b394-9d7fa9db14ba	1	111705665	112349545	558	0.3036
716de860-5313-47d4-b394-9d7fa9db14ba	1	112351195	115749555	2041	0.2401
716de860-5313-47d4-b394-9d7fa9db14ba	1	115749848	119984772	2641	0.301
716de860-5313-47d4-b394-9d7fa9db14ba	1	146716041	150880582	345	0.5417
716de860-5313-47d4-b394-9d7fa9db14ba	1	150883915	152046138	543	0.1964
716de860-5313-47d4-b394-9d7fa9db14ba	1	152053260	153462879	839	0.2806
716de860-5313-47d4-b394-9d7fa9db14ba	1	153469638	154579119	465	0.2061
716de860-5313-47d4-b394-9d7fa9db14ba	1	154579241	154859828	200	0.2946
716de860-5313-47d4-b394-9d7fa9db14ba	1	154859846	155827038	392	0.1559
716de860-5313-47d4-b394-9d7fa9db14ba	1	155829832	156171141	136	0.3489
716de860-5313-47d4-b394-9d7fa9db14ba	1	156172621	167767159	8020	0.4516
716de860-5313-47d4-b394-9d7fa9db14ba	1	167768816	171290329	2506	0.2759
716de860-5313-47d4-b394-9d7fa9db14ba	1	171290798	171768444	297	0.1823
716de860-5313-47d4-b394-9d7fa9db14ba	1	171771454	173357525	1039	0.2686
716de860-5313-47d4-b394-9d7fa9db14ba	1	173358366	175033554	837	0.2093
716de860-5313-47d4-b394-9d7fa9db14ba	1	175044029	179672700	2743	0.2596
716de860-5313-47d4-b394-9d7fa9db14ba	1	179673458	190269907	6679	-0.2427
716de860-5313-47d4-b394-9d7fa9db14ba	1	190272267	192275900	1091	0.2237
716de860-5313-47d4-b394-9d7fa9db14ba	1	192276580	192587395	213	0.0437
716de860-5313-47d4-b394-9d7fa9db14ba	1	192587872	193079057	299	0.2498
716de860-5313-47d4-b394-9d7fa9db14ba	1	193081397	197194405	2374	0.0118
716de860-5313-47d4-b394-9d7fa9db14ba	1	197194798	200269262	1884	0.063
716de860-5313-47d4-b394-9d7fa9db14ba	1	200269688	205862778	3688	0.0267
716de860-5313-47d4-b394-9d7fa9db14ba	1	205865709	206178584	118	0.1207
716de860-5313-47d4-b394-9d7fa9db14ba	1	206366301	206559319	115	0.2549
716de860-5313-47d4-b394-9d7fa9db14ba	1	206560716	206923694	258	0.0708
716de860-5313-47d4-b394-9d7fa9db14ba	1	206924585	233557847	17496	-0.2146
716de860-5313-47d4-b394-9d7fa9db14ba	1	233559205	235477776	1303	0.0393
716de860-5313-47d4-b394-9d7fa9db14ba	1	235479936	235696435	125	0.5805
716de860-5313-47d4-b394-9d7fa9db14ba	1	235698361	247650984	7623	0.0075
716de860-5313-47d4-b394-9d7fa9db14ba	2	480597	3139179	1105	0.4342
716de860-5313-47d4-b394-9d7fa9db14ba	2	3139421	6499236	2451	0.0467
716de860-5313-47d4-b394-9d7fa9db14ba	2	6499361	6800086	227	0.1369
716de860-5313-47d4-b394-9d7fa9db14ba	2	6801877	7400829	477	0.0397
716de860-5313-47d4-b394-9d7fa9db14ba	2	7400871	18919100	7788	0.1004
716de860-5313-47d4-b394-9d7fa9db14ba	2	18919746	19190825	193	-0.0423
716de860-5313-47d4-b394-9d7fa9db14ba	2	19194777	22906295	2356	0.111
716de860-5313-47d4-b394-9d7fa9db14ba	2	22908260	28020090	2539	0.0589
716de860-5313-47d4-b394-9d7fa9db14ba	2	28021813	28383404	224	-0.7057
716de860-5313-47d4-b394-9d7fa9db14ba	2	28384477	40941918	6880	0.0922
716de860-5313-47d4-b394-9d7fa9db14ba	2	40952099	40982240	29	-0.7439
716de860-5313-47d4-b394-9d7fa9db14ba	2	40983591	44321035	2054	0.0694
716de860-5313-47d4-b394-9d7fa9db14ba	2	44321143	46392779	1542	0.1166
716de860-5313-47d4-b394-9d7fa9db14ba	2	46393460	59395101	7147	0.0706
716de860-5313-47d4-b394-9d7fa9db14ba	2	59395287	59417321	3	0.9439
716de860-5313-47d4-b394-9d7fa9db14ba	2	59417707	60647017	892	0.1082
716de860-5313-47d4-b394-9d7fa9db14ba	2	60650860	62423460	821	0.0262
716de860-5313-47d4-b394-9d7fa9db14ba	2	62423896	65520325	1577	0.0835
716de860-5313-47d4-b394-9d7fa9db14ba	2	65521864	69288470	2618	0.1011
716de860-5313-47d4-b394-9d7fa9db14ba	2	69291594	88831554	9881	0.057
716de860-5313-47d4-b394-9d7fa9db14ba	2	94675825	100686266	2392	0.3509
716de860-5313-47d4-b394-9d7fa9db14ba	2	100686982	101988889	793	-0.2294
716de860-5313-47d4-b394-9d7fa9db14ba	2	101991125	102503852	357	-0.16
716de860-5313-47d4-b394-9d7fa9db14ba	2	102503910	102643986	110	-0.0336
716de860-5313-47d4-b394-9d7fa9db14ba	2	102650064	103321903	392	-0.1631
716de860-5313-47d4-b394-9d7fa9db14ba	2	103323846	106953134	2358	-0.2196
716de860-5313-47d4-b394-9d7fa9db14ba	2	106953634	107203956	213	-0.3313
716de860-5313-47d4-b394-9d7fa9db14ba	2	107208473	118930316	5465	-0.2906
716de860-5313-47d4-b394-9d7fa9db14ba	2	118930378	122063520	1802	-0.3449
716de860-5313-47d4-b394-9d7fa9db14ba	2	122066904	122332748	188	0.0281
716de860-5313-47d4-b394-9d7fa9db14ba	2	122333544	130766941	3969	-0.312
716de860-5313-47d4-b394-9d7fa9db14ba	2	130783105	134285919	1564	-0.0104
716de860-5313-47d4-b394-9d7fa9db14ba	2	134289572	159100008	14122	-0.2751
716de860-5313-47d4-b394-9d7fa9db14ba	2	159107684	159738616	377	-0.394
716de860-5313-47d4-b394-9d7fa9db14ba	2	159739583	164995378	2947	-0.2587
716de860-5313-47d4-b394-9d7fa9db14ba	2	164997464	165007539	5	-1.3991
716de860-5313-47d4-b394-9d7fa9db14ba	2	165008929	169440149	2815	-0.2648
716de860-5313-47d4-b394-9d7fa9db14ba	2	169442444	170203218	428	-0.1074
716de860-5313-47d4-b394-9d7fa9db14ba	2	170204273	170372467	121	0.0307
716de860-5313-47d4-b394-9d7fa9db14ba	2	170373939	170399569	31	0.1969
