GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	3301765	8277914	3189	-0.014
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	8280181	14093645	2693	0.0331
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	14112547	14488263	305	-0.003
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	14489918	15384798	700	-0.0564
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	15385027	17318665	668	0.0268
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	17319380	19095102	1288	-0.0397
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	19101688	62446080	24414	0.0207
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	62449224	65965454	2474	0.0572
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	65969863	66825573	709	0.1298
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	66828460	75968289	5141	0.0436
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	75968438	76259408	279	-0.0439
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	76261322	113036481	21968	0.0607
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	113037738	117278758	2733	0.0263
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	117284077	119704280	1409	0.0736
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	119705264	157392700	3731	0.0196
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	157396886	157894952	369	0.1676
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	157895123	162111427	2582	0.0455
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	162111681	166504609	3459	0.0044
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	166507402	176329361	6203	0.0546
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	176329992	178065000	1163	-0.0004
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	178065067	189909003	7477	0.0481
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	189909464	198320932	4811	0.0781
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	198322805	199200155	551	0.1597
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	199200896	200586144	914	0.0552
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	200586497	200874640	134	0.0267
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	200876814	202433822	1055	-0.0353
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	202436543	208614395	4023	0.0286
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	208615481	208623939	2	-1.5187
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	208624370	215164841	4571	0.0223
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	215165144	215165794	5	-0.8095
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	215165946	219796554	3167	0.0165
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	219796725	223019483	2027	0.0685
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	223020870	230752023	4533	0.0232
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	230755161	233457038	1855	-0.0184
39011b0a-65a5-4f28-8269-6e15fb1e2b67	1	233457059	247650984	9142	0.0227
39011b0a-65a5-4f28-8269-6e15fb1e2b67	2	480597	16338333	10177	0.0335
39011b0a-65a5-4f28-8269-6e15fb1e2b67	2	16338357	18455812	1531	0.093
39011b0a-65a5-4f28-8269-6e15fb1e2b67	2	18456735	29779927	6560	0.0276
