GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	3301765	155210675	70457	0.0181
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	155241876	155429147	102	0.5199
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	155430326	188190086	21221	0.0191
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	188193196	189979516	921	-0.8394
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	189984414	206989616	10238	0.0262
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	206990086	206990228	2	-2.2908
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	206990399	224726613	11937	0.0285
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	224728406	224728408	2	-1.3176
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	1	224731473	247650984	14473	0.0196
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	480597	186597792	100274	0.0423
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	186601702	190510684	1953	0.9687
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	190516543	191861140	840	1.2703
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	191910683	210693252	9923	-0.8486
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	210693776	213279523	1656	-4.1608
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	213280433	219610353	3752	-0.8856
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	219610862	219620649	2	-4.7368
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	219633628	219643945	5	-2.1062
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	219644933	237664712	11183	-0.8992
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	237664758	237668016	6	-3.3673
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	2	237668575	241537572	2061	-0.9482
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	3	2170634	127226767	69969	0.018
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	3	127226907	127229658	2	-1.6476
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	3	127230070	197812401	36924	0.0256
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	4	1059384	89923841	50125	0.0175
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	4	89930396	93013415	1429	0.4729
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	4	93013583	130041802	20758	0.0315
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	4	130084613	130115989	28	-0.8265
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	4	130137041	187842528	30871	0.0308
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	5	913983	180934240	100830	0.0221
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	6	1011760	170596889	96893	0.0229
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	7	664936	158592540	81740	0.0209
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	8	667625	14727829	6833	0.027
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	8	14728012	14728835	6	-0.9117
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	8	14729084	144182542	75172	0.0378
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	9	789794	69274490	24274	0.0187
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	9	69277090	69402044	81	0.5828
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	9	69405647	122981628	36080	0.0149
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	9	122982778	123146102	87	0.5632
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	9	123150265	138044505	7773	0.0196
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	10	366509	133411599	81085	0.0205
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	11	456012	134272740	77347	0.0172
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	12	780472	132605822	74149	0.0204
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	13	18874255	60447888	24312	0.0198
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	13	60453698	62888200	1305	-0.8775
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	13	62891742	114226675	31195	0.0298
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	14	20033191	91382519	41219	0.0184
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	14	91383597	91383952	3	-1.2726
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	14	91385602	105533894	8440	0.0121
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	15	23437561	101344124	44656	0.0147
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	16	603333	89317317	41081	0.0045
8e5b2e10-a429-49d7-ae1e-2f18791d1e9a	17	1074619	29845339	11016	0.0092
