GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7571ac37-4639-40f6-9474-f0c4017fe535	1	3301765	247650984	129490	0.0028
7571ac37-4639-40f6-9474-f0c4017fe535	2	480597	191411466	102817	0.0019
7571ac37-4639-40f6-9474-f0c4017fe535	2	191412645	191414330	4	-1.7304
7571ac37-4639-40f6-9474-f0c4017fe535	2	191414819	241537572	29114	0.0014
7571ac37-4639-40f6-9474-f0c4017fe535	3	2170634	197812401	106974	-0.0019
7571ac37-4639-40f6-9474-f0c4017fe535	4	1059384	165187175	91584	0.0009
7571ac37-4639-40f6-9474-f0c4017fe535	4	165190001	165193408	8	-1.1218
7571ac37-4639-40f6-9474-f0c4017fe535	4	165195655	187842528	11740	-0.009
7571ac37-4639-40f6-9474-f0c4017fe535	5	914118	180934240	100937	-0.0008
7571ac37-4639-40f6-9474-f0c4017fe535	6	1011760	146816925	82773	0.0003
7571ac37-4639-40f6-9474-f0c4017fe535	6	146817093	146819409	2	-3.7195
7571ac37-4639-40f6-9474-f0c4017fe535	6	146819603	170596889	14216	0.0022
7571ac37-4639-40f6-9474-f0c4017fe535	7	664936	22364760	11225	0.0009
7571ac37-4639-40f6-9474-f0c4017fe535	7	22367426	22368410	2	-4.4508
7571ac37-4639-40f6-9474-f0c4017fe535	7	22369151	158592540	70580	0.0024
7571ac37-4639-40f6-9474-f0c4017fe535	8	667625	144182542	82075	-0.0017
7571ac37-4639-40f6-9474-f0c4017fe535	9	789794	138044505	68349	0.0015
7571ac37-4639-40f6-9474-f0c4017fe535	10	366509	133411599	81119	-0.0009
7571ac37-4639-40f6-9474-f0c4017fe535	11	456012	134272740	77398	0.002
7571ac37-4639-40f6-9474-f0c4017fe535	12	780472	47847018	24673	0.0006
7571ac37-4639-40f6-9474-f0c4017fe535	12	47847065	47848939	2	-1.8797
7571ac37-4639-40f6-9474-f0c4017fe535	12	47849054	132605822	49527	0.0016
7571ac37-4639-40f6-9474-f0c4017fe535	13	18874255	114226675	56872	0.0031
7571ac37-4639-40f6-9474-f0c4017fe535	14	20033191	105533894	49703	0.0023
7571ac37-4639-40f6-9474-f0c4017fe535	15	23437561	66772738	24473	0.0018
7571ac37-4639-40f6-9474-f0c4017fe535	15	66782605	66785286	2	-1.5813
7571ac37-4639-40f6-9474-f0c4017fe535	15	66786146	89756360	13099	0.004
7571ac37-4639-40f6-9474-f0c4017fe535	15	89761038	89761200	2	-1.6518
7571ac37-4639-40f6-9474-f0c4017fe535	15	89761413	101344124	7108	-0.0003
7571ac37-4639-40f6-9474-f0c4017fe535	16	603333	89317317	41133	0.0016
7571ac37-4639-40f6-9474-f0c4017fe535	17	1074619	6020155	2300	0.0113
7571ac37-4639-40f6-9474-f0c4017fe535	17	6020277	6024084	4	-1.0361
7571ac37-4639-40f6-9474-f0c4017fe535	17	6024428	11146608	3010	0.0043
7571ac37-4639-40f6-9474-f0c4017fe535	17	11146684	11149306	5	-1.9077
7571ac37-4639-40f6-9474-f0c4017fe535	17	11150287	82959812	31901	0.0019
7571ac37-4639-40f6-9474-f0c4017fe535	18	326691	79349796	42898	-0.0035
7571ac37-4639-40f6-9474-f0c4017fe535	19	283868	58370362	24129	0.0049
7571ac37-4639-40f6-9474-f0c4017fe535	20	472817	3068709	1749	0.0034
7571ac37-4639-40f6-9474-f0c4017fe535	20	3070844	3073251	2	-1.3265
7571ac37-4639-40f6-9474-f0c4017fe535	20	3075103	34817460	16886	0.0016
7571ac37-4639-40f6-9474-f0c4017fe535	20	34817507	34819912	4	-1.0802
7571ac37-4639-40f6-9474-f0c4017fe535	20	34820160	63588502	18846	0.003
7571ac37-4639-40f6-9474-f0c4017fe535	21	13974127	20526419	4140	0.0017
7571ac37-4639-40f6-9474-f0c4017fe535	21	20527714	20581940	49	-0.9705
7571ac37-4639-40f6-9474-f0c4017fe535	21	20582554	46262057	16377	0.0051
7571ac37-4639-40f6-9474-f0c4017fe535	22	16934932	48940621	17060	0.0046
7571ac37-4639-40f6-9474-f0c4017fe535	X	3236359	155677414	63454	0.0022
